,Mean,Median,Mode
2001,-0.4706325504110411,-0.5828819274902344,-0.7412390932440758
2002,-0.5305116981197747,-0.6208290755748749,-0.7117594170570374
2101,-0.6234486568156303,-0.6817687749862671,-0.7524619735777378
2102,-0.6385747024115039,-0.6928339600563049,-0.7841732943058014
2111,-0.4396564359481159,-0.4822913259267807,-0.8016506069898606
2112,-0.450152536107083,-0.4811118096113205,-0.7977329625189304
2201,-0.6475380118912206,-0.6981014013290405,-0.7628778234124184
2202,-0.62806588056626,-0.6703060269355774,-0.7483478179574012
2211,-0.48809139334644497,-0.6094926595687866,-0.8245521047711373
2212,-0.5713893871722742,-0.7286535501480103,-0.8119051074236632
2301,-0.34361703574279995,-0.43668484687805176,-0.704966752231121
2302,-0.43232787895195174,-0.5140619277954102,-0.6917263032495975
2311,-0.4883120625976942,-0.5831718146800995,-0.7216541357338428
2312,-0.5084320590606628,-0.6211271584033966,-0.7093049852550031
2321,-0.2982039411429703,-0.31178586184978485,-0.038981932401657204
2322,-0.3312909054723741,-0.33551517128944397,-0.05469844117760658
2331,-0.23269628445725318,-0.21457156538963318,-0.22245664380490784
2332,-0.22544541196094417,-0.15851124376058578,-0.02213421069085597
2401,-0.39660881477938786,-0.4691511243581772,-0.7195643335580826
2402,-0.40092339430208834,-0.4825087636709213,-0.7022893425822259
2501,-0.4053039407630792,-0.5746228098869324,-0.8333483868837357
2502,-0.43479635301148206,-0.6242846250534058,-0.8335989421606064
2601,-0.6258947975194841,-0.692471981048584,-0.7979536454379559
2602,-0.6470206515487741,-0.7244126796722412,-0.7990519937872886
2611,-0.37513125751723797,-0.3690369427204132,-0.7951400521397591
2612,-0.3425444319826533,-0.2936283200979233,-0.10779724217951303
3001,-0.2558546516042234,-0.2568715810775757,-0.24799416452646256
3002,-0.19392258422070155,-0.17997194826602936,-0.1226524148881436
4001,-0.23731748679730544,-0.2474629282951355,-0.32385931313037875
4002,-0.1928827430236669,-0.12982766330242157,-0.06073305994272227
4011,-0.019972549904699037,0.00830029882490635,-0.0006233702600002
4012,-0.21738928564125662,-0.23200997710227966,-0.34178826391696926
4021,-0.10117365714794334,-0.0204938892275095,0.12998340845108036
4022,-0.6159801473549286,-0.6417190432548523,-0.7759703831560909
4101,-0.07300987803531826,-0.09870723634958267,-0.28306402444839474
4102,-0.09937155424751858,-0.11773595213890076,-0.256998456120491
4111,-0.022383593402179557,-0.07431025058031082,-0.09851861536502837
4112,-0.053267821786668376,-0.13346296548843384,-0.153424134850502
4201,0.2851033460095908,0.2790961265563965,0.1755233865976334
4202,0.31065470873567935,0.2908587157726288,0.30649897083640093
5001,0.03703387648412867,0.11790045350790024,0.1708911359310149
5002,-0.20615233131040048,-0.2605186402797699,-0.44807697981595995
5011,-0.0867407528032634,-0.0569162480533123,-0.07004888623952865
5012,-0.06978481156500016,-0.03961514122784138,0.03305910140275958
5021,-0.0652573042827067,-0.02609851211309433,0.017777812778949742
5022,-0.17114469817245953,-0.12725139409303665,0.07592212319374081
5101,-0.07150723363108084,-0.051064640283584595,-0.010069476068019834
5102,-0.47020536186075895,-0.5617866218090057,-0.7297323167324066
5401,-0.15264958928386063,-0.1590633988380432,-0.22320030152797699
5402,-0.17974518023867042,-0.16773511469364166,-0.13351452142000192
6001,-0.46922675332146296,-0.5837552547454834,-0.721248272806406
6002,-0.5655034016403911,-0.6420323550701141,-0.8006684863567353
6101,-0.44529066026737346,-0.5338977575302124,-0.8423201605677604
6102,-0.5918407475207248,-0.6993502080440521,-0.824047429561615
6201,-0.39749803074262424,-0.4223603904247284,-0.8071271586418152
6202,-0.5048183959295962,-0.5613892078399658,-0.7806744150817394
6211,-0.3257137301794046,-0.26537513732910156,-0.1797193127125502
6212,-0.5124603980307101,-0.6066668629646301,-0.7173082440346479
6221,-0.18087574024076486,-0.13664604723453522,-0.01737529814243316
6222,-0.4862268851701489,-0.5477003753185272,-0.7780293154716491
6301,-0.2378532856099923,-0.13168075680732727,0.023236879706382774
6302,-0.26248205836537863,-0.24979504942893982,-0.8336343377828598
6401,-0.4596294535016011,-0.5288450717926025,-0.857906886190176
6402,-0.37084244582168846,-0.26392656564712524,-0.8553324468433856
