,Mean,Median,Mode
2001,0.07208297796152416,0.07102222740650177,-0.3232753226161003
2002,0.11437459286810167,0.12743476033210754,0.26851529359817505
2101,-0.1473260719191782,-0.04083693400025368,-0.9904927724599839
2102,-0.11076736842271254,0.0027684600790962577,0.16351008713245385
2111,-0.5797352510184712,-0.6610396504402161,-0.9764196524024009
2112,-0.5331188650512166,-0.5194191932678223,-0.9853801375627518
2201,-0.10938272079616468,-0.05075966194272041,-0.772361856997013
2202,-0.10119192529083869,-0.058460336178541183,-0.7953531134128571
2211,-0.6848740235828397,-0.8290028870105743,-0.991032516658306
2212,-0.6202063665585762,-0.7296614348888397,-0.9921503937244416
2301,-0.1261064542230874,-0.1831236109137535,-0.6690957218408584
2302,0.04039831171355594,-0.009554377757012844,-0.18300908356904982
2311,-0.37970307595332925,-0.531097412109375,-0.6914755734801292
2312,-0.17689878620069693,-0.21821989119052887,-0.5842039361596107
2321,-0.630095829634707,-0.6937197148799896,-0.7497566080093383
2322,-0.5106576845758161,-0.6105648875236511,-0.7669393345713615
2331,-0.07212956107190492,-0.0236870925873518,0.2070682114362717
2332,-0.02134011928692108,0.03887668997049332,0.1602705511450767
2401,0.169571267325222,0.1973525658249855,0.35715070486068734
2402,0.15679099681785702,0.14327268302440643,0.1213529694080353
2501,-0.3311083241307439,-0.372882142663002,-0.34771957635879513
2502,-0.4272602472285763,-0.45861777663230896,-0.5731794266402721
2601,-0.2330562510658891,-0.25641559064388275,-0.8415519601106644
2602,-0.34177079224263407,-0.40369147062301636,-0.9247456732392311
2611,-0.4224327064616687,-0.4492691308259964,-0.33533831536769865
2612,-0.217140705961421,-0.23190104216337204,-0.2140673798322678
3001,-0.08342745438102657,-0.08477462828159332,-0.17644887417554855
3002,0.08006578909337826,0.08475953340530396,0.1622656664252281
4001,-0.025082722300138707,0.03236028179526329,0.33903078645467766
4002,0.10804296835615934,0.11639808863401413,0.03078958928585057
4011,-0.37417575188047775,-0.4761984050273895,-0.7810436034202575
4012,-0.3520042871346624,-0.4354822635650635,-0.6196341067552567
4021,-0.18311068621678966,-0.25343434512615204,-0.24879621773958205
4022,-0.06203386532694666,-0.24803324043750763,-0.6728919020295143
4101,-0.3030132562582609,-0.36653508245944977,-0.9484453332424164
4102,-0.2579407854830311,-0.26473236083984375,-0.02948555827140814
4111,-0.3501587353830701,-0.34491047263145447,-0.25649634987115866
4112,-0.40969935949027014,-0.44913527369499207,-0.5088477966189384
4201,0.030194178636631402,0.04410591721534729,-0.33865630745887754
4202,-0.1888592223911331,-0.2362641766667366,-0.3134128570556641
5001,-0.08459151216755927,-0.054890651255846024,-0.0026417049765586897
5002,-0.02649658914860034,-0.02706609759479761,-0.077630977332592
5011,0.023405901483090026,0.024283193983137608,-0.01254650592803963
5012,0.11225440774050156,0.09463261440396309,-0.0024290442466735618
5021,-0.05858451320474195,-0.012254888191819191,-0.03060912251472475
5022,0.04206775636188596,0.035990940406918526,-0.09174581795930864
5101,0.026032267368211466,0.03254134766757488,-0.05650359392166138
5102,-0.011672506887044026,-0.02361627295613289,-0.0434895944595336
5401,-0.23188271987410725,-0.2383386641740799,-0.25730947285890576
5402,-0.18726499566526905,-0.19885580986738205,-0.44502936750650407
6001,0.07351102292457172,0.09052848070859909,0.1642567846179009
6002,0.06717247291820998,0.06810179352760315,0.11591378301382071
6101,0.15559267917668146,0.15432095527648926,0.2317219093441963
6102,0.09351139052930253,0.07736649364233017,0.09075681567192079
6201,0.09960512868355728,0.09782405197620392,0.06634903654456137
6202,-0.0046205580875019695,-0.012916172854602337,-0.3185266700387001
6211,0.1748031408735195,0.1891837641596794,0.3480848810076714
6212,0.1737841014674042,0.16973162442445755,0.14470813870429994
6221,0.1393065078419541,0.13702356070280075,0.13725497186183933
6222,0.0763580759726297,0.0724022164940834,0.05385558962821957
6301,0.03392919682381283,0.041875340044498444,0.04300372272729874
6302,-0.002826366222058072,0.010915166698396206,0.06456502974033346
6401,0.15408900754209182,0.1592257395386696,0.15399508133530615
6402,0.11629057366129888,0.11157751083374023,-0.029384352862834917
7001,0.10928033827990023,0.12520572543144226,0.1247463688254356
7002,0.09809637557647341,0.17112858593463898,0.16405288130044937
7011,0.12084831771568448,0.12243073806166649,0.13603807538747786
7012,0.09304177253710824,0.12154380977153778,0.2528094175457955
7021,-0.04148953875594838,-0.0032393131405115128,0.0510203725099565
7022,-0.2614523666895393,-0.25475697219371796,-0.9501306840777397
7101,-0.08947289515176961,-0.04089757427573204,0.19613666683435438
7102,-0.107090266324337,-0.022974232211709023,0.16721646338701246
8101,-0.023174251912416774,-0.03455423377454281,-0.19113179966807364
8102,0.09210019907283086,0.09079508483409882,0.09644438415765766
8111,0.0018733832303762772,0.05712836794555187,0.16841978460550305
8112,0.05335951849034211,0.05128876306116581,0.010600094795227055
8121,-0.5824977972781672,-0.635285496711731,-0.800410188138485
8122,-0.44861641774697697,-0.5109184980392456,-0.8151729506254197
8201,-0.1715350363502124,-0.14208368957042694,-0.7004408630728722
8202,-0.02790061668454223,0.0006844361196272075,-0.020572327077388763
8301,-0.5605219324881557,-0.601858526468277,-0.7244452181458474
8302,-0.3643775016032853,-0.41827481985092163,-0.6487550210952758
9001,-0.4300253443046537,-0.5221172273159027,-0.6786974647641182
9002,-0.3601344638792956,-0.4501996338367462,-0.6630007863044739
9021,0.02166764567959324,0.04571346566081047,0.036542868614196755
9022,0.10625423719367987,0.13415123522281647,0.16222116649150853
9051,-0.4615869961180322,-0.5034627914428711,-0.5248905700445176
9052,-0.3746385022005257,-0.44198282063007355,-0.9597457787394523
9100,0.14103646943178214,0.1421777307987213,0.0366763132810593
