,Mean,Median,Mode
2001,-0.0016789791039558118,0.01682092808187008,0.058515019714832306
2002,0.0005318848475509938,0.020704619586467743,0.03582490339875216
2101,-0.16045606489314584,-0.10588334128260612,-0.05671587735414502
2102,-0.10854308065362907,-0.05623788945376873,-0.004277595877647367
2111,0.9336796270109277,0.32565051317214966,-0.3073640117049217
2112,1.021602249444225,0.6607720255851746,-0.0696132630109787
2201,-0.04436496814457756,-0.0364017803221941,0.010693621933460185
2202,-0.03139508005237526,-0.010479343123733997,0.046571481525897906
2211,0.8257100269133629,0.32434189319610596,-0.2988225719332695
2212,1.0799132122933963,0.25493112206459045,-0.18478632628917696
2301,0.1064412011101506,-0.016231595538556576,0.06484845876693718
2302,-0.09284630783546419,-0.07082690298557281,0.042146176099777166
2311,0.3187674228451955,0.0378242414444685,0.027311845719814376
2312,0.15732767797424604,-0.006668585818260908,-0.04375538289546968
2321,1.5273030102047542,1.2434480786323547,-0.02002056837081906
2322,1.1349341915725022,0.7295247316360474,-0.044144003391265785
2331,0.019057163768370484,0.012690760660916567,0.03451421260833737
2332,-0.019924895305002355,-0.016613518819212914,-0.05493845939636233
2401,0.03623260122723232,0.07920340076088905,0.11211098223924637
2402,0.09282333435022085,0.10768759995698929,0.1105290105938912
2501,0.07015526994684529,0.05095105059444904,0.040306538119912166
2502,0.018943994358873527,0.012974393554031849,-0.021030990406870842
2601,-0.2154139937771463,-0.14954184740781784,-0.008747256398200898
2602,-0.21202886761186374,-0.157261423766613,0.005884565711021472
2611,0.49236071554495436,0.04729073867201805,-0.02948440551757814
2612,0.4155905861117177,0.02965997252613306,-0.035474314987659405
3001,-0.021291785257547425,-0.028205571696162224,-0.06437749609351157
3002,-0.06163366740955092,-0.047059567645192146,-0.03729610502719882
4001,-0.032817047525054766,-0.02783322148025036,-0.0012041337788105677
4002,-0.004603798068877869,-0.0004972242750227451,0.009001813828945215
4011,0.00853741730364891,0.015750212594866753,0.03162506014108657
4012,0.03593156541958854,0.04209619015455246,0.017665817439556086
4021,-0.17351906764833794,-0.17794083058834076,-0.1458536221086979
4022,-0.21578989615051916,-0.21343649923801422,-0.24041175812482832
4101,-0.05229979611535471,-0.0620889812707901,-0.03869776725769036
4102,-0.08681602266759847,-0.08244264870882034,-0.10948468208312984
4111,-0.09723213586749714,-0.12071935832500458,-0.07754916250705712
4112,-0.11529980107736452,-0.1314411535859108,-0.0011806142330169633
4201,-0.1620860240658399,-0.13173802942037582,-0.09041530635207892
4202,-0.13410455742298127,-0.13314973562955856,-0.12156940788030626
5001,-0.08419800400313868,-0.07648999989032745,-0.068822480738163
