,Mean,Median,Mode
2001,0.03766058130554629,0.03946747072041035,0.11164427101612096
2002,0.009550384619909705,0.042215876281261444,0.0804501941800117
2101,-0.1269257870455516,-0.10787537321448326,-0.08029007971286778
2102,-0.11822293213604433,-0.07852187007665634,0.006076108664274216
2111,-0.0754585577590187,-0.06560380011796951,-0.1160790273547172
2112,-0.05076380942317603,-0.07031447440385818,-0.04850268661975865
2201,-0.06448515505226135,-0.03603804111480713,-0.007769711315631922
2202,-0.09808076339707811,-0.056019075214862823,0.003306223154068033
2211,-0.1513547872019913,-0.09402903914451599,-0.0003027150034903836
2212,-0.16452720614642655,-0.14915397018194199,-0.061001527607440986
2301,-0.11540406424168616,-0.09796835854649544,-0.1191154944896698
2302,-0.039052855838037435,-0.028821658343076706,-0.025788639187812767
2311,-0.08197729814763897,-0.06787627190351486,-0.04736822262406348
2312,-0.1186613075413786,-0.08335533738136292,-0.025451075434684722
2321,-0.06571425202976044,-0.058292170986533165,-0.04466030269861221
2322,-0.029145928062147965,-0.05193929001688957,-0.08221659362316136
2331,0.0030157256131130754,0.02129809930920601,0.023370721936225913
2332,-0.028922156273528676,-0.013884561136364937,0.01456582576036447
2401,-0.02102472992017909,0.022313853725790977,0.08031574636697764
2402,0.007354633065719429,0.034930888563394547,0.09383925437927249
2501,0.01872386913165871,0.005817648954689503,-0.0945698961615562
2502,0.08839964878256265,0.07077036798000336,0.0024816167354584084
2601,-0.11605616131493472,-0.09052276983857155,-0.09335014104843131
2602,-0.16658439236288855,-0.13552593439817429,-0.11131634607911106
2611,-0.06834287305753596,-0.04186769016087055,-0.031459788680076595
2612,-0.06407832299412017,-0.06186775304377079,-0.07215396612882613
3001,0.025905190005240115,0.02875213325023651,0.025994114130735407
3002,0.06338150065197809,0.07412970066070557,0.08267234951257701
4001,0.08388700399201177,0.06725388020277023,0.0020198276638984936
4002,0.01470759165850428,-0.00014869933147565462,-0.04342288970947264
4011,0.06649164122529337,0.056626979261636734,0.056653897911310175
4012,0.1046072013637649,0.08373519778251648,0.04646671861410137
4021,-0.06097980253521706,-0.03774729557335377,0.06360993757843969
4022,0.002372994204013735,0.02660376764833927,0.07410920038819319
4101,0.096169052143827,0.027804645709693432,-0.08982972353696822
4102,0.1933607658934085,0.1362125277519226,-0.0032594548165798265
4111,-0.12436048805218838,-0.12141453474760056,-0.11843922436237336
4112,-0.06870312300907984,-0.08382181078195572,-0.09002670675516128
4201,0.19122635374676655,0.19523777067661285,0.22191094189882282
4202,0.32801016724020016,0.23038162291049957,0.11622155010700227
5001,-0.08576382373664893,-0.09536252170801163,-0.168231671154499
5002,-0.0583560090788346,-0.029066987335681915,-0.027837042510509447
5011,-0.12123270909561905,-0.14049939811229706,-0.15239555478096012
5012,-0.09541046758845387,-0.08475812152028084,-0.06764046400785445
5021,-0.048305823878987894,-0.0478321835398674,-0.083951587677002
5022,-0.06776365900966694,-0.054228775203228,-0.027569333910942184
5101,-0.10586379081753529,-0.10915588960051537,-0.08660328179597848
5102,-0.1370911372498683,-0.11739020049571991,-0.046701110899448395
5401,-0.04166166174428545,-0.04844124987721443,-0.044807112812995875
5402,-0.04711365359859961,-0.04902653768658638,-0.07333498746156691
6001,0.01646299213455228,-0.01659099943935871,0.02127641081809989
6002,-0.036106398193754795,-0.046134524047374725,-0.1090652021765709
6101,0.22371473045108276,0.12365962192416191,-0.041217107474803893
6102,0.2500785981417206,0.17172974348068237,-0.045512513816356626
6201,-0.03233551917234873,-0.07359332963824272,-0.09256124198436738
6202,-0.05240605367610924,-0.09793592244386673,-0.0764219936728478
6211,-0.1695525768456022,-0.1400643140077591,-0.12522343069314962
6212,-0.1073727329681003,-0.10229770839214325,-0.07213424071669577
6221,-0.0746364515900721,-0.09955303370952606,-0.1216767373681068
6222,0.06388239775133803,-0.058455828577280045,-0.15560533791780473
6301,0.01859335880734805,-0.015550784766674042,-0.044641873836517354
6302,-0.1086670529581825,-0.06151379831135273,0.025040525496005994
6401,0.02372848213693533,0.0354293379932642,0.031297340989112854
6402,-0.13717539293112038,-0.009538247715681791,0.040811861157417306
7001,-0.11609393782537801,-0.14688540995121002,-0.1986806684732437
7002,-0.17082942157736014,-0.23543380200862885,-0.29324276745319366
7011,0.005221589839580753,-0.0008586778421886265,-0.01347976282238958
7012,-0.03924777829804619,-0.04362814128398895,-0.06078590467572212
7021,0.18214603211058256,0.17443875968456268,0.12238208167254924
7022,0.12265048936167616,0.06916895881295204,0.04085089191794397
7101,0.3512221050598833,0.32078981399536133,0.37643290162086496
7102,0.3618218865494876,0.37093669176101685,0.41827303707599645
8101,0.13321160561985868,0.13797899335622787,0.20518266856670375
8102,0.09358103474774163,0.13993903994560242,0.16987475410103808
8111,-0.0671906442514601,-0.057875024154782295,-0.03563909053802494
8112,-0.08426638512274798,-0.08237234130501747,-0.11495264142751693
8121,-0.17379626209834953,-0.16516746580600739,-0.04878145426511765
8122,-0.046420742642283734,-0.10735941678285599,-0.17624091356992722
8201,-0.11185165918307123,-0.10480983182787895,-0.06091667771339415
8202,-0.13159856007024318,-0.11745043843984604,-0.055066961050033614
8301,-0.14003316677159233,-0.13066057860851288,-0.14592233240604396
8302,-0.11350278775919016,-0.11192718893289566,-0.08647738754749296
9001,-0.24448215778504978,-0.18542471528053284,-0.008243711590766922
9002,-0.19764297138402653,-0.16043439507484436,-0.04507091343402864
9021,-0.008990195439812755,-0.01004902832210064,-0.04771008044481273
9022,-0.014537448222854781,-0.013357679359614849,-0.006501692235469814
9051,0.048855445621080656,0.041496045887470245,0.05548359692096705
9052,0.07477198895474767,0.049121107906103134,-0.0029895567893981068
9100,-0.023697232844437973,-0.02072121948003769,0.00210080385208139
