,Mean,Median,Mode
2001,-0.028105674472090163,-0.021520658396184444,-0.011769647896289814
2002,0.0029716126897810285,0.015258736908435822,0.07853154122829437
2101,-0.10712667994486842,-0.09760188683867455,-0.10201776638627058
2102,-0.06727155270072882,-0.06287803500890732,-0.02881342500448225
2111,-0.021107946322411895,-0.09178004413843155,-0.1122996136546135
2112,-0.026521401984525822,-0.0886801965534687,-0.140621158182621
2201,-0.0627748106294942,-0.051517805084586143,-0.027199529558420255
2202,-0.0740013695416961,-0.06942962110042572,-0.07453156888484957
2211,0.006716726401513027,-0.003066935925744474,0.03107740193605424
2212,-0.014949755723420702,-0.0661616213619709,-0.08473797515034676
2301,-0.07103525655104756,-0.0751991719007492,-0.03644869998097419
2302,-0.09469243377296827,-0.10794974863529205,-0.17495805799961087
2311,-0.05289368830715751,-0.051116617396473885,-0.053565860837698015
2312,-0.0636760176665566,-0.08566225320100784,-0.09243287831544875
2321,0.12393778019257183,-0.0016122397501021624,-0.0836660389602184
2322,0.16092975560955355,0.00012704625260084867,-0.025279709696769737
2331,0.0033696835219729528,3.311172986286692e-05,-0.054941751956939705
2332,-0.01577815390297562,-0.0274590365588665,-0.017806138098239915
2401,0.03108467406882596,0.03236435353755951,0.08393470242619516
2402,0.0432487725532926,0.05098964273929596,0.04883825480937959
2501,-0.10693755668396906,-0.11616400256752968,-0.14470554709434508
2502,-0.09305704821890978,-0.09396008402109146,-0.10557371735572812
2601,-0.08939262431559568,-0.08841468393802643,-0.11760911867022517
2602,-0.10079037257605472,-0.10588009282946587,-0.15296970412135122
2611,-0.120055262385431,-0.12020538374781609,-0.14119563654065131
2612,-0.1156999050080799,-0.11199815571308136,-0.10551008388400077
3001,-0.02655683233913288,-0.014614377170801163,-0.00723692834377293
3002,-0.03685065506141451,-0.034011632204055786,-0.009218334406614348
4001,-0.031192001731660975,-0.03599701449275017,-0.0844587132334709
4002,-0.03274859925643155,-0.027157719247043133,-0.0028773629665374556
4011,0.014483891370581084,0.023678744211792946,0.01280175551772117
4012,0.021344541374795783,0.011708534322679043,-0.025811723023653033
4021,-0.07685725939119518,-0.06032400019466877,-0.07385258242487913
4022,-0.11618434863392232,-0.09236038476228714,-0.08528061524033542
4101,0.018152726919424822,-0.05996267311275005,-0.09571503892540931
4102,0.03896582964502152,-0.034887149930000305,-0.18915353775024416
