,Mean,Median,Mode
2001,-0.2643351287678948,-0.2975311130285263,-0.492801373898983
2002,-0.24194243316055297,-0.22523030638694763,-0.12655631005764012
2101,-0.35027654916560835,-0.39168767631053925,-0.42556442916393283
2102,-0.3520476860388862,-0.41131332516670227,-0.5453427773714066
2111,-0.16085610018753782,-0.13956011831760406,-0.10376649171113966
2112,-0.09824149882775447,-0.10723492130637169,-0.09849247515201559
2201,-0.3502581766153385,-0.4342222362756729,-0.540894404053688
2202,-0.3197436988306998,-0.3343620002269745,-0.508378019630909
2211,-0.18872092022405185,-0.14928723126649857,-0.18382888942956926
2212,-0.14698929699925706,-0.17075951397418976,-0.23299902558326718
2301,-0.1751782658852236,-0.18194453418254852,-0.13531745061278339
2302,-0.19864338763058137,-0.20000435411930084,-0.18530753850936887
2311,-0.1641027419327452,-0.1690349578857422,-0.17775102704763412
2312,-0.14530950576466933,-0.14925609529018402,-0.17863055914640424
2321,-0.0742328789767518,-0.09437467530369759,-0.15742406576871876
2322,0.011257191925662912,-0.04661480337381363,-0.20485780090093617
2331,-0.18390409469701322,-0.19571707397699356,-0.22834945306181906
2332,-0.15419015871956493,-0.1716480553150177,-0.23986037254333495
2401,-0.31515135090666035,-0.3302745968103409,-0.6300956213474274
2402,-0.34169112113028377,-0.34232090413570404,-0.6081323385238648
2501,-0.017814081686886033,-0.006947821006178856,-0.0614207118749619
2502,-0.16196264204507335,-0.13865874707698822,-0.26438909530639654
2601,-0.30985557732039337,-0.3029090017080307,-0.24673836350440975
2602,-0.2966161333362768,-0.33031755685806274,-0.4863291868567467
2611,-0.1309642521716044,-0.13878938555717468,-0.16416916787624353
2612,-0.06482183655808933,-0.0734454095363617,-0.1415309876203537
3001,-0.11913262049018529,-0.15505942702293396,-0.20564057081937792
3002,-0.025491736627160724,-0.06004035100340843,-0.16666177660226816
4001,-0.05569359456336393,-0.10011143982410431,-0.21158842444419856
4002,-0.060758268137446676,-0.08340170234441757,-0.09115255653858184
4011,-0.034151322100057425,-0.05710994452238083,-0.11041830480098724
4012,-0.03678311067089204,-0.06008986383676529,-0.13303682297468183
4021,-0.16099259750087655,-0.1650441214442253,-0.1484440591931343
4022,-0.21401116892423513,-0.23536744713783264,-0.33088550433516506
4101,0.07582309230965154,0.0999462902545929,0.09992226392030712
4102,0.15114363408765413,0.14209116995334625,0.26828469187021253
4111,0.10869747848648532,0.10188735276460648,0.0949328529834747
4112,0.10253422612119056,0.09626270458102226,0.08683966398239146
4201,0.12491766710626097,0.13852009922266006,0.10592443436384197
4202,0.22843785046514925,0.23843562602996826,0.23125007301568984
5001,-0.21119315634376454,-0.23756912350654602,-0.28325894117355344
5002,-0.19368750193564938,-0.21612047404050827,-0.2555349546670914
5011,-0.24462664085128966,-0.2561853379011154,-0.2918593859672546
5012,-0.2890902271610158,-0.2780708223581314,-0.2843779584765434
5021,-0.1637802182211932,-0.20372193306684494,-0.22876093864440922
