,Mean,Median,Mode
2001,-0.23652807798392397,-0.27661237120628357,-0.5768151023983955
2002,-0.2848702113485055,-0.32013067603111267,-0.6320666024088859
2101,-0.244571651955259,-0.20403074473142624,-0.7166889235377312
2102,-0.30956646286070727,-0.3570526987314224,-0.6567956566810608
2111,-0.4075498574678839,-0.4863929748535156,-0.5615910321474076
2112,-0.17829575217988763,-0.34101341664791107,-0.5497727751731872
2201,-0.08800504616126538,-0.03654552437365055,0.07101693898439404
2202,-0.24741902561116222,-0.2801152467727661,-0.5640738919377327
2211,-0.25065662036068465,-0.3998815715312958,-0.5740507769584655
2212,-0.19701453575666478,-0.269421711564064,-0.44427051723003386
2301,0.009052581364390182,0.007809748873114586,-0.11235235899686813
2302,-0.026619159499510384,-0.04808980971574783,-0.16606640636920927
2311,0.00896982525492131,0.024195673875510693,0.06541154533624649
2312,-0.011242914704110079,-0.003483775071799755,0.023537489473819728
2321,-0.10608411747708929,-0.07796499505639076,0.26666156202554714
2322,0.038371327609984116,0.05323458090424538,0.10626060515642172
2331,-0.11689889439270937,-0.1378500834107399,-0.1251494225859642
2332,-0.07954548426403417,-0.10011480003595352,-0.05980196297168733
2401,-0.2688784632994934,-0.24034620821475983,-0.980987932384014
2402,-0.32430215768941417,-0.33830440044403076,-0.9790638467669487
2501,-0.40653711173008167,-0.4564010500907898,-0.61451004460454
2502,-0.30542370613539094,-0.37243252992630005,-0.6067563143372536
2601,-0.2791227752292744,-0.25529707968235016,-0.2003096541762352
2602,-0.2572846590133673,-0.19583392888307571,-0.05017486140131949
2611,-0.5515431913063941,-0.5534124076366425,-0.544640250117518
2612,-0.4185906056910265,-0.49814891815185547,-0.5392006748914719
3001,-0.007775134878782531,0.0007469424162991345,0.008070455938577692
3002,-0.0763931259520544,-0.07899561151862144,-0.047666015326976785
4001,0.008495739022269282,0.06692170351743698,0.24476894497871404
4002,-0.07869854698418775,-0.08314182236790657,-0.3092978596687317
4011,0.12831148987406335,0.14114533364772797,0.19536799058318144
4012,0.16152317983971187,0.17504775524139404,0.2567275665700436
4021,-0.04794669685302829,-0.04197140596807003,-0.07404235973954199
4022,0.039595225311793485,0.015389141626656055,-0.05509960472583772
4101,0.039671395390811784,0.009675063192844391,-0.017262697219848633
4102,0.04332078944011907,0.016326850280165672,-0.12101717114448546
4111,-0.21823477453161017,-0.13414251804351807,-0.011285342574119506
4112,-0.11268614727531537,-0.075835682451725,-0.07629628032445918
4201,-0.15462767161527433,-0.10795097425580025,-0.13332958042621618
4202,0.0012093530461877024,0.034086691215634346,0.04737778767943385
5001,-0.14982988615783696,-0.1467656046152115,-0.10053160220384594
