,Mean,Median,Mode
2001,-0.12253395249287917,-0.13911542296409607,-0.20751426458358763
2002,-0.11305140816330721,-0.172083780169487,-0.1722941181063652
2101,-0.018313695672985988,-0.024096669629216194,-0.17854770958423616
2102,-0.007977757375689619,-0.05463644675910473,-0.2080759236216545
2111,-0.030443836694733085,-0.06737726181745529,-0.16931797295808793
2112,-0.014519383379770257,-0.01889034081250429,-0.08815815448760989
2201,-0.03841557929853238,-0.06501774117350578,-0.18584283739328383
2202,-0.01440504332596425,-0.05938180349767208,-0.1445107474923133
2211,-0.08261385694235764,-0.16761325299739838,-0.2491861021518707
2212,-0.01679526000931731,-0.04655662924051285,-0.07301302194595333
2301,-0.10078081350841722,-0.14860422909259796,-0.2519283291697502
2302,-0.0695017546952052,-0.10609734803438187,-0.10085678517818447
2311,-0.10396137054701673,-0.13771945238113403,-0.27903157800436024
2312,0.029116809384933294,-0.02926103863865137,-0.18113800525665286
2321,-0.04476221500424576,-0.11001109331846237,-0.18397524714469904
2322,0.14359128704401417,0.1054641529917717,-0.14772338062524798
2331,0.06021869383040165,-0.08462798595428467,-0.28090209454298026
2332,-0.1569540628990871,-0.21380966156721115,-0.263862431049347
2401,-0.024378622743825774,-0.08020791411399841,-0.17364258289337153
2402,-0.03379088649903395,-0.08113677054643631,-0.2881057497859001
2501,-0.0719365537054399,-0.12048723548650742,-0.3351050642132759
2502,-0.09134417055977288,-0.16977617144584656,-0.48903465181589123
2601,-0.10649917492266016,-0.1382363885641098,-0.18270118355751047
2602,-0.051668990758815495,-0.08438314497470856,-0.26805216550827027
2611,-0.20809713960810552,-0.2661699950695038,-0.3037733006477356
2612,-0.0874426625158335,-0.12358985468745232,-0.0835471382737159
3001,0.006937297877170872,-0.035707926377654076,-0.0515518772602081
3002,-0.11124307760974031,-0.1719145029783249,-0.1965821760892868
4001,-0.1266431438988963,-0.1391577422618866,-0.15830224096775053
4002,-0.002089420080533096,-0.03869742900133133,-0.1439478608965873
4011,-0.10503261852543586,-0.13254689425230026,-0.16935601234436037
4012,-0.0674071036798914,-0.0735401064157486,-0.13374001979827888
