,Mean,Median,Mode
2001,0.004723067788411933,-0.024940166622400284,-0.13041502296924587
2002,-0.06544643985515193,-0.09479334205389023,-0.1967435538768768
2101,0.09969527964182505,0.08789705485105515,0.0755120462179184
2102,0.14895451687163097,0.15254784375429153,0.2610268995165824
2111,0.3443420710077414,0.312761515378952,0.25002258211374284
2112,0.3719298510472528,0.3097291439771652,0.29429001659154885
2201,0.05228431337544952,0.02804615907371044,-0.02245873481035232
2202,0.05301220586508218,0.037199124693870544,-0.06980845123529428
2211,0.3004959068818069,0.3034309446811676,0.2775015714764596
2212,0.38049851221691383,0.37959471344947815,0.30885984599590294
2301,0.021023938192687257,-0.004423544742166996,-0.035708009898662574
2302,-0.07314995432295002,-0.1082642525434494,-0.1816940557956696
2311,0.1529385022724796,0.14287381619215012,0.20225116014480593
2312,-0.07455448808035663,-0.09730907157063484,-0.17605102926492694
2321,0.2729307331504411,0.27672138810157776,0.3542712900042533
2322,0.21647182583946575,0.19522862136363983,0.38629687786102285
2331,-0.06907472250674869,-0.08629997819662094,-0.08446001380681994
2332,-0.07972409752029601,-0.09091448038816452,-0.11757091283798216
2401,0.07336047838185353,0.03798734396696091,-0.14085960566997527
2402,0.1367562566809577,0.13116250932216644,0.1208257192373276
2501,0.2847890624831559,0.35235707461833954,0.49492893815040595
2502,0.18832144844788373,0.27097025513648987,0.318595131635666
2601,0.11166426285824922,0.10195174068212509,0.2165755859017372
2602,0.23227895451930153,0.24836498498916626,0.3033999967575073
2611,0.2393826259471084,0.24573779851198196,0.419859793484211
2612,0.18846864063692936,0.20809712260961533,0.45110250353813164
3001,0.06462886537044155,0.06432235613465309,0.2202224090695381
3002,0.07286483671102602,0.07871074229478836,0.08429110527038575
4001,-0.026795041714543343,-0.0456774290651083,-0.1898538386821747
4002,-0.05055872397561912,-0.11303891241550446,-0.22503436028957366
4011,0.14742428190680706,0.10341532900929451,-0.06148763179779054
4012,-0.005457257450898425,-0.037618186324834824,-0.07961757838726041
4021,-0.025589586398005647,-0.08275996148586273,-0.0626113826036454
4022,-0.06011321875600825,-0.10009848326444626,-0.172564178109169
4101,0.03154915472077737,0.0319986455142498,-0.09969538688659668
4102,0.06488464142948147,0.07370308041572571,0.08698530286550521
4111,-0.006475938427809876,-0.0007501881336793303,0.23940925419330594
4112,-0.045816977678452414,-0.043277135118842125,-0.12714920431375498
4201,0.14984880549639065,0.2041943445801735,0.305636634528637
4202,0.15305992553487005,0.19113057851791382,0.21278221577405926
5001,0.045803643683700684,-0.042908523231744766,-0.1343240377306938
5002,-0.05429762869060592,-0.1387893408536911,-0.24708893328905113
5011,0.2849306795053506,0.11916585266590118,-0.10817771852016456
5012,0.09731752394667671,-0.05383521504700184,-0.19656633436679843
5021,-0.21699095041646288,-0.20177201926708221,-0.901739045381546
5022,-0.13191281615009662,-0.15335680544376373,-0.22104772031307224
5101,0.023090713896790308,-0.054075898602604866,-0.17955872982740406
5102,-0.08698540774720358,-0.10500633716583252,-0.9831804969906808
5401,-0.1367022547395489,-0.1393759846687317,-0.16588509887456887
5402,-0.07820413917877382,-0.130126491189003,-0.3097539547085762
6001,0.03351142869065497,0.006962573621422052,-0.11516499221324927
6002,-0.08547562628539586,-0.12513291835784912,-0.22250447630882259
6101,-0.04030381438592933,-0.09676829725503922,-0.38007167786359786
