,Mean,Median,Mode
1,-0.49957735965167155,-0.5183052718639374,-0.583252251110971
2,-0.6306591342928951,-0.6288554668426514,-0.6252582046389579
3,-0.40016483826626575,-0.38227295875549316,-0.3616042196750641
4,-0.4424835043032402,-0.4781040847301483,-0.48300015926361084
5,-0.49045946767340565,-0.5995877385139465,-0.6620612889528275
6,-0.46817731171272925,-0.5103123784065247,-0.5151342034339905
7,-0.2835379536423552,-0.2512965500354767,0.030744904726743738
8,-0.35454647351311636,-0.3320094347000122,-0.2852338714897633
9,-0.2612761573663496,-0.260460764169693,-0.18258593648672106
10,-0.30263745423863336,-0.24767236411571503,-0.1569829460978508
11,-0.3612419465739857,-0.39797043800354004,-0.4982328236103058
12,-0.2689095496697111,-0.21944507956504822,-0.13141927123069763
13,-0.40916255504097704,-0.4293769299983978,-0.436394689232111
14,-0.4628208242122502,-0.49614498019218445,-0.5468778966367245
15,-0.4078388407064444,-0.5013206899166107,-0.5744073101878167
16,-0.3529334554879269,-0.4366840273141861,-0.5564470839500427
17,-0.34212010594430176,-0.3649074286222458,-0.6893092089891434
18,-0.2664764614501917,-0.2955383360385895,-0.7005299693346023
19,-0.33738621657555923,-0.45330971479415894,-0.5558511406183243
20,-0.3129292841641898,-0.3103809505701065,-0.17626439258456233
21,-0.39192732003040504,-0.49318578839302063,-0.524085350036621
22,-0.37413394985418624,-0.3665023297071457,-0.7400298418104648
23,-0.38925041998248033,-0.4766883999109268,-0.5452824610471725
24,-0.3063205726498773,-0.3479347229003906,-0.5257105061411858
25,-0.4964338272039575,-0.5330593883991241,-0.5885985255241394
26,-0.45362581650896083,-0.5275624692440033,-0.6038528195023536
27,-0.4434901393122785,-0.49249014258384705,-0.5571042978763581
28,-0.3423179362742625,-0.393172487616539,-0.6264609044790268
29,-0.3056209712410941,-0.34861335158348083,-0.4502550455927849
30,-0.24264465546692462,-0.26000039279460907,-0.2766497008502483
31,-0.17345749907965177,-0.16619357466697693,-0.21509872198104857
32,-0.1988451641920026,-0.19242729991674423,-0.20735510885715486
33,-0.11109407819175901,-0.1169503703713417,-0.17267175674438479
34,-0.13241882865294746,-0.13404373824596405,-0.12984530314803122
35,-0.1859792621435739,-0.18246708065271378,-0.15158820420503616
36,-0.020025501756828545,-0.007062763907015324,-0.0037052506208420377
37,-0.37344307390916526,-0.44168974459171295,-0.5987884043902159
38,-0.283853683900221,-0.26522713899612427,-0.21210063382983207
39,-0.298590365518624,-0.3265670835971832,-0.47230356216430663
40,-0.23739694805442113,-0.22490746527910233,-0.2547166611254216
41,-0.06897377649877696,-0.0700904130935669,-0.011465472579002323
42,0.01523980176736825,-0.007066257297992706,-0.1426637141406536
43,-0.07744049013834345,-0.09646093845367432,-0.10658700123429302
44,-0.08751891867112359,-0.09845521301031113,-0.2744138938188553
45,-0.08954611206552697,-0.10735131055116653,-0.22470170110464094
46,-0.18350253696810395,-0.1973111480474472,-0.2785227309167385
47,-0.11715337172733373,-0.13894464820623398,-0.162146714925766
48,-0.15221769015687198,-0.1815839558839798,-0.16152652874588966
49,-0.06680941354857507,-0.08758878707885742,-0.18584859788417815
50,0.013579066390494561,0.012987433932721615,-0.012815835475921633
51,-0.1767182316170193,-0.1622316762804985,-0.04175283566117283
52,-0.1169776679087198,-0.13057469576597214,-0.24691166967153544
53,-0.32632843918471066,-0.3340207040309906,-0.31763523951172823
54,-0.22386610406369722,-0.19160142540931702,-0.07874059230089192
55,-0.26060000666782007,-0.32907047867774963,-0.4700484225153923
56,-0.6334460498881044,-0.6564708352088928,-0.6998979522287846
57,-0.3976312966828808,-0.4796111285686493,-0.60158681422472
58,-0.23746184398629383,-0.22871127724647522,-0.1295662425458431
59,-0.3996330224266922,-0.4223209619522095,-0.5960033236443997
60,-0.21231787553334142,-0.21514834463596344,-0.1025307294726372
61,-0.35472165349462953,-0.4155289828777313,-0.5987731772661209
62,-0.45294524548664494,-0.5431627035140991,-0.6024685549736023
63,-0.25210070308564875,-0.23565248399972916,-0.2167002975940704
64,-0.06297820041562545,-0.05896126292645931,-0.038248707652091984
