,Mean,Median,Mode
1,-0.08306788276570337,-0.16391858458518982,-0.33742521703243256
2,0.056950011270457235,-0.005905626807361841,-0.16518528759479523
3,0.015035937514938948,-0.051652390509843826,-0.28263029247522353
4,-0.00431813176280389,-0.0852595753967762,-0.22778073489665984
5,-0.09731723212568057,-0.18815991282463074,-0.1515132886171341
6,-0.07028622114060655,-0.12029353901743889,-0.2336596688628197
7,-0.15005829483930064,-0.17455320060253143,-0.18665593951940535
8,-0.24288590115184017,-0.2759195566177368,-0.3344268944859504
9,-0.15820032887637006,-0.16993825882673264,-0.20500609695911404
10,0.11470662831016451,-0.03617436811327934,-0.14208107292652128
11,0.35502778961264286,0.2708166241645813,0.14135131239891052
12,0.08936658231966886,-0.013125746510922909,-0.16209724873304365
13,0.03265869275243237,-0.0038359183818101883,-0.07651490956544871
14,-0.0677741364714008,-0.09845739603042603,-0.251411090195179
15,-0.047096332451907995,-0.09433330222964287,-0.13523221850395206
16,-0.013347684917066546,-0.054922932758927345,-0.06670383989810941
17,-0.08944604368875722,-0.1137804314494133,-0.19210395961999893
18,-0.15315188377415398,-0.1901986002922058,-0.22973683297634123
19,-0.18032791433067516,-0.21637272834777832,-0.319833989739418
20,-0.07755565626147068,-0.11392471566796303,-0.2180225116014481
21,-0.0779321048066803,-0.13645505905151367,-0.2721805101633072
22,-0.1027308062860725,-0.11991550773382187,-0.21904253393411632
23,-0.018364353994524834,-0.03545686416327953,-0.12331404805183405
24,-0.10379006533731731,-0.1582758128643036,-0.21102601885795594
25,0.025212855054095217,0.006197690032422543,-0.10592280775308605
26,-0.1255828806717137,-0.15710976719856262,-0.23324760943651196
27,0.009206238309889017,0.00424687541089952,-0.011606332659721275
28,-0.05302008659004115,-0.07407157123088837,-0.12375027954578405
29,-0.09661245546131256,-0.14231153577566147,-0.21904059678316112
30,-0.04504733989405122,-0.09392500296235085,-0.1750852191448211
31,-0.04847825264524715,-0.12286051362752914,-0.3101894846558571
32,-0.009877329661630584,-0.029965979978442192,-0.05010671406984335
33,0.06756517776154047,-0.016053516417741776,-0.06413856029510495
34,-0.16809424102513068,-0.1538679450750351,-0.1611094132065773
35,-0.06111254709691459,-0.10462381690740585,-0.2167060208320617
36,-0.14745371604750745,-0.18968559801578522,-0.2928132385015488
37,-0.13105272536020493,-0.1417010948061943,-0.16935601234436037
38,-0.14002093740486768,-0.20181778818368912,-0.292037690281868
39,0.0446553732350057,-0.0018049440113827586,-0.11134256750345228
40,-0.073460096012312,-0.10194479674100876,-0.07112931460142141
41,-0.19112027696084746,-0.21251800656318665,-0.2013791829347611
42,-0.04537342537630358,-0.06365683302283287,-0.1789769104123115
43,-0.15323251220655504,-0.19032181799411774,-0.2779099881649018
44,-0.1313286765005683,-0.16359931975603104,-0.22827757149934763
45,-0.29956045160688377,-0.3366747945547104,-0.37045283794403083
46,-0.07302226102938128,-0.11079341545701027,-0.1540428650379181
47,0.03773867123879302,0.015188256278634071,-0.049037465453147855
48,0.13621321978791923,0.12064801901578903,-0.22281743645668034
49,-0.24733210793377433,-0.25801020860671997,-0.22575322777032847
50,-0.07575338829767202,-0.10010253265500069,-0.1327527275681495
51,0.03008393175762622,-0.004436302464455366,-0.03729294031858449
52,0.01006513239060712,-0.04263254441320896,-0.2121203988790512
53,0.01630428408666345,-0.04095930606126785,-0.19546301156282425
54,-0.0438119080130209,-0.10265675187110901,-0.1941278159618378
55,-0.13636391518939653,-0.17156121134757996,-0.1439743092656135
56,-0.14049794994574138,-0.18037115037441254,-0.2535707092285156
57,-0.032874066222278904,-0.10801909118890762,-0.19826187044382096
58,-0.10190061727300737,-0.16446085274219513,-0.276243550479412
59,-0.09148122720449829,-0.14222878217697144,-0.22596154391765594
60,-0.11307511084138708,-0.17041106522083282,-0.2799946939945221
61,-0.1950728512172617,-0.24780575931072235,-0.30361173957586296
62,-0.15864609377488445,-0.2000727877020836,-0.3234919762611389
63,-0.1470146239682088,-0.1888251155614853,-0.19948667556047442
64,-0.1522902475353924,-0.24219252914190292,-0.3264216461777687
65,-0.2247160591862833,-0.2552030384540558,-0.3167896136641503
66,-0.036406692795046415,-0.08668730407953262,-0.19782928168773656
67,0.0340544616609205,-0.03644377179443836,-0.03519654512405401
68,-0.1416742008667325,-0.1753797084093094,-0.1999877318739891
69,-0.22843963830109962,-0.2387622445821762,-0.20207451462745674
70,-0.1887367531328495,-0.2086305320262909,-0.26564364880323404
71,-0.16407993900599965,-0.19722428917884827,-0.27948116719722754
72,-0.09067822777333563,-0.12018583714962006,-0.07921732515096674
73,-0.09887030459780602,-0.1300768405199051,-0.10346300899982458
74,-0.041653883390672206,-0.16650240123271942,-0.6456780797243118
75,-0.1499665987012615,-0.18867146968841553,-0.14764228880405428
76,-0.10438382209003325,-0.1603659689426422,-0.25997727125883097
77,-0.13818619051526926,-0.14966141432523727,-0.1321993377804756
78,-0.08472439484998037,-0.11764052137732506,-0.17112120658159258
79,0.0029251588355192655,-0.022203617729246616,-0.08591374456882472
80,0.07538266309287016,0.045424554497003555,-0.06309101372957238
81,-0.21349519794583424,-0.24156619608402252,-0.2183851537108421
82,-0.15438286683048674,-0.21825657039880753,-0.23434157460927962
83,-0.01244657233568394,-0.03083892911672592,-0.08481579124927513
84,0.009226349272324541,-0.07302427291870117,-0.24628977417945863
85,-0.04800688559416897,-0.06708288192749023,-0.05093331098556514
86,-0.1015376024743717,-0.15917719155550003,-0.20061095505952836
87,0.048672361254134065,0.06715139001607895,0.04751991778612136
88,-0.007003085293737886,-0.020850107073783875,0.03715502411127097
89,-0.1303377301942743,-0.15393571555614471,-0.13993891060352331
90,-0.039319239722372556,-0.09333619475364685,-0.24599719285964966
91,0.11949498579281796,0.07391800358891487,-0.059314308166503904
92,-0.04339168470561783,-0.09304036945104599,-0.1312317094206809
93,0.08515209982224764,0.01658840849995613,-0.13444003641605373
94,0.05798807407239786,0.018181358464062214,-0.1717042192816734
95,0.061707896209455805,0.01948552392423153,-0.17415545761585233
96,-0.11813999063722222,-0.15890401601791382,-0.20977475166320797
97,-0.048464550552772726,-0.10461350157856941,-0.29458228200674064
98,-0.02413012587220214,-0.08527711406350136,-0.13317238926887515
99,-0.12385944295169161,-0.15007511526346207,-0.16624289929866792
100,-0.16041971395540264,-0.1879940778017044,-0.2680098727345467
101,0.1511625715076575,0.1491231471300125,0.5591531857848168
102,0.29886998859972785,0.31519365310668945,0.6515234291553497
103,-0.10215523396323774,-0.1626967340707779,0.5717963007092477
104,-0.2560674284789129,-0.2972846031188965,-0.36065971851348877
105,-0.22596393604955153,-0.27670934796333313,-0.3904543501138687
106,-0.3130364355018902,-0.3487170934677124,-0.49590444564819336
107,-0.11192051978475406,-0.1929514929652214,-0.2955734914541244
108,-0.16956676692434045,-0.2174261212348938,-0.4190701946616173
109,0.16971035195065337,0.20576266944408417,0.37798324972391134
110,-0.08388824765419925,-0.11463193222880363,-0.18375508934259413
111,0.5332018575977918,0.57917320728302,0.8006311610341073
112,0.6399275049727317,0.6972814202308655,1.0743572679162026
113,0.05835287217248128,0.008871352765709162,-0.07719908148050314
114,0.020935402831795336,-0.0033886791206896305,-0.05708890885114676
115,0.005104774680094188,-0.06159398704767227,-0.21987797528505332
116,0.010483829966653745,-0.02747976966202259,-0.23854112327098842
117,0.07960812667325584,0.07307619601488113,0.32045384973287583
118,0.3020244699273332,0.0999164991080761,-0.19401951581239701
119,0.06633740204657616,-0.02876392938196659,-0.31134987831115724
