,Mean,Median,Mode
1,-0.11452428006978968,-0.146301731467247,-0.25076482802629474
2,0.22498279525323198,0.2482077181339264,0.29704425483942026
3,-0.12491953303747817,-0.1336560845375061,-0.3638103017210961
4,-0.7552344202528501,-0.8181378245353699,-0.8623973608016968
5,-0.6744819298012789,-0.7412989735603333,-0.8291882947087288
6,-0.2889737948919322,-0.2692677080631256,-0.23996279105544088
7,-0.38146853838583356,-0.44964414834976196,-0.5779795435070991
8,-0.5725279603059104,-0.6079034805297852,-0.7947957573272288
9,-0.06989174576006876,-0.10460087656974792,-0.23594673275947572
10,0.11292659496232339,0.09780391305685043,-0.10456751167774198
11,-0.4916955943078895,-0.576029360294342,-0.8518933945894241
12,-0.7866933961829747,-0.8254621028900146,-0.8547251537069678
13,-0.602656097134611,-0.6856785416603088,-0.8428252621553838
14,-0.619160038015819,-0.6699311137199402,-0.8380424077599309
15,-0.5323561510823468,-0.5773342847824097,-0.5850367531180382
16,-0.2946810795406734,-0.2712867558002472,-0.04912677057087428
17,-0.3279821508974646,-0.3167056441307068,-0.17620078071951872
18,0.015282493266118441,0.02045859768986702,0.011487052142620136
19,-0.08599351449643305,-0.03219977766275406,-0.0065665996074676936
20,-0.012463940749302807,-0.008243001997470856,-0.00408661991357806
21,0.05010374723544915,0.03494926542043686,-0.15216533690690986
22,-0.4417951369251328,-0.4447021931409836,-0.41811693692579865
23,-0.048338469120972956,0.03895777463912964,0.13003799021244045
24,-0.11912661706836095,-0.09418801218271255,-0.11855780437588687
25,-0.016359254423899582,0.03097861260175705,0.21381731957197203
26,0.14989815358552744,0.22169188410043716,0.23996373921632763
27,-0.062351323719858805,-0.05307688005268574,-0.03774705007672313
28,0.019741385035153908,0.00863470183685422,-0.0840471051633358
29,-0.19523067592941223,-0.12169394642114639,-0.0727227206528187
30,-0.024148878234125117,0.005311541724950075,0.02081028610467911
31,-0.22454991197316299,-0.2181766927242279,-0.2340249886363745
32,-0.27004255365313756,-0.2780624032020569,-0.06794732280075555
33,-0.4500197552369486,-0.5250551998615265,-0.6265891661494971
34,-0.20754577454884887,-0.15533951669931412,-0.028318073228001672
35,-0.20904070505942843,-0.1870461106300354,-0.19521427087485793
36,-0.47560972250458816,-0.5936394929885864,-0.7238296303898096
37,-0.5261109483014225,-0.6389380991458893,-0.7296477547287941
38,0.007287965906753431,0.01645589992403984,0.002956127822399124
39,-0.7654357983913039,-0.7992279529571533,-0.8462513753771782
40,-0.5980692364620197,-0.711302250623703,-0.7507776589691639
41,-0.5361898571328829,-0.6883306503295898,-0.8621205039322376
42,-0.5869467718831967,-0.7260400056838989,-0.8204754066467286
43,-0.6714252420099815,-0.7870863080024719,-0.8525649301707745
44,-0.6029311347702111,-0.7019585967063904,-0.7370656580477952
45,-0.4470335008825448,-0.48082485795021057,-0.8592296548187732
46,-0.5474833489859622,-0.6698945760726929,-0.8633231475949288
47,-0.27217915030407913,-0.288915753364563,-0.5486949324607848
48,-0.10813434205503773,-0.05396445281803608,-0.007395865917205868
49,-0.04098719998113877,-0.03325524926185608,-0.10886729985475535
50,-0.5602674532029923,-0.6732416450977325,-0.8020799452066422
51,-0.37949344698560816,-0.31349003314971924,-0.17342105206102137
52,-0.2921121962464651,-0.2784820646047592,-0.06834657400846478
53,-0.5874076093732379,-0.661072850227356,-0.8458363715559245
54,-0.5412463070391471,-0.7093921899795532,-0.8578845441341401
55,-0.33968163833921766,-0.36698171496391296,-0.8543159446120262
56,-0.7113618445070916,-0.8005739450454712,-0.8437090763449668
57,-0.37344567743981255,-0.389938086271286,-0.77123959466815
58,-0.6213826400874721,-0.6661747694015503,-0.7483901177346706
59,-0.3087621437395322,-0.325409859418869,-0.7466461619734764
60,-0.19414930363238445,-0.19571927189826965,-0.2212119141966104
61,-0.4765000667389363,-0.5034671723842621,-0.7785875214077532
62,-0.57239575193301,-0.6810398697853088,-0.8033297754824161
63,-0.2061738598416404,-0.19888176023960114,0.014924068301916171
64,-0.0864995722747372,-0.11177365481853485,-0.24884723275899884
65,-0.184578405034808,-0.1740877330303192,-0.09697084315121177
66,-0.42805281707940174,-0.49031849205493927,-0.7207819482684135
67,-0.7030094431783848,-0.7490147948265076,-0.8150364980101585
68,-0.139354684177556,-0.09496860951185226,0.0016982592642307281
69,-0.15983412149627932,-0.15089072287082672,-0.118365465849638
70,-0.4960150310640478,-0.5881010293960571,-0.7354673231393098
71,-0.3897919661666019,-0.4616839438676834,-0.49684370398521427
72,-0.3291856856879615,-0.29170723259449005,-0.16993156343698507
73,-0.15335625845493359,-0.17757175862789154,-0.22936629205942152
