,Mean,Median,Mode
1,0.16465027765375678,0.163288414478302,0.27094451919198037
2,0.20030376148078807,0.23509245365858078,0.3028464168310166
3,0.26550092876993475,0.21976415812969208,-0.09240810424089435
4,-0.2171137485570192,-0.3625718802213669,-0.6555508700013161
5,-0.34536217562358207,-0.36065787076950073,-0.34742291256785396
6,-0.11762623543776891,-0.1105872169137001,0.001235657036304405
7,-0.21308014437521447,-0.24285118281841278,-0.3164649695158005
8,-0.3627041506699988,-0.338005393743515,-0.3100622198730707
9,0.07951857124946572,0.10829480737447739,0.08177240371704098
10,0.22177645486064249,0.2515127956867218,0.3466197082400322
11,0.2669299667272514,0.3040057271718979,0.39624674648046504
12,-0.27160802085115027,-0.398064523935318,-0.4905390644073486
13,-0.3139440071145109,-0.3456563949584961,-0.38795189034193756
14,-0.1810180666891411,-0.17823733389377594,-0.003772461712360342
15,-0.16889559177352054,-0.1741359829902649,-0.16895951628684994
16,-0.31353483535172444,-0.31088781356811523,-0.39704559799283745
17,-0.07372978310446988,-0.1315464824438095,-0.40532707065343854
18,-0.2160098201206141,-0.2205308973789215,-0.20465525910258292
19,-0.1371749862160657,-0.1519124060869217,-0.22746919035911561
20,-0.17128561898555408,-0.18204426765441895,-0.20126944810152053
21,-0.11327996817580507,-0.15466785430908203,-0.18232169300317766
22,0.051873178090526655,0.03366273455321789,0.15392737090587622
23,-0.15784885304815774,-0.17546287178993225,-0.17847644001245497
24,-0.19509879252768075,-0.22083096206188202,-0.2500196258723736
25,-0.174640309792644,-0.19170065224170685,-0.21810518205165863
26,-0.23839304372326178,-0.26070134341716766,-0.2887503929436207
27,-0.14927109962502363,-0.18001976609230042,-0.21542860314249992
28,-0.16264682209128428,-0.16403578966856003,-0.07509170368313789
29,-0.24168395232374615,-0.26178282499313354,-0.2981217189133167
30,-0.19604983151327113,-0.20274688303470612,-0.207060689330101
31,-0.12179954958351731,-0.15068034827709198,-0.16774798244237904
32,-0.12190225199549824,-0.1347154825925827,-0.149543234705925
33,-0.30189190039367403,-0.3475450575351715,-0.4217615504562855
34,-0.16446771207599473,-0.1736750304698944,-0.21441718369722368
35,-0.12209971594417861,-0.13818898797035217,-0.24897403329610826
36,-0.24918228292126207,-0.247234508395195,-0.1315702229738236
37,-0.3187765926277484,-0.3940940499305725,-0.5258180722594261
38,0.017768057594375962,-0.005872561130672693,-0.10232115134596823
39,-0.22886400744445462,-0.3039070665836334,-0.41956667959690097
40,-0.25436113817544126,-0.3403695523738861,-0.4645811939239502
41,-0.24413292264751896,-0.3134765923023224,-0.44521667540073395
42,-0.36474682324677277,-0.4482969343662262,-0.49673669487237937
43,-0.17871028583408052,-0.28187867999076843,-0.4863573929667473
44,-0.3264409946478145,-0.4111323058605194,-0.5490277633070946
45,-0.42173384976290385,-0.49183185398578644,-0.6270293289422989
46,-0.4138842823378988,-0.501825749874115,-0.5419536292552948
47,-0.1018090000210356,-0.12990619987249374,-0.13513889253139497
48,-0.09740758353591673,-0.11131402850151062,-0.09762818843126292
49,-0.19506812145500224,-0.2146332710981369,-0.24819801077246664
50,-0.23823834720532167,-0.2566628158092499,-0.3469081655144691
51,-0.010874736686002173,0.00989619456231594,0.01423240631818773
52,-0.06309778260528369,-0.07200299948453903,-0.06865690648555756
53,-0.3310967871488182,-0.3585532307624817,-0.5564787572622298
54,-0.19069201673623576,-0.23859462141990662,-0.26326042562723156
55,-0.24161550437404916,-0.26425281167030334,-0.45517258286476137
56,-0.41030169015598283,-0.43684688210487366,-0.4978252816200256
57,-0.278403488910902,-0.2718970477581024,-0.23522618457674982
58,-0.4425665098658316,-0.5376595258712769,-0.6611954692006111
59,-0.21116290724832623,-0.1879226639866829,-0.12352945357561113
60,-0.12124395680561706,-0.14556418359279633,-0.16945056676864623
61,-0.1367503948792402,-0.1599998027086258,-0.4320593878626824
62,-0.29424071333882973,-0.3155534267425537,-0.4656575798988342
63,0.03451141139713721,-0.002111915498971939,-0.07380644232034683
64,-0.2391425893264581,-0.25277990102767944,-0.24982709586620333
65,-0.12470032350743045,-0.14469890296459198,-0.15769884362816813
66,-0.13400634489761662,-0.13376261293888092,-0.23131993174552914
67,-0.4204239149520765,-0.48053842782974243,-0.5113344937562943
68,-0.06279473470768457,-0.09426066651940346,-0.14157462120056152
69,-0.05857679774101181,-0.05264966934919357,-0.08155626416206357
70,-0.4387140606349009,-0.5539531707763672,-0.6001314580440522
71,-0.10781100373202711,-0.12425174936652184,-0.12104318112134935
72,-0.09139229299606537,-0.10739881545305252,-0.1460848405957222
73,0.026964319908147127,0.028968694619834423,0.032508548796176984
74,-0.053023695084571304,-0.05974176898598671,-0.1607031777501106
75,0.06508362922524195,0.05021145939826965,-0.04819225221872325
76,-0.10289723884242002,-0.15606042742729187,-0.3321973495185375
77,-0.3266258947070743,-0.37612247467041016,-0.4255480994284153
78,-0.1704365170077235,-0.22165969014167786,-0.26247161716222767
79,-0.04629095764631928,-0.04374159872531891,-0.04802566647529605
80,-0.16211996781334234,-0.16395576298236847,-0.2534069311618805
81,-0.06048138514538303,-0.08385564759373665,-0.16547486692667007
