cost,metric,group1,group2,n1,n2,U,p
0.05,global_efficiency,Controls,Coma,20,14,166.0,0.37222458772597034
0.05,avg_clustering,Controls,Coma,20,14,209.0,0.016529893178086588
0.05,avg_path_length,Controls,Coma,20,14,98.0,0.1464467003151893
0.05,small_worldness,Controls,Coma,20,14,215.0,0.009135084720029931
0.1,global_efficiency,Controls,Coma,20,14,158.0,0.5402913746074199
0.1,avg_clustering,Controls,Coma,20,14,149.0,0.7661321051695728
0.1,avg_path_length,Controls,Coma,20,14,114.0,0.37222458772597034
0.1,small_worldness,Controls,Coma,20,14,155.0,0.6118781816186112
0.15000000000000002,global_efficiency,Controls,Coma,20,14,151.0,0.7133031738784577
0.15000000000000002,avg_clustering,Controls,Coma,20,14,141.0,0.9860406404472006
0.15000000000000002,avg_path_length,Controls,Coma,20,14,132.0,0.7929781290670319
0.15000000000000002,small_worldness,Controls,Coma,20,14,152.0,0.6873777701764827
0.2,global_efficiency,Controls,Coma,20,14,146.0,0.8473819693008895
0.2,avg_clustering,Controls,Coma,20,14,144.0,0.9025232501776794
0.2,avg_path_length,Controls,Coma,20,14,135.0,0.8748766577543728
0.2,small_worldness,Controls,Coma,20,14,144.0,0.9025232501776794
0.25,global_efficiency,Controls,Coma,20,14,141.0,0.9860406404472006
0.25,avg_clustering,Controls,Coma,20,14,163.0,0.43108520748661294
0.25,avg_path_length,Controls,Coma,20,14,141.0,0.9860406404472006
0.25,small_worldness,Controls,Coma,20,14,152.0,0.6873777701764827
0.3,global_efficiency,Controls,Coma,20,14,132.0,0.7929781290670319
0.3,avg_clustering,Controls,Coma,20,14,167.0,0.3537672485475659
0.3,avg_path_length,Controls,Coma,20,14,151.0,0.7133031738784577
0.3,small_worldness,Controls,Coma,20,14,155.0,0.6118781816186112
0.35000000000000003,global_efficiency,Controls,Coma,20,14,135.0,0.8748766577543728
0.35000000000000003,avg_clustering,Controls,Coma,20,14,190.0,0.0832487855820891
0.35000000000000003,avg_path_length,Controls,Coma,20,14,148.0,0.7929781290670319
0.35000000000000003,small_worldness,Controls,Coma,20,14,186.0,0.11134688653314041
0.4,global_efficiency,Controls,Coma,20,14,121.0,0.5173956477449926
0.4,avg_clustering,Controls,Coma,20,14,202.0,0.03139328246783708
0.4,avg_path_length,Controls,Coma,20,14,162.0,0.4518446479417627
0.4,small_worldness,Controls,Coma,20,14,173.0,0.2554283176824368
0.45,global_efficiency,Controls,Coma,20,14,100.0,0.16690659538227026
0.45,avg_clustering,Controls,Coma,20,14,196.0,0.05212554758041014
0.45,avg_path_length,Controls,Coma,20,14,180.0,0.16690659538227026
0.45,small_worldness,Controls,Coma,20,14,158.0,0.5402913746074199
0.5,global_efficiency,Controls,Coma,20,14,97.0,0.13696458338045137
0.5,avg_clustering,Controls,Coma,20,14,202.0,0.03139328246783708
0.5,avg_path_length,Controls,Coma,20,14,182.5,0.14161426721484635
0.5,small_worldness,Controls,Coma,20,14,158.0,0.5402913746074199
