cost,metric,group1,group2,n1,n2,U,p
0.05,global_efficiency,Controls,Coma,20,14,103.0,0.20151966887832418
0.05,avg_clustering,Controls,Coma,20,14,96.0,0.12796325566680153
0.05,avg_path_length,Controls,Coma,20,14,174.0,0.24109436930573114
0.05,small_worldness,Controls,Coma,20,14,83.0,0.04803166706209139
0.1,global_efficiency,Controls,Coma,20,14,78.0,0.03139328246783708
0.1,avg_clustering,Controls,Coma,20,14,116.0,0.41088984707006326
0.1,avg_path_length,Controls,Coma,20,14,192.0,0.07152580467739117
0.1,small_worldness,Controls,Coma,20,14,97.0,0.13696458338045137
0.15000000000000002,global_efficiency,Controls,Coma,20,14,61.0,0.0060156378745918
0.15000000000000002,avg_clustering,Controls,Coma,20,14,110.0,0.30193864318981
0.15000000000000002,avg_path_length,Controls,Coma,20,14,213.0,0.011181605048015436
0.15000000000000002,small_worldness,Controls,Coma,20,14,77.0,0.028739281925163958
0.2,global_efficiency,Controls,Coma,20,14,63.0,0.007429741511332664
0.2,avg_clustering,Controls,Coma,20,14,103.0,0.20151966887832418
0.2,avg_path_length,Controls,Coma,20,14,213.0,0.011181605048015436
0.2,small_worldness,Controls,Coma,20,14,66.0,0.010112333921333462
0.25,global_efficiency,Controls,Coma,20,14,72.0,0.018176251617598102
0.25,avg_clustering,Controls,Coma,20,14,104.0,0.21414757294039755
0.25,avg_path_length,Controls,Coma,20,14,221.0,0.004848762721678943
0.25,small_worldness,Controls,Coma,20,14,67.0,0.011181605048015436
0.3,global_efficiency,Controls,Coma,20,14,66.0,0.010112333921333462
0.3,avg_clustering,Controls,Coma,20,14,131.0,0.7661321051695728
0.3,avg_path_length,Controls,Coma,20,14,217.5,0.0070376707414528585
0.3,small_worldness,Controls,Coma,20,14,80.0,0.03733641592066288
0.35000000000000003,global_efficiency,Controls,Coma,20,14,81.0,0.04065086149898657
0.35000000000000003,avg_clustering,Controls,Coma,20,14,143.0,0.9302885701156912
0.35000000000000003,avg_path_length,Controls,Coma,20,14,209.0,0.016529893178086588
0.35000000000000003,small_worldness,Controls,Coma,20,14,86.0,0.06119138435536493
0.4,global_efficiency,Controls,Coma,20,14,76.0,0.026280796852063255
0.4,avg_clustering,Controls,Coma,20,14,139.0,0.9860406404472006
0.4,avg_path_length,Controls,Coma,20,14,219.0,0.0060156378745918
0.4,small_worldness,Controls,Coma,20,14,71.0,0.016529893178086588
0.45,global_efficiency,Controls,Coma,20,14,56.0,0.003479128998382963
0.45,avg_clustering,Controls,Coma,20,14,122.0,0.5402913746074199
0.45,avg_path_length,Controls,Coma,20,14,232.5,0.001282704994855152
0.45,small_worldness,Controls,Coma,20,14,53.0,0.0024710063812827454
0.5,global_efficiency,Controls,Coma,20,14,51.0,0.0019558559100277496
0.5,avg_clustering,Controls,Coma,20,14,101.0,0.17790959498698244
0.5,avg_path_length,Controls,Coma,20,14,237.0,0.0007333526524665956
0.5,small_worldness,Controls,Coma,20,14,44.0,0.000832358545034148
