cost,metric,group1,group2,n1,n2,U,p
0.05,global_efficiency,Controls,AE,20,5,71.0,0.16901938641069073
0.05,global_efficiency,Controls,TE,20,9,95.0,0.8320040285726364
0.05,global_efficiency,AE,TE,5,9,14.0,0.2977022977022977
0.05,avg_clustering,Controls,AE,20,5,85.0,0.01535855448898927
0.05,avg_clustering,Controls,TE,20,9,124.0,0.11428901031320156
0.05,avg_clustering,AE,TE,5,9,14.0,0.2977022977022977
0.05,avg_path_length,Controls,AE,20,5,28.0,0.14831545266327872
0.05,avg_path_length,Controls,TE,20,9,70.0,0.35797067264432825
0.05,avg_path_length,AE,TE,5,9,25.0,0.7972027972027972
0.05,small_worldness,Controls,AE,20,5,84.0,0.019160549595332203
0.05,small_worldness,Controls,TE,20,9,131.0,0.05623780387727592
0.05,small_worldness,AE,TE,5,9,15.0,0.36363636363636365
0.1,global_efficiency,Controls,AE,20,5,64.0,0.3706004140786749
0.1,global_efficiency,Controls,TE,20,9,94.0,0.868950607624914
0.1,global_efficiency,AE,TE,5,9,17.0,0.5184815184815185
0.1,avg_clustering,Controls,AE,20,5,60.0,0.5304347826086956
0.1,avg_clustering,Controls,TE,20,9,89.0,0.9811954217291824
0.1,avg_clustering,AE,TE,5,9,19.0,0.6993006993006993
0.1,avg_path_length,Controls,AE,20,5,28.0,0.14831545266327872
0.1,avg_path_length,Controls,TE,20,9,86.0,0.868950607624914
0.1,avg_path_length,AE,TE,5,9,28.0,0.5184815184815185
0.1,small_worldness,Controls,AE,20,5,64.0,0.3706004140786749
0.1,small_worldness,Controls,TE,20,9,91.0,0.9811954217291824
0.1,small_worldness,AE,TE,5,9,18.0,0.6063936063936064
0.15000000000000002,global_efficiency,Controls,AE,20,5,69.0,0.21633728590250326
0.15000000000000002,global_efficiency,Controls,TE,20,9,82.0,0.7236736098317631
0.15000000000000002,global_efficiency,AE,TE,5,9,15.0,0.36363636363636365
0.15000000000000002,avg_clustering,Controls,AE,20,5,65.0,0.335554300771692
0.15000000000000002,avg_clustering,Controls,TE,20,9,76.0,0.5245182802130763
0.15000000000000002,avg_clustering,AE,TE,5,9,11.0,0.14685314685314685
0.15000000000000002,avg_path_length,Controls,AE,20,5,29.0,0.16901938641069073
0.15000000000000002,avg_path_length,Controls,TE,20,9,103.0,0.5556897902827946
0.15000000000000002,avg_path_length,AE,TE,5,9,27.0,0.6063936063936064
0.15000000000000002,small_worldness,Controls,AE,20,5,69.0,0.21633728590250326
0.15000000000000002,small_worldness,Controls,TE,20,9,83.0,0.7592902583263773
0.15000000000000002,small_worldness,AE,TE,5,9,14.0,0.2977022977022977
0.2,global_efficiency,Controls,AE,20,5,68.0,0.24306418219461695
0.2,global_efficiency,Controls,TE,20,9,78.0,0.5877391489586028
