cost,metric,group1,group2,n1,n2,U,p
0.05,global_efficiency,Controls,AE,20,5,60.0,0.5304347826086956
0.05,global_efficiency,Controls,TE,20,9,43.0,0.028377266737987437
0.05,global_efficiency,AE,TE,5,9,10.0,0.11188811188811189
0.05,avg_clustering,Controls,AE,20,5,22.0,0.060154338415207974
0.05,avg_clustering,Controls,TE,20,9,74.0,0.46497646294543604
0.05,avg_clustering,AE,TE,5,9,29.0,0.43756243756243757
0.05,avg_path_length,Controls,AE,20,5,43.0,0.668473555430077
0.05,avg_path_length,Controls,TE,20,9,131.0,0.05623780387727592
0.05,avg_path_length,AE,TE,5,9,35.0,0.11188811188811189
0.05,small_worldness,Controls,AE,20,5,32.0,0.24306418219461695
0.05,small_worldness,Controls,TE,20,9,51.0,0.06953814037457189
0.05,small_worldness,AE,TE,5,9,22.0,1.0
0.1,global_efficiency,Controls,AE,20,5,46.0,0.8179559570863917
0.1,global_efficiency,Controls,TE,20,9,32.0,0.006716645502620932
0.1,global_efficiency,AE,TE,5,9,12.0,0.18981018981018982
0.1,avg_clustering,Controls,AE,20,5,23.0,0.07095802747976661
0.1,avg_clustering,Controls,TE,20,9,93.0,0.9061856157549283
0.1,avg_clustering,AE,TE,5,9,37.0,0.05994005994005994
0.1,avg_path_length,Controls,AE,20,5,53.0,0.8694146433276866
0.1,avg_path_length,Controls,TE,20,9,139.0,0.022236016687805938
0.1,avg_path_length,AE,TE,5,9,33.0,0.18981018981018982
0.1,small_worldness,Controls,AE,20,5,37.0,0.4076039902126858
0.1,small_worldness,Controls,TE,20,9,60.0,0.16433360814940867
0.1,small_worldness,AE,TE,5,9,21.0,0.8981018981018981
0.15000000000000002,global_efficiency,Controls,AE,20,5,47.0,0.8694146433276866
0.15000000000000002,global_efficiency,Controls,TE,20,9,14.0,0.0003721219773321589
0.15000000000000002,global_efficiency,AE,TE,5,9,10.0,0.11188811188811189
0.15000000000000002,avg_clustering,Controls,AE,20,5,20.0,0.04234895539243365
0.15000000000000002,avg_clustering,Controls,TE,20,9,90.0,1.0
0.15000000000000002,avg_clustering,AE,TE,5,9,36.0,0.08291708291708291
0.15000000000000002,avg_path_length,Controls,AE,20,5,48.0,0.9214756258234517
0.15000000000000002,avg_path_length,Controls,TE,20,9,165.0,0.00044480878305553533
0.15000000000000002,avg_path_length,AE,TE,5,9,33.0,0.18981018981018982
0.15000000000000002,small_worldness,Controls,AE,20,5,35.0,0.335554300771692
0.15000000000000002,small_worldness,Controls,TE,20,9,42.0,0.0251447611733574
0.15000000000000002,small_worldness,AE,TE,5,9,18.0,0.6063936063936064
0.2,global_efficiency,Controls,AE,20,5,42.0,0.621005081874647
0.2,global_efficiency,Controls,TE,20,9,21.0,0.001241713595561005
0.2,global_efficiency,AE,TE,5,9,14.0,0.2977022977022977
0.2,avg_clustering,Controls,AE,20,5,26.0,0.11236589497459061
0.2,avg_clustering,Controls,TE,20,9,77.0,0.5556897902827946
0.2,avg_clustering,AE,TE,5,9,30.0,0.36363636363636365
0.2,avg_path_length,Controls,AE,20,5,60.0,0.5304347826086956
0.2,avg_path_length,Controls,TE,20,9,153.0,0.003216229310127449
0.2,avg_path_length,AE,TE,5,9,31.0,0.2977022977022977
0.2,small_worldness,Controls,AE,20,5,34.0,0.30265386787125914
0.2,small_worldness,Controls,TE,20,9,32.0,0.006716645502620932
0.2,small_worldness,AE,TE,5,9,22.0,1.0
0.25,global_efficiency,Controls,AE,20,5,47.0,0.8694146433276866
0.25,global_efficiency,Controls,TE,20,9,25.0,0.0023613929626746565
0.25,global_efficiency,AE,TE,5,9,9.0,0.08291708291708291
0.25,avg_clustering,Controls,AE,20,5,23.0,0.07095802747976661
0.25,avg_clustering,Controls,TE,20,9,81.0,0.6886455446538766
0.25,avg_clustering,AE,TE,5,9,30.0,0.36363636363636365
0.25,avg_path_length,Controls,AE,20,5,61.0,0.4875964615095049
0.25,avg_path_length,Controls,TE,20,9,160.0,0.0010519114500796727
0.25,avg_path_length,AE,TE,5,9,36.0,0.08291708291708291
0.25,small_worldness,Controls,AE,20,5,35.0,0.335554300771692
0.25,small_worldness,Controls,TE,20,9,32.0,0.006716645502620932
0.25,small_worldness,AE,TE,5,9,22.0,1.0
0.3,global_efficiency,Controls,AE,20,5,45.0,0.7671372106154712
0.3,global_efficiency,Controls,TE,20,9,21.0,0.001241713595561005
0.3,global_efficiency,AE,TE,5,9,9.0,0.08291708291708291
0.3,avg_clustering,Controls,AE,20,5,28.0,0.14831545266327872
0.3,avg_clustering,Controls,TE,20,9,103.0,0.5556897902827946
0.3,avg_clustering,AE,TE,5,9,29.0,0.43756243756243757
0.3,avg_path_length,Controls,AE,20,5,64.0,0.3588820813737723
0.3,avg_path_length,Controls,TE,20,9,153.5,0.002968836643504372
0.3,avg_path_length,AE,TE,5,9,34.0,0.14685314685314685
0.3,small_worldness,Controls,AE,20,5,37.0,0.4076039902126858
0.3,small_worldness,Controls,TE,20,9,43.0,0.028377266737987437
0.3,small_worldness,AE,TE,5,9,22.0,1.0
0.35000000000000003,global_efficiency,Controls,AE,20,5,50.0,1.0
0.35000000000000003,global_efficiency,Controls,TE,20,9,31.0,0.005820666407810884
0.35000000000000003,global_efficiency,AE,TE,5,9,10.0,0.11188811188811189
0.35000000000000003,avg_clustering,Controls,AE,20,5,37.0,0.4076039902126858
0.35000000000000003,avg_clustering,Controls,TE,20,9,106.0,0.46497646294543604
0.35000000000000003,avg_clustering,AE,TE,5,9,29.0,0.43756243756243757
0.35000000000000003,avg_path_length,Controls,AE,20,5,60.0,0.5304347826086956
0.35000000000000003,avg_path_length,Controls,TE,20,9,149.0,0.005820666407810884
0.35000000000000003,avg_path_length,AE,TE,5,9,33.0,0.18981018981018982
0.35000000000000003,small_worldness,Controls,AE,20,5,33.0,0.27178618482966305
0.35000000000000003,small_worldness,Controls,TE,20,9,53.0,0.08531862138040393
0.35000000000000003,small_worldness,AE,TE,5,9,20.0,0.7972027972027972
0.4,global_efficiency,Controls,AE,20,5,47.0,0.8694146433276866
0.4,global_efficiency,Controls,TE,20,9,29.0,0.004344546270154368
0.4,global_efficiency,AE,TE,5,9,10.0,0.11188811188811189
0.4,avg_clustering,Controls,AE,20,5,34.0,0.30265386787125914
0.4,avg_clustering,Controls,TE,20,9,105.0,0.4942678594495017
0.4,avg_clustering,AE,TE,5,9,33.0,0.18981018981018982
0.4,avg_path_length,Controls,AE,20,5,65.0,0.335554300771692
0.4,avg_path_length,Controls,TE,20,9,154.0,0.0027587099058079202
0.4,avg_path_length,AE,TE,5,9,33.0,0.18981018981018982
0.4,small_worldness,Controls,AE,20,5,19.0,0.03512140033879164
0.4,small_worldness,Controls,TE,20,9,52.0,0.07709987174354177
0.4,small_worldness,AE,TE,5,9,26.0,0.6993006993006993
0.45,global_efficiency,Controls,AE,20,5,36.0,0.3706004140786749
0.45,global_efficiency,Controls,TE,20,9,20.0,0.0010519114500796727
0.45,global_efficiency,AE,TE,5,9,10.0,0.11188811188811189
0.45,avg_clustering,Controls,AE,20,5,23.0,0.07095802747976661
0.45,avg_clustering,Controls,TE,20,9,99.0,0.6886455446538766
0.45,avg_clustering,AE,TE,5,9,35.0,0.11188811188811189
0.45,avg_path_length,Controls,AE,20,5,70.0,0.18516486093880835
0.45,avg_path_length,Controls,TE,20,9,162.5,0.0006864142400660304
0.45,avg_path_length,AE,TE,5,9,33.0,0.18981018981018982
0.45,small_worldness,Controls,AE,20,5,13.0,0.009561453039713909
0.45,small_worldness,Controls,TE,20,9,40.0,0.019624414976639706
0.45,small_worldness,AE,TE,5,9,27.0,0.6063936063936064
0.5,global_efficiency,Controls,AE,20,5,30.0,0.19171842650103516
0.5,global_efficiency,Controls,TE,20,9,21.0,0.001241713595561005
0.5,global_efficiency,AE,TE,5,9,15.0,0.36363636363636365
0.5,avg_clustering,Controls,AE,20,5,14.0,0.01219649915302089
0.5,avg_clustering,Controls,TE,20,9,87.0,0.9061856157549283
0.5,avg_clustering,AE,TE,5,9,33.0,0.18981018981018982
0.5,avg_path_length,Controls,AE,20,5,78.0,0.060154338415207974
0.5,avg_path_length,Controls,TE,20,9,159.0,0.001241713595561005
0.5,avg_path_length,AE,TE,5,9,28.0,0.5184815184815185
0.5,small_worldness,Controls,AE,20,5,5.0,0.0007152268021833239
0.5,small_worldness,Controls,TE,20,9,39.0,0.017284805370886662
