cost,metric,group1,group2,n1,n2,U,p
0.05,global_efficiency,Controls,FO,20,8,105.0,0.21769727856684382
0.05,global_efficiency,Controls,UO,20,6,61.0,0.9763540807019068
0.05,global_efficiency,FO,UO,8,6,15.0,0.2823842823842824
0.05,avg_clustering,Controls,FO,20,8,103.0,0.25843592800114545
0.05,avg_clustering,Controls,UO,20,6,106.0,0.0033705425009772838
0.05,avg_clustering,FO,UO,8,6,38.0,0.08125208125208126
0.05,avg_path_length,Controls,FO,20,8,48.0,0.11034440599657991
0.05,avg_path_length,Controls,UO,20,6,50.0,0.5727403031750857
0.05,avg_path_length,FO,UO,8,6,34.0,0.22843822843822847
0.05,small_worldness,Controls,FO,20,8,116.0,0.07045772263163567
0.05,small_worldness,Controls,UO,20,6,99.0,0.016010076879642097
0.05,small_worldness,FO,UO,8,6,29.0,0.5727605727605728
0.1,global_efficiency,Controls,FO,20,8,106.0,0.19908658169527738
0.1,global_efficiency,Controls,UO,20,6,52.0,0.6564565868913694
0.1,global_efficiency,FO,UO,8,6,14.0,0.22843822843822847
0.1,avg_clustering,Controls,FO,20,8,77.0,0.9009483270352836
0.1,avg_clustering,Controls,UO,20,6,72.0,0.49419276375798116
0.1,avg_clustering,FO,UO,8,6,30.0,0.4908424908424909
0.1,avg_path_length,Controls,FO,20,8,48.0,0.11034440599657991
0.1,avg_path_length,Controls,UO,20,6,66.0,0.7444729183859617
0.1,avg_path_length,FO,UO,8,6,35.0,0.18115218115218118
0.1,small_worldness,Controls,FO,20,8,94.0,0.5002340654514569
0.1,small_worldness,Controls,UO,20,6,61.0,0.9763540807019068
0.1,small_worldness,FO,UO,8,6,22.0,0.8518148518148518
0.15000000000000002,global_efficiency,Controls,FO,20,8,101.0,0.30393246045419964
0.15000000000000002,global_efficiency,Controls,UO,20,6,50.0,0.5727403031750857
0.15000000000000002,global_efficiency,FO,UO,8,6,19.0,0.5727605727605728
0.15000000000000002,avg_clustering,Controls,FO,20,8,63.0,0.40922813096726146
0.15000000000000002,avg_clustering,Controls,UO,20,6,78.0,0.2954263128176171
0.15000000000000002,avg_clustering,FO,UO,8,6,37.0,0.1078921078921079
0.15000000000000002,avg_path_length,Controls,FO,20,8,60.0,0.3284856850074242
0.15000000000000002,avg_path_length,Controls,UO,20,6,72.0,0.49419276375798116
0.15000000000000002,avg_path_length,FO,UO,8,6,33.0,0.2823842823842824
0.15000000000000002,small_worldness,Controls,FO,20,8,88.0,0.708636291244987
0.15000000000000002,small_worldness,Controls,UO,20,6,64.0,0.8357729227294444
0.15000000000000002,small_worldness,FO,UO,8,6,24.0,1.0
0.2,global_efficiency,Controls,FO,20,8,95.0,0.4688039818474602
0.2,global_efficiency,Controls,UO,20,6,51.0,0.6139686400555965
0.2,global_efficiency,FO,UO,8,6,18.0,0.4908424908424909
0.2,avg_clustering,Controls,FO,20,8,71.0,0.6718260805217328
0.2,avg_clustering,Controls,UO,20,6,73.0,0.45702992659514396
0.2,avg_clustering,FO,UO,8,6,34.0,0.22843822843822847
0.2,avg_path_length,Controls,FO,20,8,61.0,0.35421776291341517
0.2,avg_path_length,Controls,UO,20,6,74.0,0.4214828649611258
0.2,avg_path_length,FO,UO,8,6,32.0,0.344988344988345
0.2,small_worldness,Controls,FO,20,8,87.0,0.746092554788207
0.2,small_worldness,Controls,UO,20,6,57.0,0.8822742474916387
0.2,small_worldness,FO,UO,8,6,22.0,0.8518148518148518
0.25,global_efficiency,Controls,FO,20,8,97.0,0.40922813096726146
0.25,global_efficiency,Controls,UO,20,6,44.0,0.35512313773183335
0.25,global_efficiency,FO,UO,8,6,16.0,0.344988344988345
0.25,avg_clustering,Controls,FO,20,8,83.0,0.9009483270352836
0.25,avg_clustering,Controls,UO,20,6,80.0,0.24249663380098158
0.25,avg_clustering,FO,UO,8,6,30.0,0.4908424908424909
