cost,metric,group1,group2,n1,n2,U,p
0.05,global_efficiency,Controls,FO,20,8,35.0,0.02130751695969087
0.05,global_efficiency,Controls,UO,20,6,68.0,0.6564565868913694
0.05,global_efficiency,FO,UO,8,6,34.0,0.22843822843822847
0.05,avg_clustering,Controls,FO,20,8,47.0,0.09906229036663819
0.05,avg_clustering,Controls,UO,20,6,49.0,0.5327368283890023
0.05,avg_clustering,FO,UO,8,6,28.0,0.662004662004662
0.05,avg_path_length,Controls,FO,20,8,123.0,0.028482306743176304
0.05,avg_path_length,Controls,UO,20,6,51.0,0.6139686400555965
0.05,avg_path_length,FO,UO,8,6,12.0,0.14185814185814188
0.05,small_worldness,Controls,FO,20,8,28.0,0.006782267651832869
0.05,small_worldness,Controls,UO,20,6,55.0,0.7897406940885201
0.05,small_worldness,FO,UO,8,6,36.0,0.14185814185814188
0.1,global_efficiency,Controls,FO,20,8,19.0,0.0010713923757402018
0.1,global_efficiency,Controls,UO,20,6,59.0,0.9763540807019068
0.1,global_efficiency,FO,UO,8,6,35.0,0.18115218115218118
0.1,avg_clustering,Controls,FO,20,8,67.0,0.5326840631188459
0.1,avg_clustering,Controls,UO,20,6,49.0,0.5327368283890023
0.1,avg_clustering,FO,UO,8,6,21.0,0.7545787545787546
0.1,avg_path_length,Controls,FO,20,8,136.0,0.003172994477342303
0.1,avg_path_length,Controls,UO,20,6,56.0,0.8357729227294444
0.1,avg_path_length,FO,UO,8,6,14.0,0.22843822843822847
0.1,small_worldness,Controls,FO,20,8,41.0,0.048748674835631355
0.1,small_worldness,Controls,UO,20,6,56.0,0.8357729227294444
0.1,small_worldness,FO,UO,8,6,32.0,0.344988344988345
0.15000000000000002,global_efficiency,Controls,FO,20,8,18.0,0.0008448878014095404
0.15000000000000002,global_efficiency,Controls,UO,20,6,43.0,0.3243973417886461
0.15000000000000002,global_efficiency,FO,UO,8,6,37.0,0.1078921078921079
0.15000000000000002,avg_clustering,Controls,FO,20,8,66.0,0.5002340654514569
0.15000000000000002,avg_clustering,Controls,UO,20,6,44.0,0.35512313773183335
0.15000000000000002,avg_clustering,FO,UO,8,6,23.0,0.9497169497169498
0.15000000000000002,avg_path_length,Controls,FO,20,8,134.0,0.004689030775987297
0.15000000000000002,avg_path_length,Controls,UO,20,6,79.0,0.2680797463406159
0.15000000000000002,avg_path_length,FO,UO,8,6,12.0,0.14185814185814188
0.15000000000000002,small_worldness,Controls,FO,20,8,27.0,0.0056523186957969564
0.15000000000000002,small_worldness,Controls,UO,20,6,50.0,0.5727403031750857
0.15000000000000002,small_worldness,FO,UO,8,6,32.0,0.344988344988345
0.2,global_efficiency,Controls,FO,20,8,17.0,0.0006595658769571812
0.2,global_efficiency,Controls,UO,20,6,46.0,0.4214828649611258
0.2,global_efficiency,FO,UO,8,6,36.0,0.14185814185814188
0.2,avg_clustering,Controls,FO,20,8,74.0,0.7841504711069929
0.2,avg_clustering,Controls,UO,20,6,29.0,0.062242105720366585
0.2,avg_clustering,FO,UO,8,6,11.0,0.1078921078921079
0.2,avg_path_length,Controls,FO,20,8,135.0,0.0038666647362299534
0.2,avg_path_length,Controls,UO,20,6,78.0,0.2954263128176171
0.2,avg_path_length,FO,UO,8,6,16.0,0.344988344988345
0.2,small_worldness,Controls,FO,20,8,32.0,0.013390152520587301
0.2,small_worldness,Controls,UO,20,6,34.0,0.12290318377274896
0.2,small_worldness,FO,UO,8,6,19.0,0.5727605727605728
0.25,global_efficiency,Controls,FO,20,8,25.0,0.0038666647362299534
0.25,global_efficiency,Controls,UO,20,6,47.0,0.45702992659514396
0.25,global_efficiency,FO,UO,8,6,34.0,0.22843822843822847
0.25,avg_clustering,Controls,FO,20,8,76.0,0.8616665138404269
0.25,avg_clustering,Controls,UO,20,6,28.0,0.05358120140728836
0.25,avg_clustering,FO,UO,8,6,13.0,0.18115218115218118
