cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,Coma,20,13,134.0,0.8973945839305384
0.03,avg_clustering,Controls,Coma,20,13,182.0,0.057767777407812256
0.03,avg_path_length,Controls,Coma,20,13,120.0,0.7263265699621655
0.03,small_worldness,Controls,Coma,20,13,168.0,0.16708142496595368
0.05,global_efficiency,Controls,Coma,20,13,124.0,0.8394156924542152
0.05,avg_clustering,Controls,Coma,20,13,202.0,0.008430297390851731
0.05,avg_path_length,Controls,Coma,20,13,133.0,0.926611028101784
0.05,small_worldness,Controls,Coma,20,13,165.0,0.2036890495669732
0.1,global_efficiency,Controls,Coma,20,13,113.0,0.5432386742490749
0.1,avg_clustering,Controls,Coma,20,13,200.0,0.010447819330880962
0.1,avg_path_length,Controls,Coma,20,13,147.0,0.5432386742490749
0.1,small_worldness,Controls,Coma,20,13,145.0,0.5931788243337852
0.15000000000000002,global_efficiency,Controls,Coma,20,13,94.0,0.19088853079732504
0.15000000000000002,avg_clustering,Controls,Coma,20,13,207.0,0.004824091926189032
0.15000000000000002,avg_path_length,Controls,Coma,20,13,167.0,0.1786901758210303
0.15000000000000002,small_worldness,Controls,Coma,20,13,162.0,0.24581278392600614
0.2,global_efficiency,Controls,Coma,20,13,83.0,0.08666894847712632
0.2,avg_clustering,Controls,Coma,20,13,210.0,0.0033996406554160207
0.2,avg_path_length,Controls,Coma,20,13,180.0,0.06818709122848478
0.2,small_worldness,Controls,Coma,20,13,204.0,0.006768599153540975
0.25,global_efficiency,Controls,Coma,20,13,71.0,0.03113346524167029
0.25,avg_clustering,Controls,Coma,20,13,208.0,0.004298333462415546
0.25,avg_path_length,Controls,Coma,20,13,190.0,0.02836460111285712
0.25,small_worldness,Controls,Coma,20,13,201.0,0.009390830717889473
0.3,global_efficiency,Controls,Coma,20,13,61.0,0.011609371462184714
0.3,avg_clustering,Controls,Coma,20,13,211.0,0.0030177269008248215
0.3,avg_path_length,Controls,Coma,20,13,200.0,0.010447819330880962
0.3,small_worldness,Controls,Coma,20,13,197.0,0.014281134106780731
0.35000000000000003,global_efficiency,Controls,Coma,20,13,53.0,0.004824091926189032
0.35000000000000003,avg_clustering,Controls,Coma,20,13,214.0,0.0020947593326413804
0.35000000000000003,avg_path_length,Controls,Coma,20,13,207.0,0.004824091926189032
0.35000000000000003,small_worldness,Controls,Coma,20,13,202.0,0.008430297390851731
0.4,global_efficiency,Controls,Coma,20,13,54.0,0.0054073771620933575
0.4,avg_clustering,Controls,Coma,20,13,217.0,0.0014376212014238715
0.4,avg_path_length,Controls,Coma,20,13,206.0,0.0054073771620933575
0.4,small_worldness,Controls,Coma,20,13,207.0,0.004824091926189032
0.45,global_efficiency,Controls,Coma,20,13,51.5,0.004024676167845405
0.45,avg_clustering,Controls,Coma,20,13,216.0,0.0016318920210852993
0.45,avg_path_length,Controls,Coma,20,13,208.0,0.0042628941529506935
0.45,small_worldness,Controls,Coma,20,13,217.0,0.0014376212014238715
0.5,global_efficiency,Controls,Coma,20,13,43.0,0.0014113073352411065
0.5,avg_clustering,Controls,Coma,20,13,217.0,0.0014376212014238715
0.5,avg_path_length,Controls,Coma,20,13,217.5,0.0013225070815107655
0.5,small_worldness,Controls,Coma,20,13,215.0,0.0018500683067503075
