cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,Coma,20,13,137.0,0.8107297271774061
0.03,avg_clustering,Controls,Coma,20,13,166.0,0.19088853079732504
0.03,avg_path_length,Controls,Coma,20,13,135.0,0.8683166060584981
0.03,small_worldness,Controls,Coma,20,13,164.0,0.21710323794272546
0.05,global_efficiency,Controls,Coma,20,13,132.0,0.9559267802807303
0.05,avg_clustering,Controls,Coma,20,13,155.0,0.3666993351601333
0.05,avg_path_length,Controls,Coma,20,13,144.0,0.6189130794296036
0.05,small_worldness,Controls,Coma,20,13,149.0,0.4954853264442981
0.1,global_efficiency,Controls,Coma,20,13,117.0,0.6451232285407815
0.1,avg_clustering,Controls,Coma,20,13,131.0,0.9853022792160973
0.1,avg_path_length,Controls,Coma,20,13,157.0,0.32888566671710195
0.1,small_worldness,Controls,Coma,20,13,113.0,0.5432386742490749
0.15000000000000002,global_efficiency,Controls,Coma,20,13,122.0,0.7822957315881272
0.15000000000000002,avg_clustering,Controls,Coma,20,13,106.0,0.3865836974872757
0.15000000000000002,avg_path_length,Controls,Coma,20,13,151.0,0.45007018084347294
0.15000000000000002,small_worldness,Controls,Coma,20,13,99.0,0.2611250000774915
0.2,global_efficiency,Controls,Coma,20,13,114.0,0.5679460944657957
0.2,avg_clustering,Controls,Coma,20,13,104.0,0.34746533694432824
0.2,avg_path_length,Controls,Coma,20,13,157.0,0.32888566671710195
0.2,small_worldness,Controls,Coma,20,13,103.0,0.32888566671710195
0.25,global_efficiency,Controls,Coma,20,13,113.0,0.5432386742490749
0.25,avg_clustering,Controls,Coma,20,13,104.0,0.34746533694432824
0.25,avg_path_length,Controls,Coma,20,13,158.0,0.31096240865000846
0.25,small_worldness,Controls,Coma,20,13,102.0,0.31096240865000846
0.3,global_efficiency,Controls,Coma,20,13,104.0,0.34746533694432824
0.3,avg_clustering,Controls,Coma,20,13,89.0,0.1356534957111977
0.3,avg_path_length,Controls,Coma,20,13,170.0,0.14557782852935333
0.3,small_worldness,Controls,Coma,20,13,83.0,0.08666894847712632
0.35000000000000003,global_efficiency,Controls,Coma,20,13,105.0,0.3666993351601333
0.35000000000000003,avg_clustering,Controls,Coma,20,13,74.0,0.04087149771644004
0.35000000000000003,avg_path_length,Controls,Coma,20,13,159.0,0.29369582403333283
0.35000000000000003,small_worldness,Controls,Coma,20,13,86.0,0.10899967223244765
0.4,global_efficiency,Controls,Coma,20,13,103.0,0.32888566671710195
0.4,avg_clustering,Controls,Coma,20,13,62.0,0.012884099769328264
0.4,avg_path_length,Controls,Coma,20,13,162.0,0.24581278392600614
0.4,small_worldness,Controls,Coma,20,13,81.0,0.07394967495413164
0.45,global_efficiency,Controls,Coma,20,13,102.0,0.31096240865000846
0.45,avg_clustering,Controls,Coma,20,13,74.0,0.04087149771644004
0.45,avg_path_length,Controls,Coma,20,13,163.0,0.23114144867966557
0.45,small_worldness,Controls,Coma,20,13,75.0,0.044644625960153485
0.5,global_efficiency,Controls,Coma,20,13,100.0,0.27708441580501053
0.5,avg_clustering,Controls,Coma,20,13,69.0,0.02581055942790341
0.5,avg_path_length,Controls,Coma,20,13,163.0,0.23114144867966557
0.5,small_worldness,Controls,Coma,20,13,75.0,0.044644625960153485
