cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,AE,20,5,70.0,0.19171842650103516
0.03,global_efficiency,Controls,TE,20,8,64.0,0.4384671689019516
0.03,global_efficiency,AE,TE,5,8,12.0,0.28438228438228436
0.03,avg_clustering,Controls,AE,20,5,95.0,0.0007152268021833239
0.03,avg_clustering,Controls,TE,20,8,87.0,0.746092554788207
0.03,avg_clustering,AE,TE,5,8,9.0,0.12742812742812742
0.03,avg_path_length,Controls,AE,20,5,22.0,0.060154338415207974
0.03,avg_path_length,Controls,TE,20,8,98.0,0.3811473550603986
0.03,avg_path_length,AE,TE,5,8,30.0,0.17094017094017094
0.03,small_worldness,Controls,AE,20,5,88.0,0.007415772633163937
0.03,small_worldness,Controls,TE,20,8,80.0,1.0
0.03,small_worldness,AE,TE,5,8,8.0,0.09324009324009325
0.05,global_efficiency,Controls,AE,20,5,70.0,0.19171842650103516
0.05,global_efficiency,Controls,TE,20,8,54.0,0.19908658169527738
0.05,global_efficiency,AE,TE,5,8,9.0,0.12742812742812742
0.05,avg_clustering,Controls,AE,20,5,96.0,0.0004517221908526256
0.05,avg_clustering,Controls,TE,20,8,106.0,0.19908658169527738
0.05,avg_clustering,AE,TE,5,8,10.0,0.17094017094017094
0.05,avg_path_length,Controls,AE,20,5,31.0,0.21633728590250326
0.05,avg_path_length,Controls,TE,20,8,102.0,0.28059219363567195
0.05,avg_path_length,AE,TE,5,8,29.0,0.2222222222222222
0.05,small_worldness,Controls,AE,20,5,86.0,0.01219649915302089
0.05,small_worldness,Controls,TE,20,8,79.0,0.9801387018778324
0.05,small_worldness,AE,TE,5,8,7.0,0.06526806526806528
0.1,global_efficiency,Controls,AE,20,5,60.0,0.5304347826086956
0.1,global_efficiency,Controls,TE,20,8,53.0,0.1816051903008425
0.1,global_efficiency,AE,TE,5,8,9.0,0.12742812742812742
0.1,avg_clustering,Controls,AE,20,5,75.0,0.09696969696969696
0.1,avg_clustering,Controls,TE,20,8,125.0,0.02130751695969087
0.1,avg_clustering,AE,TE,5,8,14.0,0.43512043512043513
0.1,avg_path_length,Controls,AE,20,5,39.0,0.4875964615095049
0.1,avg_path_length,Controls,TE,20,8,108.0,0.16525181742573047
0.1,avg_path_length,AE,TE,5,8,31.0,0.12742812742812742
0.1,small_worldness,Controls,AE,20,5,71.0,0.16901938641069073
0.1,small_worldness,Controls,TE,20,8,74.0,0.7841504711069929
0.1,small_worldness,AE,TE,5,8,9.0,0.12742812742812742
0.15000000000000002,global_efficiency,Controls,AE,20,5,45.0,0.7671372106154712
0.15000000000000002,global_efficiency,Controls,TE,20,8,49.0,0.12255699212220951
0.15000000000000002,global_efficiency,AE,TE,5,8,14.0,0.43512043512043513
0.15000000000000002,avg_clustering,Controls,AE,20,5,80.0,0.04234895539243365
0.15000000000000002,avg_clustering,Controls,TE,20,8,127.0,0.01569509395596352
0.15000000000000002,avg_clustering,AE,TE,5,8,15.0,0.5236985236985237
0.15000000000000002,avg_path_length,Controls,AE,20,5,56.0,0.7172971955580649
0.15000000000000002,avg_path_length,Controls,TE,20,8,111.0,0.12255699212220951
0.15000000000000002,avg_path_length,AE,TE,5,8,26.0,0.43512043512043513
0.15000000000000002,small_worldness,Controls,AE,20,5,69.0,0.21633728590250326
0.15000000000000002,small_worldness,Controls,TE,20,8,93.0,0.5326840631188459
0.15000000000000002,small_worldness,AE,TE,5,8,13.0,0.3543123543123543
0.2,global_efficiency,Controls,AE,20,5,35.0,0.335554300771692
0.2,global_efficiency,Controls,TE,20,8,48.0,0.11034440599657991
0.2,global_efficiency,AE,TE,5,8,17.0,0.7241647241647241
0.2,avg_clustering,Controls,AE,20,5,86.0,0.01219649915302089
0.2,avg_clustering,Controls,TE,20,8,124.0,0.024684494249711638
0.2,avg_clustering,AE,TE,5,8,19.0,0.9432789432789432
0.2,avg_path_length,Controls,AE,20,5,66.0,0.30265386787125914
0.2,avg_path_length,Controls,TE,20,8,114.0,0.08868941042854087
0.2,avg_path_length,AE,TE,5,8,25.0,0.5236985236985237
0.2,small_worldness,Controls,AE,20,5,76.0,0.08322981366459627
0.2,small_worldness,Controls,TE,20,8,128.0,0.013390152520587301
0.2,small_worldness,AE,TE,5,8,14.0,0.43512043512043513
0.25,global_efficiency,Controls,AE,20,5,24.0,0.08322981366459627
0.25,global_efficiency,Controls,TE,20,8,47.0,0.09906229036663819
0.25,global_efficiency,AE,TE,5,8,19.0,0.9432789432789432
0.25,avg_clustering,Controls,AE,20,5,87.0,0.009561453039713909
0.25,avg_clustering,Controls,TE,20,8,121.0,0.037520611433654906
0.25,avg_clustering,AE,TE,5,8,16.0,0.6216006216006216
0.25,avg_path_length,Controls,AE,20,5,75.0,0.09696969696969696
0.25,avg_path_length,Controls,TE,20,8,115.0,0.07916334872856612
0.25,avg_path_length,AE,TE,5,8,21.0,0.9432789432789432
0.25,small_worldness,Controls,AE,20,5,86.0,0.01219649915302089
0.25,small_worldness,Controls,TE,20,8,115.0,0.07916334872856612
0.25,small_worldness,AE,TE,5,8,14.0,0.43512043512043513
0.3,global_efficiency,Controls,AE,20,5,19.0,0.03512140033879164
0.3,global_efficiency,Controls,TE,20,8,42.0,0.055294785729568335
0.3,global_efficiency,AE,TE,5,8,21.0,0.9432789432789432
0.3,avg_clustering,Controls,AE,20,5,88.0,0.007415772633163937
0.3,avg_clustering,Controls,TE,20,8,123.0,0.028482306743176304
0.3,avg_clustering,AE,TE,5,8,18.0,0.8329448329448329
0.3,avg_path_length,Controls,AE,20,5,82.0,0.028947863730472423
0.3,avg_path_length,Controls,TE,20,8,118.0,0.055294785729568335
0.3,avg_path_length,AE,TE,5,8,19.0,0.9432789432789432
0.3,small_worldness,Controls,AE,20,5,82.0,0.028947863730472423
0.3,small_worldness,Controls,TE,20,8,115.0,0.07916334872856612
0.3,small_worldness,AE,TE,5,8,18.0,0.8329448329448329
