cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,AE,20,5,70.0,0.19171842650103516
0.03,global_efficiency,Controls,TE,20,8,67.0,0.5326840631188459
0.03,global_efficiency,AE,TE,5,8,14.0,0.43512043512043513
0.03,avg_clustering,Controls,AE,20,5,44.0,0.7172971955580649
0.03,avg_clustering,Controls,TE,20,8,122.0,0.0327517892735284
0.03,avg_clustering,AE,TE,5,8,34.0,0.04506604506604507
0.03,avg_path_length,Controls,AE,20,5,36.0,0.3706004140786749
0.03,avg_path_length,Controls,TE,20,8,99.0,0.35421776291341517
0.03,avg_path_length,AE,TE,5,8,25.0,0.5236985236985237
0.03,small_worldness,Controls,AE,20,5,52.0,0.9214756258234517
0.03,small_worldness,Controls,TE,20,8,112.0,0.11034440599657991
0.03,small_worldness,AE,TE,5,8,23.0,0.7241647241647241
0.05,global_efficiency,Controls,AE,20,5,67.0,0.27178618482966305
0.05,global_efficiency,Controls,TE,20,8,65.0,0.4688039818474602
0.05,global_efficiency,AE,TE,5,8,11.0,0.2222222222222222
0.05,avg_clustering,Controls,AE,20,5,27.0,0.12941840767927723
0.05,avg_clustering,Controls,TE,20,8,128.0,0.013390152520587301
0.05,avg_clustering,AE,TE,5,8,39.0,0.003108003108003108
0.05,avg_path_length,Controls,AE,20,5,46.0,0.8179559570863917
0.05,avg_path_length,Controls,TE,20,8,98.0,0.3811473550603986
0.05,avg_path_length,AE,TE,5,8,27.0,0.3543123543123543
0.05,small_worldness,Controls,AE,20,5,48.0,0.9214756258234517
0.05,small_worldness,Controls,TE,20,8,101.0,0.30393246045419964
0.05,small_worldness,AE,TE,5,8,25.0,0.5236985236985237
0.1,global_efficiency,Controls,AE,20,5,57.0,0.668473555430077
0.1,global_efficiency,Controls,TE,20,8,60.0,0.3284856850074242
0.1,global_efficiency,AE,TE,5,8,14.0,0.43512043512043513
0.1,avg_clustering,Controls,AE,20,5,22.0,0.060154338415207974
0.1,avg_clustering,Controls,TE,20,8,109.0,0.14997369779978476
0.1,avg_clustering,AE,TE,5,8,37.0,0.010878010878010878
0.1,avg_path_length,Controls,AE,20,5,55.0,0.7671372106154712
0.1,avg_path_length,Controls,TE,20,8,102.0,0.28059219363567195
0.1,avg_path_length,AE,TE,5,8,21.0,0.9432789432789432
0.1,small_worldness,Controls,AE,20,5,35.0,0.335554300771692
0.1,small_worldness,Controls,TE,20,8,78.0,0.9404817404817405
0.1,small_worldness,AE,TE,5,8,27.0,0.3543123543123543
0.15000000000000002,global_efficiency,Controls,AE,20,5,62.0,0.4466779597214379
0.15000000000000002,global_efficiency,Controls,TE,20,8,60.0,0.3284856850074242
0.15000000000000002,global_efficiency,AE,TE,5,8,14.0,0.43512043512043513
0.15000000000000002,avg_clustering,Controls,AE,20,5,12.0,0.007415772633163937
0.15000000000000002,avg_clustering,Controls,TE,20,8,94.0,0.5002340654514569
0.15000000000000002,avg_clustering,AE,TE,5,8,36.0,0.018648018648018648
0.15000000000000002,avg_path_length,Controls,AE,20,5,54.0,0.8179559570863917
0.15000000000000002,avg_path_length,Controls,TE,20,8,97.0,0.40922813096726146
0.15000000000000002,avg_path_length,AE,TE,5,8,22.0,0.8329448329448329
0.15000000000000002,small_worldness,Controls,AE,20,5,28.0,0.14831545266327872
0.15000000000000002,small_worldness,Controls,TE,20,8,71.0,0.6718260805217328
0.15000000000000002,small_worldness,AE,TE,5,8,26.0,0.43512043512043513
0.2,global_efficiency,Controls,AE,20,5,55.0,0.7671372106154712
0.2,global_efficiency,Controls,TE,20,8,59.0,0.30393246045419964
0.2,global_efficiency,AE,TE,5,8,12.0,0.28438228438228436
0.2,avg_clustering,Controls,AE,20,5,18.0,0.028947863730472423
0.2,avg_clustering,Controls,TE,20,8,86.0,0.7841504711069929
0.2,avg_clustering,AE,TE,5,8,32.0,0.09324009324009325
0.2,avg_path_length,Controls,AE,20,5,61.0,0.4875964615095049
0.2,avg_path_length,Controls,TE,20,8,96.0,0.4384671689019516
0.2,avg_path_length,AE,TE,5,8,21.0,0.9432789432789432
0.2,small_worldness,Controls,AE,20,5,29.0,0.16901938641069073
0.2,small_worldness,Controls,TE,20,8,74.0,0.7841504711069929
0.2,small_worldness,AE,TE,5,8,27.0,0.3543123543123543
0.25,global_efficiency,Controls,AE,20,5,56.0,0.7172971955580649
0.25,global_efficiency,Controls,TE,20,8,57.0,0.25843592800114545
0.25,global_efficiency,AE,TE,5,8,14.0,0.43512043512043513
0.25,avg_clustering,Controls,AE,20,5,23.0,0.07095802747976661
0.25,avg_clustering,Controls,TE,20,8,81.0,0.9801387018778324
0.25,avg_clustering,AE,TE,5,8,31.0,0.12742812742812742
0.25,avg_path_length,Controls,AE,20,5,62.0,0.4466779597214379
0.25,avg_path_length,Controls,TE,20,8,96.0,0.4384671689019516
0.25,avg_path_length,AE,TE,5,8,19.0,0.9432789432789432
0.25,small_worldness,Controls,AE,20,5,30.0,0.19171842650103516
0.25,small_worldness,Controls,TE,20,8,72.0,0.708636291244987
0.25,small_worldness,AE,TE,5,8,28.0,0.28438228438228436
0.3,global_efficiency,Controls,AE,20,5,48.0,0.9214756258234517
0.3,global_efficiency,Controls,TE,20,8,56.0,0.23748361139665491
0.3,global_efficiency,AE,TE,5,8,15.0,0.5236985236985237
0.3,avg_clustering,Controls,AE,20,5,22.0,0.060154338415207974
0.3,avg_clustering,Controls,TE,20,8,67.0,0.5326840631188459
0.3,avg_clustering,AE,TE,5,8,30.0,0.17094017094017094
0.3,avg_path_length,Controls,AE,20,5,65.0,0.335554300771692
0.3,avg_path_length,Controls,TE,20,8,105.0,0.21769727856684382
0.3,avg_path_length,AE,TE,5,8,19.0,0.9432789432789432
0.3,small_worldness,Controls,AE,20,5,24.0,0.08322981366459627
0.3,small_worldness,Controls,TE,20,8,59.0,0.30393246045419964
0.3,small_worldness,AE,TE,5,8,26.0,0.43512043512043513
0.35000000000000003,global_efficiency,Controls,AE,20,5,45.0,0.7671372106154712
0.35000000000000003,global_efficiency,Controls,TE,20,8,60.0,0.3284856850074242
