cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,FO,20,8,83.0,0.9009483270352836
0.03,global_efficiency,Controls,UO,20,5,51.0,0.9737624694146431
0.03,global_efficiency,FO,UO,8,5,17.0,0.7241647241647241
0.03,avg_clustering,Controls,FO,20,8,87.0,0.746092554788207
0.03,avg_clustering,Controls,UO,20,5,95.0,0.0007152268021833239
0.03,avg_clustering,FO,UO,8,5,29.0,0.2222222222222222
0.03,avg_path_length,Controls,FO,20,8,72.0,0.708636291244987
0.03,avg_path_length,Controls,UO,20,5,48.0,0.9214756258234517
0.03,avg_path_length,FO,UO,8,5,23.0,0.7241647241647241
0.03,small_worldness,Controls,FO,20,8,90.0,0.6357719575110881
0.03,small_worldness,Controls,UO,20,5,78.0,0.060154338415207974
0.03,small_worldness,FO,UO,8,5,24.0,0.6216006216006216
0.05,global_efficiency,Controls,FO,20,8,73.0,0.746092554788207
0.05,global_efficiency,Controls,UO,20,5,51.0,0.9737624694146431
0.05,global_efficiency,FO,UO,8,5,19.0,0.9432789432789432
0.05,avg_clustering,Controls,FO,20,8,105.0,0.21769727856684382
0.05,avg_clustering,Controls,UO,20,5,97.0,0.00026350461133069827
0.05,avg_clustering,FO,UO,8,5,29.0,0.2222222222222222
0.05,avg_path_length,Controls,FO,20,8,82.0,0.9404817404817405
0.05,avg_path_length,Controls,UO,20,5,51.0,0.9737624694146431
0.05,avg_path_length,FO,UO,8,5,22.0,0.8329448329448329
0.05,small_worldness,Controls,FO,20,8,88.0,0.708636291244987
0.05,small_worldness,Controls,UO,20,5,77.0,0.07095802747976661
0.05,small_worldness,FO,UO,8,5,26.0,0.43512043512043513
0.1,global_efficiency,Controls,FO,20,8,69.0,0.6005099570316963
0.1,global_efficiency,Controls,UO,20,5,44.0,0.7172971955580649
0.1,global_efficiency,FO,UO,8,5,19.0,0.9432789432789432
0.1,avg_clustering,Controls,FO,20,8,117.0,0.06251075816293207
0.1,avg_clustering,Controls,UO,20,5,83.0,0.023640127987954073
0.1,avg_clustering,FO,UO,8,5,28.0,0.28438228438228436
0.1,avg_path_length,Controls,FO,20,8,89.0,0.6718260805217328
0.1,avg_path_length,Controls,UO,20,5,58.0,0.621005081874647
0.1,avg_path_length,FO,UO,8,5,22.0,0.8329448329448329
0.1,small_worldness,Controls,FO,20,8,81.0,0.9801387018778324
0.1,small_worldness,Controls,UO,20,5,64.0,0.3706004140786749
0.1,small_worldness,FO,UO,8,5,24.0,0.6216006216006216
0.15000000000000002,global_efficiency,Controls,FO,20,8,56.0,0.23748361139665491
0.15000000000000002,global_efficiency,Controls,UO,20,5,38.0,0.4466779597214379
0.15000000000000002,global_efficiency,FO,UO,8,5,17.0,0.7241647241647241
0.15000000000000002,avg_clustering,Controls,FO,20,8,117.0,0.06251075816293207
0.15000000000000002,avg_clustering,Controls,UO,20,5,90.0,0.004253717297195558
0.15000000000000002,avg_clustering,FO,UO,8,5,30.0,0.17094017094017094
0.15000000000000002,avg_path_length,Controls,FO,20,8,104.0,0.23748361139665491
0.15000000000000002,avg_path_length,Controls,UO,20,5,63.0,0.4076039902126858
0.15000000000000002,avg_path_length,FO,UO,8,5,23.0,0.7241647241647241
0.15000000000000002,small_worldness,Controls,FO,20,8,90.0,0.6357719575110881
0.15000000000000002,small_worldness,Controls,UO,20,5,72.0,0.14831545266327872
0.15000000000000002,small_worldness,FO,UO,8,5,28.0,0.28438228438228436
0.2,global_efficiency,Controls,FO,20,8,52.0,0.16525181742573047
0.2,global_efficiency,Controls,UO,20,5,31.0,0.21633728590250326
0.2,global_efficiency,FO,UO,8,5,17.0,0.7241647241647241
0.2,avg_clustering,Controls,FO,20,8,123.0,0.028482306743176304
0.2,avg_clustering,Controls,UO,20,5,87.0,0.009561453039713909
0.2,avg_clustering,FO,UO,8,5,27.0,0.3543123543123543
0.2,avg_path_length,Controls,FO,20,8,110.0,0.13576117923944012
0.2,avg_path_length,Controls,UO,20,5,70.0,0.19171842650103516
