cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,FO,20,8,83.0,0.9009483270352836
0.03,global_efficiency,Controls,UO,20,5,54.0,0.8179559570863917
0.03,global_efficiency,FO,UO,8,5,22.0,0.8329448329448329
0.03,avg_clustering,Controls,FO,20,8,118.0,0.055294785729568335
0.03,avg_clustering,Controls,UO,20,5,48.0,0.9214756258234517
0.03,avg_clustering,FO,UO,8,5,13.0,0.3543123543123543
0.03,avg_path_length,Controls,FO,20,8,85.0,0.8226922835618488
0.03,avg_path_length,Controls,UO,20,5,50.0,1.0
0.03,avg_path_length,FO,UO,8,5,21.0,0.9432789432789432
0.03,small_worldness,Controls,FO,20,8,110.0,0.13576117923944012
0.03,small_worldness,Controls,UO,20,5,54.0,0.8179559570863917
0.03,small_worldness,FO,UO,8,5,17.0,0.7241647241647241
0.05,global_efficiency,Controls,FO,20,8,76.0,0.8616665138404269
0.05,global_efficiency,Controls,UO,20,5,56.0,0.7172971955580649
0.05,global_efficiency,FO,UO,8,5,22.0,0.8329448329448329
0.05,avg_clustering,Controls,FO,20,8,114.0,0.08868941042854087
0.05,avg_clustering,Controls,UO,20,5,41.0,0.5748917748917748
0.05,avg_clustering,FO,UO,8,5,10.0,0.17094017094017094
0.05,avg_path_length,Controls,FO,20,8,80.0,1.0
0.05,avg_path_length,Controls,UO,20,5,64.0,0.3706004140786749
0.05,avg_path_length,FO,UO,8,5,23.0,0.7241647241647241
0.05,small_worldness,Controls,FO,20,8,106.0,0.19908658169527738
0.05,small_worldness,Controls,UO,20,5,43.0,0.668473555430077
0.05,small_worldness,FO,UO,8,5,14.0,0.43512043512043513
0.1,global_efficiency,Controls,FO,20,8,77.0,0.9009483270352836
0.1,global_efficiency,Controls,UO,20,5,40.0,0.5304347826086956
0.1,global_efficiency,FO,UO,8,5,20.0,1.0
0.1,avg_clustering,Controls,FO,20,8,98.0,0.3811473550603986
0.1,avg_clustering,Controls,UO,20,5,33.0,0.27178618482966305
0.1,avg_clustering,FO,UO,8,5,11.0,0.2222222222222222
0.1,avg_path_length,Controls,FO,20,8,86.0,0.7841504711069929
0.1,avg_path_length,Controls,UO,20,5,71.0,0.16901938641069073
0.1,avg_path_length,FO,UO,8,5,30.0,0.17094017094017094
0.1,small_worldness,Controls,FO,20,8,81.0,0.9801387018778324
0.1,small_worldness,Controls,UO,20,5,32.0,0.24306418219461695
