cost,metric,group1,group2,n1,n2,U,p
0.05,global_efficiency,Controls,Coma,20,14,110.0,0.30193864318981
0.05,avg_clustering,Controls,Coma,20,14,215.0,0.009135084720029931
0.05,avg_path_length,Controls,Coma,20,14,172.0,0.2703441406547801
0.05,small_worldness,Controls,Coma,20,14,181.0,0.15642306474451056
0.1,global_efficiency,Controls,Coma,20,14,115.0,0.3912672792826394
0.1,avg_clustering,Controls,Coma,20,14,236.0,0.000832358545034148
0.1,avg_path_length,Controls,Coma,20,14,163.0,0.43108520748661294
0.1,small_worldness,Controls,Coma,20,14,191.0,0.07720614361362445
0.15000000000000002,global_efficiency,Controls,Coma,20,14,152.0,0.6873777701764827
0.15000000000000002,avg_clustering,Controls,Coma,20,14,250.0,0.0001272599235110108
0.15000000000000002,avg_path_length,Controls,Coma,20,14,125.0,0.6118781816186112
0.15000000000000002,small_worldness,Controls,Coma,20,14,223.0,0.003890595620885823
0.2,global_efficiency,Controls,Coma,20,14,166.0,0.37222458772597034
0.2,avg_clustering,Controls,Coma,20,14,214.0,0.010112333921333462
0.2,avg_path_length,Controls,Coma,20,14,107.0,0.2554283176824368
0.2,small_worldness,Controls,Coma,20,14,210.0,0.01501598145068597
0.25,global_efficiency,Controls,Coma,20,14,150.0,0.7395640217749916
0.25,avg_clustering,Controls,Coma,20,14,217.0,0.007429741511332664
0.25,avg_path_length,Controls,Coma,20,14,125.0,0.6118509867374561
0.25,small_worldness,Controls,Coma,20,14,215.0,0.009135084720029931
0.3,global_efficiency,Controls,Coma,20,14,166.0,0.37222458772597034
0.3,avg_clustering,Controls,Coma,20,14,204.0,0.026280796852063255
0.3,avg_path_length,Controls,Coma,20,14,111.0,0.3186226732532096
0.3,small_worldness,Controls,Coma,20,14,218.0,0.006689169375402694
0.35000000000000003,global_efficiency,Controls,Coma,20,14,162.0,0.4518446479417627
0.35000000000000003,avg_clustering,Controls,Coma,20,14,204.0,0.026280796852063255
0.35000000000000003,avg_path_length,Controls,Coma,20,14,115.5,0.4009345152996927
0.35000000000000003,small_worldness,Controls,Coma,20,14,232.0,0.001365561296999093
0.4,global_efficiency,Controls,Coma,20,14,156.0,0.5875519233644478
0.4,avg_clustering,Controls,Coma,20,14,195.0,0.05650728603074183
0.4,avg_path_length,Controls,Coma,20,14,123.0,0.5636829674646076
0.4,small_worldness,Controls,Coma,20,14,231.0,0.0015410491717581928
0.45,global_efficiency,Controls,Coma,20,14,164.0,0.41088984707006326
0.45,avg_clustering,Controls,Coma,20,14,192.0,0.07152580467739117
0.45,avg_path_length,Controls,Coma,20,14,118.0,0.4518446479417627
0.45,small_worldness,Controls,Coma,20,14,224.0,0.003479128998382963
0.5,global_efficiency,Controls,Coma,20,14,159.0,0.5173956477449926
0.5,avg_clustering,Controls,Coma,20,14,184.0,0.12796325566680153
0.5,avg_path_length,Controls,Coma,20,14,122.0,0.5402913746074199
0.5,small_worldness,Controls,Coma,20,14,203.0,0.028739281925163958
