cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,Coma,20,14,153.0,0.6618148433738997
0.03,avg_clustering,Controls,Coma,20,14,208.0,0.018176251617598102
0.03,avg_path_length,Controls,Coma,20,14,115.0,0.3912672792826394
0.03,small_worldness,Controls,Coma,20,14,196.0,0.05212554758041014
0.05,global_efficiency,Controls,Coma,20,14,148.0,0.7929781290670319
0.05,avg_clustering,Controls,Coma,20,14,197.0,0.04803166706209139
0.05,avg_path_length,Controls,Coma,20,14,123.0,0.5636829674646076
0.05,small_worldness,Controls,Coma,20,14,180.0,0.16690659538227026
0.1,global_efficiency,Controls,Coma,20,14,144.0,0.9025232501776794
0.1,avg_clustering,Controls,Coma,20,14,172.0,0.2703441406547801
0.1,avg_path_length,Controls,Coma,20,14,143.0,0.9302885701156912
0.1,small_worldness,Controls,Coma,20,14,155.0,0.6118781816186112
0.15000000000000002,global_efficiency,Controls,Coma,20,14,143.0,0.9302885701156912
0.15000000000000002,avg_clustering,Controls,Coma,20,14,161.0,0.47315781277927615
0.15000000000000002,avg_path_length,Controls,Coma,20,14,151.0,0.7133031738784577
0.15000000000000002,small_worldness,Controls,Coma,20,14,150.0,0.7395640217749916
0.2,global_efficiency,Controls,Coma,20,14,134.0,0.8473819693008895
0.2,avg_clustering,Controls,Coma,20,14,132.0,0.7929781290670319
0.2,avg_path_length,Controls,Coma,20,14,152.0,0.6873777701764827
0.2,small_worldness,Controls,Coma,20,14,118.0,0.4518446479417627
0.25,global_efficiency,Controls,Coma,20,14,130.0,0.7395640217749916
0.25,avg_clustering,Controls,Coma,20,14,123.0,0.5636829674646076
0.25,avg_path_length,Controls,Coma,20,14,158.0,0.5402913746074199
0.25,small_worldness,Controls,Coma,20,14,114.0,0.37222458772597034
0.3,global_efficiency,Controls,Coma,20,14,128.0,0.6873777701764827
0.3,avg_clustering,Controls,Coma,20,14,100.0,0.16690659538227026
0.3,avg_path_length,Controls,Coma,20,14,160.0,0.4950126969585519
0.3,small_worldness,Controls,Coma,20,14,107.0,0.2554283176824368
0.35000000000000003,global_efficiency,Controls,Coma,20,14,127.0,0.6618148433738997
0.35000000000000003,avg_clustering,Controls,Coma,20,14,99.0,0.15642306474451056
0.35000000000000003,avg_path_length,Controls,Coma,20,14,166.0,0.37222458772597034
0.35000000000000003,small_worldness,Controls,Coma,20,14,99.0,0.15642306474451056
0.4,global_efficiency,Controls,Coma,20,14,125.0,0.6118781816186112
0.4,avg_clustering,Controls,Coma,20,14,113.0,0.3537672485475659
0.4,avg_path_length,Controls,Coma,20,14,162.0,0.4518446479417627
0.4,small_worldness,Controls,Coma,20,14,104.0,0.21414757294039755
0.45,global_efficiency,Controls,Coma,20,14,116.0,0.41088984707006326
0.45,avg_clustering,Controls,Coma,20,14,129.0,0.7133031738784577
0.45,avg_path_length,Controls,Coma,20,14,169.0,0.3186226732532096
0.45,small_worldness,Controls,Coma,20,14,109.0,0.28584646680556647
0.5,global_efficiency,Controls,Coma,20,14,103.0,0.20151966887832418
0.5,avg_clustering,Controls,Coma,20,14,122.0,0.5402913746074199
0.5,avg_path_length,Controls,Coma,20,14,176.0,0.21414757294039755
0.5,small_worldness,Controls,Coma,20,14,94.0,0.11134688653314041
