cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,AE,20,5,57.0,0.668473555430077
0.03,global_efficiency,Controls,TE,20,9,66.0,0.2679479306138439
0.03,global_efficiency,AE,TE,5,9,12.0,0.18981018981018982
0.03,avg_clustering,Controls,AE,20,5,97.0,0.00026350461133069827
0.03,avg_clustering,Controls,TE,20,9,107.0,0.43667663367489107
0.03,avg_clustering,AE,TE,5,9,11.0,0.14685314685314685
0.03,avg_path_length,Controls,AE,20,5,40.0,0.5304347826086956
0.03,avg_path_length,Controls,TE,20,9,121.0,0.15049541055067556
0.03,avg_path_length,AE,TE,5,9,34.0,0.14685314685314685
0.03,small_worldness,Controls,AE,20,5,88.0,0.007415772633163937
0.03,small_worldness,Controls,TE,20,9,81.0,0.6886455446538766
0.03,small_worldness,AE,TE,5,9,7.0,0.04195804195804195
0.05,global_efficiency,Controls,AE,20,5,72.0,0.14831545266327872
0.05,global_efficiency,Controls,TE,20,9,60.0,0.16433360814940867
0.05,global_efficiency,AE,TE,5,9,10.0,0.11188811188811189
0.05,avg_clustering,Controls,AE,20,5,97.0,0.00026350461133069827
0.05,avg_clustering,Controls,TE,20,9,124.0,0.11428901031320156
0.05,avg_clustering,AE,TE,5,9,6.0,0.02897102897102897
0.05,avg_path_length,Controls,AE,20,5,28.0,0.14831545266327872
0.05,avg_path_length,Controls,TE,20,9,126.0,0.09423165073398893
0.05,avg_path_length,AE,TE,5,9,37.0,0.05994005994005994
0.05,small_worldness,Controls,AE,20,5,94.0,0.0010916619612271786
0.05,small_worldness,Controls,TE,20,9,81.0,0.6886455446538766
0.05,small_worldness,AE,TE,5,9,6.0,0.02897102897102897
0.1,global_efficiency,Controls,AE,20,5,66.0,0.30265386787125914
0.1,global_efficiency,Controls,TE,20,9,69.0,0.33385443443022034
0.1,global_efficiency,AE,TE,5,9,9.0,0.08291708291708291
0.1,avg_clustering,Controls,AE,20,5,94.0,0.0010916619612271786
0.1,avg_clustering,Controls,TE,20,9,133.0,0.045126948888676126
0.1,avg_clustering,AE,TE,5,9,12.0,0.18981018981018982
0.1,avg_path_length,Controls,AE,20,5,35.0,0.335554300771692
0.1,avg_path_length,Controls,TE,20,9,109.0,0.38315471887403285
0.1,avg_path_length,AE,TE,5,9,33.0,0.18981018981018982
0.1,small_worldness,Controls,AE,20,5,88.0,0.007415772633163937
0.1,small_worldness,Controls,TE,20,9,105.0,0.4942678594495017
0.1,small_worldness,AE,TE,5,9,12.0,0.18981018981018982
0.15000000000000002,global_efficiency,Controls,AE,20,5,55.0,0.7671372106154712
0.15000000000000002,global_efficiency,Controls,TE,20,9,65.0,0.24811455704182062
0.15000000000000002,global_efficiency,AE,TE,5,9,15.0,0.36363636363636365
0.15000000000000002,avg_clustering,Controls,AE,20,5,88.0,0.007415772633163937
0.15000000000000002,avg_clustering,Controls,TE,20,9,144.0,0.011668500239579051
0.15000000000000002,avg_clustering,AE,TE,5,9,18.0,0.6063936063936064
0.15000000000000002,avg_path_length,Controls,AE,20,5,45.0,0.7671372106154712
0.15000000000000002,avg_path_length,Controls,TE,20,9,111.0,0.33385443443022034
0.15000000000000002,avg_path_length,AE,TE,5,9,30.0,0.36363636363636365
0.15000000000000002,small_worldness,Controls,AE,20,5,77.0,0.07095802747976661
0.15000000000000002,small_worldness,Controls,TE,20,9,108.0,0.40939548620991884
0.15000000000000002,small_worldness,AE,TE,5,9,15.0,0.36363636363636365
0.2,global_efficiency,Controls,AE,20,5,47.0,0.8694146433276866
0.2,global_efficiency,Controls,TE,20,9,54.0,0.09423165073398893
0.2,global_efficiency,AE,TE,5,9,16.0,0.43756243756243757
0.2,avg_clustering,Controls,AE,20,5,75.0,0.09696969696969696
0.2,avg_clustering,Controls,TE,20,9,142.0,0.015193512163636253
0.2,avg_clustering,AE,TE,5,9,34.0,0.14685314685314685
0.2,avg_path_length,Controls,AE,20,5,52.5,0.8919008247421136
0.2,avg_path_length,Controls,TE,20,9,123.0,0.1255064714374691
0.2,avg_path_length,AE,TE,5,9,30.0,0.36363636363636365
0.2,small_worldness,Controls,AE,20,5,70.0,0.19171842650103516
0.2,small_worldness,Controls,TE,20,9,122.0,0.13756389390990328
0.2,small_worldness,AE,TE,5,9,22.0,1.0
0.25,global_efficiency,Controls,AE,20,5,44.0,0.7172971955580649
0.25,global_efficiency,Controls,TE,20,9,58.0,0.13756389390990328
0.25,global_efficiency,AE,TE,5,9,17.0,0.5184815184815185
0.25,avg_clustering,Controls,AE,20,5,85.0,0.01535855448898927
0.25,avg_clustering,Controls,TE,20,9,136.0,0.03196159741439155
0.25,avg_clustering,AE,TE,5,9,24.0,0.8981018981018981
0.25,avg_path_length,Controls,AE,20,5,56.0,0.7172971955580649
0.25,avg_path_length,Controls,TE,20,9,121.0,0.15049541055067556
0.25,avg_path_length,AE,TE,5,9,28.0,0.5184815184815185
0.25,small_worldness,Controls,AE,20,5,76.0,0.08322981366459627
0.25,small_worldness,Controls,TE,20,9,128.0,0.07709987174354177
0.25,small_worldness,AE,TE,5,9,21.0,0.8981018981018981
0.3,global_efficiency,Controls,AE,20,5,41.0,0.5748917748917748
0.3,global_efficiency,Controls,TE,20,9,61.0,0.1791091927267221
0.3,global_efficiency,AE,TE,5,9,20.0,0.7972027972027972
0.3,avg_clustering,Controls,AE,20,5,76.0,0.08322981366459627
0.3,avg_clustering,Controls,TE,20,9,133.0,0.045126948888676126
0.3,avg_clustering,AE,TE,5,9,23.0,1.0
0.3,avg_path_length,Controls,AE,20,5,60.0,0.5304347826086956
0.3,avg_path_length,Controls,TE,20,9,118.0,0.19485064860886958
0.3,avg_path_length,AE,TE,5,9,25.0,0.7972027972027972
0.3,small_worldness,Controls,AE,20,5,78.0,0.060154338415207974
0.3,small_worldness,Controls,TE,20,9,134.0,0.04030497436254076
0.3,small_worldness,AE,TE,5,9,21.0,0.8981018981018981
0.35000000000000003,global_efficiency,Controls,AE,20,5,41.0,0.5748917748917748
0.35000000000000003,global_efficiency,Controls,TE,20,9,64.0,0.22933194239164756
0.35000000000000003,global_efficiency,AE,TE,5,9,21.0,0.8981018981018981
0.35000000000000003,avg_clustering,Controls,AE,20,5,84.0,0.019160549595332203
0.35000000000000003,avg_clustering,Controls,TE,20,9,137.0,0.028377266737987437
0.35000000000000003,avg_clustering,AE,TE,5,9,21.0,0.8981018981018981
0.35000000000000003,avg_path_length,Controls,AE,20,5,59.0,0.5748917748917748
0.35000000000000003,avg_path_length,Controls,TE,20,9,116.0,0.22933194239164756
0.35000000000000003,avg_path_length,AE,TE,5,9,24.0,0.8981018981018981
0.35000000000000003,small_worldness,Controls,AE,20,5,90.0,0.004253717297195558
0.35000000000000003,small_worldness,Controls,TE,20,9,141.0,0.017284805370886662
0.35000000000000003,small_worldness,AE,TE,5,9,19.0,0.6993006993006993
0.4,global_efficiency,Controls,AE,20,5,37.0,0.4076039902126858
0.4,global_efficiency,Controls,TE,20,9,62.0,0.19485064860886958
0.4,global_efficiency,AE,TE,5,9,21.0,0.8981018981018981
0.4,avg_clustering,Controls,AE,20,5,79.0,0.05063052889139845
0.4,avg_clustering,Controls,TE,20,9,142.0,0.015193512163636253
0.4,avg_clustering,AE,TE,5,9,23.0,1.0
0.4,avg_path_length,Controls,AE,20,5,64.0,0.3706004140786749
0.4,avg_path_length,Controls,TE,20,9,117.0,0.21158389479778583
0.4,avg_path_length,AE,TE,5,9,24.0,0.8981018981018981
0.4,small_worldness,Controls,AE,20,5,86.0,0.01219649915302089
0.4,small_worldness,Controls,TE,20,9,149.0,0.005820666407810884
0.4,small_worldness,AE,TE,5,9,22.0,1.0
0.45,global_efficiency,Controls,AE,20,5,30.0,0.19171842650103516
0.45,global_efficiency,Controls,TE,20,9,57.0,0.1255064714374691
0.45,global_efficiency,AE,TE,5,9,23.0,1.0
0.45,avg_clustering,Controls,AE,20,5,82.0,0.028947863730472423
0.45,avg_clustering,Controls,TE,20,9,145.0,0.010194695331773272
0.45,avg_clustering,AE,TE,5,9,23.0,1.0
0.45,avg_path_length,Controls,AE,20,5,70.5,0.1741485498619112
0.45,avg_path_length,Controls,TE,20,9,122.0,0.13756389390990328
0.45,avg_path_length,AE,TE,5,9,22.0,1.0
0.45,small_worldness,Controls,AE,20,5,84.0,0.019160549595332203
0.45,small_worldness,Controls,TE,20,9,147.0,0.007734722881015153
0.45,small_worldness,AE,TE,5,9,23.0,1.0
0.5,global_efficiency,Controls,AE,20,5,28.0,0.14831545266327872
0.5,global_efficiency,Controls,TE,20,9,54.0,0.09423165073398893
0.5,global_efficiency,AE,TE,5,9,24.0,0.8981018981018981
0.5,avg_clustering,Controls,AE,20,5,82.0,0.028947863730472423
0.5,avg_clustering,Controls,TE,20,9,144.0,0.011668500239579051
0.5,avg_clustering,AE,TE,5,9,23.0,1.0
0.5,avg_path_length,Controls,AE,20,5,72.0,0.14403785098741193
0.5,avg_path_length,Controls,TE,20,9,126.0,0.09419111121939588
0.5,avg_path_length,AE,TE,5,9,21.5,0.9467886518985837
0.5,small_worldness,Controls,AE,20,5,84.0,0.019160549595332203
0.5,small_worldness,Controls,TE,20,9,147.0,0.007734722881015153
0.5,small_worldness,AE,TE,5,9,23.0,1.0
