cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,AE,20,5,71.0,0.16901938641069073
0.03,global_efficiency,Controls,TE,20,9,82.0,0.7236736098317631
0.03,global_efficiency,AE,TE,5,9,14.0,0.2977022977022977
0.03,avg_clustering,Controls,AE,20,5,55.0,0.7671372106154712
0.03,avg_clustering,Controls,TE,20,9,153.0,0.003216229310127449
0.03,avg_clustering,AE,TE,5,9,34.0,0.14685314685314685
0.03,avg_path_length,Controls,AE,20,5,29.0,0.16901938641069073
0.03,avg_path_length,Controls,TE,20,9,86.0,0.868950607624914
0.03,avg_path_length,AE,TE,5,9,29.0,0.43756243756243757
0.03,small_worldness,Controls,AE,20,5,66.0,0.30265386787125914
0.03,small_worldness,Controls,TE,20,9,130.0,0.0625963448235217
0.03,small_worldness,AE,TE,5,9,26.0,0.6993006993006993
0.05,global_efficiency,Controls,AE,20,5,67.0,0.27178618482966305
0.05,global_efficiency,Controls,TE,20,9,81.0,0.6886455446538766
0.05,global_efficiency,AE,TE,5,9,17.0,0.5184815184815185
0.05,avg_clustering,Controls,AE,20,5,51.0,0.9737624694146431
0.05,avg_clustering,Controls,TE,20,9,146.0,0.008888969943914301
0.05,avg_clustering,AE,TE,5,9,36.0,0.08291708291708291
0.05,avg_path_length,Controls,AE,20,5,36.0,0.3706004140786749
0.05,avg_path_length,Controls,TE,20,9,87.0,0.9061856157549283
0.05,avg_path_length,AE,TE,5,9,28.0,0.5184815184815185
0.05,small_worldness,Controls,AE,20,5,54.0,0.8179559570863917
0.05,small_worldness,Controls,TE,20,9,126.0,0.09423165073398893
0.05,small_worldness,AE,TE,5,9,27.0,0.6063936063936064
0.1,global_efficiency,Controls,AE,20,5,62.0,0.4466779597214379
0.1,global_efficiency,Controls,TE,20,9,82.0,0.7236736098317631
0.1,global_efficiency,AE,TE,5,9,15.0,0.36363636363636365
0.1,avg_clustering,Controls,AE,20,5,35.0,0.335554300771692
0.1,avg_clustering,Controls,TE,20,9,137.0,0.028377266737987437
0.1,avg_clustering,AE,TE,5,9,40.0,0.01898101898101898
0.1,avg_path_length,Controls,AE,20,5,42.0,0.621005081874647
0.1,avg_path_length,Controls,TE,20,9,101.0,0.6206179464376897
0.1,avg_path_length,AE,TE,5,9,28.0,0.5184815184815185
0.1,small_worldness,Controls,AE,20,5,46.0,0.8179559570863917
0.1,small_worldness,Controls,TE,20,9,109.0,0.38315471887403285
0.1,small_worldness,AE,TE,5,9,26.0,0.6993006993006993
0.15000000000000002,global_efficiency,Controls,AE,20,5,61.0,0.4875964615095049
0.15000000000000002,global_efficiency,Controls,TE,20,9,82.0,0.7236736098317631
0.15000000000000002,global_efficiency,AE,TE,5,9,16.0,0.43756243756243757
0.15000000000000002,avg_clustering,Controls,AE,20,5,38.0,0.4466779597214379
0.15000000000000002,avg_clustering,Controls,TE,20,9,123.0,0.1255064714374691
0.15000000000000002,avg_clustering,AE,TE,5,9,34.0,0.14685314685314685
0.15000000000000002,avg_path_length,Controls,AE,20,5,45.0,0.7671372106154712
0.15000000000000002,avg_path_length,Controls,TE,20,9,106.0,0.46497646294543604
0.15000000000000002,avg_path_length,AE,TE,5,9,28.0,0.5184815184815185
0.15000000000000002,small_worldness,Controls,AE,20,5,48.0,0.9214756258234517
0.15000000000000002,small_worldness,Controls,TE,20,9,102.0,0.5877391489586028
0.15000000000000002,small_worldness,AE,TE,5,9,26.0,0.6993006993006993
0.2,global_efficiency,Controls,AE,20,5,61.0,0.4875964615095049
0.2,global_efficiency,Controls,TE,20,9,73.0,0.43667663367489107
0.2,global_efficiency,AE,TE,5,9,14.0,0.2977022977022977
0.2,avg_clustering,Controls,AE,20,5,29.0,0.16901938641069073
0.2,avg_clustering,Controls,TE,20,9,103.0,0.5556897902827946
