cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,FO,20,8,78.0,0.9404817404817405
0.03,global_efficiency,Controls,UO,20,6,45.0,0.3874560222386309
0.03,global_efficiency,FO,UO,8,6,21.0,0.7545787545787546
0.03,avg_clustering,Controls,FO,20,8,91.0,0.6005099570316963
0.03,avg_clustering,Controls,UO,20,6,113.0,0.0003822264691829909
0.03,avg_clustering,FO,UO,8,6,30.0,0.4908424908424909
0.03,avg_path_length,Controls,FO,20,8,89.0,0.6718260805217328
0.03,avg_path_length,Controls,UO,20,6,72.0,0.49419276375798116
0.03,avg_path_length,FO,UO,8,6,26.0,0.8518148518148518
0.03,small_worldness,Controls,FO,20,8,83.0,0.9009483270352836
0.03,small_worldness,Controls,UO,20,6,86.0,0.12290318377274896
0.03,small_worldness,FO,UO,8,6,30.0,0.4908424908424909
0.05,global_efficiency,Controls,FO,20,8,75.0,0.8226922835618488
0.05,global_efficiency,Controls,UO,20,6,57.0,0.8822742474916387
0.05,global_efficiency,FO,UO,8,6,23.0,0.9497169497169498
0.05,avg_clustering,Controls,FO,20,8,106.0,0.19908658169527738
0.05,avg_clustering,Controls,UO,20,6,115.0,0.00016505233896538246
0.05,avg_clustering,FO,UO,8,6,35.0,0.18115218115218118
0.05,avg_path_length,Controls,FO,20,8,90.0,0.6357719575110881
0.05,avg_path_length,Controls,UO,20,6,64.0,0.8357729227294444
0.05,avg_path_length,FO,UO,8,6,25.0,0.9497169497169498
0.05,small_worldness,Controls,FO,20,8,85.0,0.8226922835618488
0.05,small_worldness,Controls,UO,20,6,90.0,0.07199756764974155
0.05,small_worldness,FO,UO,8,6,31.0,0.4135864135864136
0.1,global_efficiency,Controls,FO,20,8,81.0,0.9801387018778324
0.1,global_efficiency,Controls,UO,20,6,54.0,0.7444729183859617
0.1,global_efficiency,FO,UO,8,6,23.0,0.9497169497169498
0.1,avg_clustering,Controls,FO,20,8,115.0,0.07916334872856612
0.1,avg_clustering,Controls,UO,20,6,112.0,0.0005559657733570777
0.1,avg_clustering,FO,UO,8,6,39.0,0.05927405927405928
0.1,avg_path_length,Controls,FO,20,8,78.0,0.9404817404817405
0.1,avg_path_length,Controls,UO,20,6,66.0,0.7444729183859617
0.1,avg_path_length,FO,UO,8,6,26.0,0.8518148518148518
0.1,small_worldness,Controls,FO,20,8,102.0,0.28059219363567195
0.1,small_worldness,Controls,UO,20,6,91.0,0.062242105720366585
0.1,small_worldness,FO,UO,8,6,30.0,0.4908424908424909
0.15000000000000002,global_efficiency,Controls,FO,20,8,71.0,0.6718260805217328
0.15000000000000002,global_efficiency,Controls,UO,20,6,49.0,0.5327368283890023
0.15000000000000002,global_efficiency,FO,UO,8,6,22.0,0.8518148518148518
0.15000000000000002,avg_clustering,Controls,FO,20,8,124.0,0.024684494249711638
0.15000000000000002,avg_clustering,Controls,UO,20,6,108.0,0.001971941102375885
0.15000000000000002,avg_clustering,FO,UO,8,6,37.0,0.1078921078921079
0.15000000000000002,avg_path_length,Controls,FO,20,8,84.0,0.8616665138404269
0.15000000000000002,avg_path_length,Controls,UO,20,6,72.0,0.49419276375798116
0.15000000000000002,avg_path_length,FO,UO,8,6,27.0,0.7545787545787546
0.15000000000000002,small_worldness,Controls,FO,20,8,104.0,0.23748361139665491
0.15000000000000002,small_worldness,Controls,UO,20,6,81.0,0.2185292967901663
0.15000000000000002,small_worldness,FO,UO,8,6,26.0,0.8518148518148518
0.2,global_efficiency,Controls,FO,20,8,60.0,0.3284856850074242
0.2,global_efficiency,Controls,UO,20,6,41.0,0.2680797463406159
0.2,global_efficiency,FO,UO,8,6,20.0,0.662004662004662
0.2,avg_clustering,Controls,FO,20,8,117.0,0.06251075816293207
0.2,avg_clustering,Controls,UO,20,6,100.0,0.013143378360769665
0.2,avg_clustering,FO,UO,8,6,24.0,1.0
0.2,avg_path_length,Controls,FO,20,8,97.0,0.40922813096726146
0.2,avg_path_length,Controls,UO,20,6,78.5,0.27323966864425275
0.2,avg_path_length,FO,UO,8,6,27.0,0.7545787545787546
0.2,small_worldness,Controls,FO,20,8,108.0,0.16525181742573047
0.2,small_worldness,Controls,UO,20,6,84.0,0.15653911306085216
0.2,small_worldness,FO,UO,8,6,25.0,0.9497169497169498
0.25,global_efficiency,Controls,FO,20,8,63.0,0.40922813096726146
0.25,global_efficiency,Controls,UO,20,6,39.0,0.2185292967901663
0.25,global_efficiency,FO,UO,8,6,20.0,0.662004662004662
0.25,avg_clustering,Controls,FO,20,8,114.0,0.08868941042854087
0.25,avg_clustering,Controls,UO,20,6,107.0,0.0025887156321938933
0.25,avg_clustering,FO,UO,8,6,32.0,0.344988344988345
0.25,avg_path_length,Controls,FO,20,8,96.0,0.4384671689019516
0.25,avg_path_length,Controls,UO,20,6,81.0,0.2185292967901663
0.25,avg_path_length,FO,UO,8,6,28.0,0.662004662004662
0.25,small_worldness,Controls,FO,20,8,110.0,0.13576117923944012
0.25,small_worldness,Controls,UO,20,6,94.0,0.039065282543543405
0.25,small_worldness,FO,UO,8,6,24.0,1.0
0.3,global_efficiency,Controls,FO,20,8,63.0,0.40922813096726146
0.3,global_efficiency,Controls,UO,20,6,39.0,0.2185292967901663
0.3,global_efficiency,FO,UO,8,6,20.0,0.662004662004662
0.3,avg_clustering,Controls,FO,20,8,111.0,0.12255699212220951
0.3,avg_clustering,Controls,UO,20,6,98.0,0.019389306345828083
0.3,avg_clustering,FO,UO,8,6,32.0,0.344988344988345
0.3,avg_path_length,Controls,FO,20,8,96.0,0.4384671689019516
0.3,avg_path_length,Controls,UO,20,6,82.0,0.1962732919254658
0.3,avg_path_length,FO,UO,8,6,29.0,0.5727605727605728
0.3,small_worldness,Controls,FO,20,8,110.0,0.13576117923944012
0.3,small_worldness,Controls,UO,20,6,102.0,0.008652217347869522
0.3,small_worldness,FO,UO,8,6,34.0,0.22843822843822847
0.35000000000000003,global_efficiency,Controls,FO,20,8,69.0,0.6005099570316963
0.35000000000000003,global_efficiency,Controls,UO,20,6,36.0,0.15653911306085216
0.35000000000000003,global_efficiency,FO,UO,8,6,16.0,0.344988344988345
0.35000000000000003,avg_clustering,Controls,FO,20,8,118.0,0.055294785729568335
0.35000000000000003,avg_clustering,Controls,UO,20,6,103.0,0.006923511271337357
0.35000000000000003,avg_clustering,FO,UO,8,6,31.0,0.4135864135864136
0.35000000000000003,avg_path_length,Controls,FO,20,8,91.0,0.6005099570316963
0.35000000000000003,avg_path_length,Controls,UO,20,6,84.0,0.15653911306085216
0.35000000000000003,avg_path_length,FO,UO,8,6,32.0,0.344988344988345
0.35000000000000003,small_worldness,Controls,FO,20,8,126.0,0.01832627919584441
0.35000000000000003,small_worldness,Controls,UO,20,6,105.0,0.004326108673934761
0.35000000000000003,small_worldness,FO,UO,8,6,33.0,0.2823842823842824
0.4,global_efficiency,Controls,FO,20,8,66.0,0.5002340654514569
0.4,global_efficiency,Controls,UO,20,6,33.0,0.10821352560482993
