cost,metric,group1,group2,n1,n2,U,p
0.03,global_efficiency,Controls,FO,20,8,92.0,0.5661385313559228
0.03,global_efficiency,Controls,UO,20,6,61.0,0.9763540807019068
0.03,global_efficiency,FO,UO,8,6,22.0,0.8518148518148518
0.03,avg_clustering,Controls,FO,20,8,116.0,0.07045772263163567
0.03,avg_clustering,Controls,UO,20,6,92.0,0.05358120140728836
0.03,avg_clustering,FO,UO,8,6,23.0,0.9497169497169498
0.03,avg_path_length,Controls,FO,20,8,63.0,0.40922813096726146
0.03,avg_path_length,Controls,UO,20,6,52.0,0.6564565868913694
0.03,avg_path_length,FO,UO,8,6,29.0,0.5727605727605728
0.03,small_worldness,Controls,FO,20,8,113.0,0.09906229036663819
0.03,small_worldness,Controls,UO,20,6,83.0,0.17558962776354078
0.03,small_worldness,FO,UO,8,6,21.0,0.7545787545787546
0.05,global_efficiency,Controls,FO,20,8,90.0,0.6357719575110881
0.05,global_efficiency,Controls,UO,20,6,58.0,0.9292359814098944
0.05,global_efficiency,FO,UO,8,6,23.0,0.9497169497169498
0.05,avg_clustering,Controls,FO,20,8,114.0,0.08868941042854087
0.05,avg_clustering,Controls,UO,20,6,83.0,0.17558962776354078
0.05,avg_clustering,FO,UO,8,6,24.0,1.0
0.05,avg_path_length,Controls,FO,20,8,63.0,0.40922813096726146
0.05,avg_path_length,Controls,UO,20,6,60.0,1.0
0.05,avg_path_length,FO,UO,8,6,28.0,0.662004662004662
0.05,small_worldness,Controls,FO,20,8,112.0,0.11034440599657991
0.05,small_worldness,Controls,UO,20,6,68.0,0.6564565868913694
0.05,small_worldness,FO,UO,8,6,19.0,0.5727605727605728
0.1,global_efficiency,Controls,FO,20,8,86.0,0.7841504711069929
0.1,global_efficiency,Controls,UO,20,6,58.0,0.9292359814098944
0.1,global_efficiency,FO,UO,8,6,22.0,0.8518148518148518
0.1,avg_clustering,Controls,FO,20,8,103.0,0.25843592800114545
0.1,avg_clustering,Controls,UO,20,6,69.0,0.6139686400555965
0.1,avg_clustering,FO,UO,8,6,22.0,0.8518148518148518
0.1,avg_path_length,Controls,FO,20,8,71.0,0.6718260805217328
0.1,avg_path_length,Controls,UO,20,6,72.0,0.49419276375798116
0.1,avg_path_length,FO,UO,8,6,30.0,0.4908424908424909
0.1,small_worldness,Controls,FO,20,8,102.0,0.28059219363567195
0.1,small_worldness,Controls,UO,20,6,53.0,0.6999435347261433
0.1,small_worldness,FO,UO,8,6,18.0,0.4908424908424909
0.15000000000000002,global_efficiency,Controls,FO,20,8,90.0,0.6357719575110881
0.15000000000000002,global_efficiency,Controls,UO,20,6,53.0,0.6999435347261433
0.15000000000000002,global_efficiency,FO,UO,8,6,20.0,0.662004662004662
0.15000000000000002,avg_clustering,Controls,FO,20,8,101.0,0.30393246045419964
0.15000000000000002,avg_clustering,Controls,UO,20,6,60.0,1.0
0.15000000000000002,avg_clustering,FO,UO,8,6,20.0,0.662004662004662
0.15000000000000002,avg_path_length,Controls,FO,20,8,76.0,0.8616665138404269
0.15000000000000002,avg_path_length,Controls,UO,20,6,75.0,0.3874560222386309
0.15000000000000002,avg_path_length,FO,UO,8,6,29.0,0.5727605727605728
0.15000000000000002,small_worldness,Controls,FO,20,8,102.0,0.28059219363567195
0.15000000000000002,small_worldness,Controls,UO,20,6,48.0,0.49419276375798116
0.15000000000000002,small_worldness,FO,UO,8,6,13.0,0.18115218115218118
0.2,global_efficiency,Controls,FO,20,8,82.0,0.9404817404817405
0.2,global_efficiency,Controls,UO,20,6,52.0,0.6564565868913694
0.2,global_efficiency,FO,UO,8,6,22.0,0.8518148518148518
0.2,avg_clustering,Controls,FO,20,8,99.0,0.35421776291341517
0.2,avg_clustering,Controls,UO,20,6,33.0,0.10821352560482993
0.2,avg_clustering,FO,UO,8,6,12.0,0.14185814185814188
0.2,avg_path_length,Controls,FO,20,8,78.0,0.9404817404817405
0.2,avg_path_length,Controls,UO,20,6,74.0,0.4214828649611258
0.2,avg_path_length,FO,UO,8,6,31.0,0.4135864135864136
0.2,small_worldness,Controls,FO,20,8,83.0,0.9009483270352836
0.2,small_worldness,Controls,UO,20,6,35.0,0.1389566954784346
0.2,small_worldness,FO,UO,8,6,8.0,0.042624042624042624
0.25,global_efficiency,Controls,FO,20,8,81.0,0.9801387018778324
0.25,global_efficiency,Controls,UO,20,6,49.0,0.5327368283890023
0.25,global_efficiency,FO,UO,8,6,20.0,0.662004662004662
0.25,avg_clustering,Controls,FO,20,8,81.0,0.9801387018778324
0.25,avg_clustering,Controls,UO,20,6,42.0,0.2954263128176171
0.25,avg_clustering,FO,UO,8,6,16.0,0.344988344988345
0.25,avg_path_length,Controls,FO,20,8,84.0,0.8616665138404269
0.25,avg_path_length,Controls,UO,20,6,74.0,0.4214828649611258
0.25,avg_path_length,FO,UO,8,6,29.0,0.5727605727605728
0.25,small_worldness,Controls,FO,20,8,78.0,0.9404817404817405
0.25,small_worldness,Controls,UO,20,6,36.0,0.15653911306085216
0.25,small_worldness,FO,UO,8,6,8.0,0.042624042624042624
0.3,global_efficiency,Controls,FO,20,8,75.0,0.8226922835618488
0.3,global_efficiency,Controls,UO,20,6,53.0,0.6999435347261433
0.3,global_efficiency,FO,UO,8,6,23.0,0.9497169497169498
0.3,avg_clustering,Controls,FO,20,8,70.0,0.6357719575110881
0.3,avg_clustering,Controls,UO,20,6,30.0,0.07199756764974155
0.3,avg_clustering,FO,UO,8,6,16.0,0.344988344988345
0.3,avg_path_length,Controls,FO,20,8,85.0,0.8226922835618488
0.3,avg_path_length,Controls,UO,20,6,75.0,0.3874560222386309
0.3,avg_path_length,FO,UO,8,6,30.0,0.4908424908424909
0.3,small_worldness,Controls,FO,20,8,71.0,0.6718260805217328
0.3,small_worldness,Controls,UO,20,6,36.0,0.15653911306085216
0.3,small_worldness,FO,UO,8,6,8.0,0.042624042624042624
0.35000000000000003,global_efficiency,Controls,FO,20,8,74.0,0.7841504711069929
0.35000000000000003,global_efficiency,Controls,UO,20,6,53.0,0.6999435347261433
0.35000000000000003,global_efficiency,FO,UO,8,6,23.0,0.9497169497169498
0.35000000000000003,avg_clustering,Controls,FO,20,8,65.0,0.4688039818474602
0.35000000000000003,avg_clustering,Controls,UO,20,6,34.0,0.12290318377274896
0.35000000000000003,avg_clustering,FO,UO,8,6,18.0,0.4908424908424909
0.35000000000000003,avg_path_length,Controls,FO,20,8,92.0,0.5661385313559228
0.35000000000000003,avg_path_length,Controls,UO,20,6,74.0,0.4214828649611258
0.35000000000000003,avg_path_length,FO,UO,8,6,29.0,0.5727605727605728
0.35000000000000003,small_worldness,Controls,FO,20,8,61.0,0.35421776291341517
0.35000000000000003,small_worldness,Controls,UO,20,6,38.0,0.1962732919254658
0.35000000000000003,small_worldness,FO,UO,8,6,9.0,0.05927405927405928
0.4,global_efficiency,Controls,FO,20,8,73.0,0.746092554788207
0.4,global_efficiency,Controls,UO,20,6,52.0,0.6564565868913694
0.4,global_efficiency,FO,UO,8,6,20.0,0.662004662004662
0.4,avg_clustering,Controls,FO,20,8,68.0,0.5661385313559228
0.4,avg_clustering,Controls,UO,20,6,45.0,0.3874560222386309
0.4,avg_clustering,FO,UO,8,6,18.0,0.4908424908424909
0.4,avg_path_length,Controls,FO,20,8,88.0,0.708636291244987
0.4,avg_path_length,Controls,UO,20,6,74.0,0.4214828649611258
0.4,avg_path_length,FO,UO,8,6,31.0,0.4135864135864136
0.4,small_worldness,Controls,FO,20,8,67.0,0.5326840631188459
0.4,small_worldness,Controls,UO,20,6,37.0,0.17558962776354078
0.4,small_worldness,FO,UO,8,6,9.0,0.05927405927405928
0.45,global_efficiency,Controls,FO,20,8,69.0,0.6005099570316963
0.45,global_efficiency,Controls,UO,20,6,47.0,0.45702992659514396
0.45,global_efficiency,FO,UO,8,6,18.0,0.4908424908424909
0.45,avg_clustering,Controls,FO,20,8,76.0,0.8616665138404269
0.45,avg_clustering,Controls,UO,20,6,53.0,0.6999435347261433
0.45,avg_clustering,FO,UO,8,6,21.0,0.7545787545787546
0.45,avg_path_length,Controls,FO,20,8,91.0,0.6005099570316963
0.45,avg_path_length,Controls,UO,20,6,78.0,0.2954263128176171
0.45,avg_path_length,FO,UO,8,6,35.0,0.18115218115218118
0.45,small_worldness,Controls,FO,20,8,70.0,0.6357719575110881
0.45,small_worldness,Controls,UO,20,6,39.0,0.2185292967901663
0.45,small_worldness,FO,UO,8,6,10.0,0.08125208125208126
0.5,global_efficiency,Controls,FO,20,8,61.0,0.35421776291341517
0.5,global_efficiency,Controls,UO,20,6,42.0,0.2954263128176171
0.5,global_efficiency,FO,UO,8,6,19.0,0.5727605727605728
0.5,avg_clustering,Controls,FO,20,8,76.0,0.8616665138404269
0.5,avg_clustering,Controls,UO,20,6,46.0,0.4214828649611258
0.5,avg_clustering,FO,UO,8,6,20.0,0.662004662004662
0.5,avg_path_length,Controls,FO,20,8,94.0,0.5002340654514569
0.5,avg_path_length,Controls,UO,20,6,82.0,0.1962732919254658
0.5,avg_path_length,FO,UO,8,6,35.0,0.18115218115218118
0.5,small_worldness,Controls,FO,20,8,63.0,0.40922813096726146
0.5,small_worldness,Controls,UO,20,6,31.0,0.08283021326499586
0.5,small_worldness,FO,UO,8,6,17.0,0.4135864135864136
