region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,PreGy_L,14.6,13.6429,160.5,0.48234067834962535,False
1,PreGy_R,13.55,14.4286,128.0,0.686628596928783,False
2,FrontSup_L,15.05,11.8571,169.0,0.3172137102518552,False
3,FrontSup_R,17.5,13.6429,182.0,0.14518057265809592,False
4,FrontSupOrb_L,4.45,5.7857,103.5,0.20413198428206436,False
5,FrontSupOrb_R,6.3,5.6429,130.0,0.7365799688607058,False
6,FrontMid_L,15.2,13.3571,165.0,0.3898148107245687,False
7,FrontMid_R,18.25,17.0714,153.5,0.648324230024265,False
8,FrontMidOrb_L,6.85,4.1429,185.0,0.11583303563380751,False
9,FrontMidOrb_R,5.95,4.0714,168.5,0.32210714234006965,False
10,FrontInfOperc_L,12.2,7.7857,204.0,0.025983128718866946,False
11,FrontInfOperc_R,11.95,12.5714,132.0,0.7926993683932186,False
12,FrontInfTri_L,16.5,11.4286,220.5,0.00501162603929991,False
13,FrontInfTri_R,9.55,11.0,115.0,0.3900333240418644,False
14,FrontInfOrb_L,5.8,6.0714,149.0,0.7637904648761635,False
15,FrontInfOrb_R,4.8,7.0714,101.5,0.17736141073057443,False
16,RolandOperc_L,10.7,8.2143,182.0,0.14518057265809592,False
17,RolandOperc_R,11.55,10.0,157.5,0.5508286427509775,False
18,SMA_L,11.4,10.7857,147.5,0.8056500478833655,False
19,SMA_R,12.45,11.5,155.5,0.5988763709001602,False
20,Olfactory_L,4.95,3.0714,170.5,0.26138057127039005,False
21,Olfactory_R,4.8,2.9286,176.5,0.2011685492313422,False
22,FrontSupMed_L,16.25,10.0,218.0,0.00651068590434749,False
23,FrontSupMed_R,14.1,9.7143,196.5,0.049291582130923724,False
24,FrontMedOrb_L,8.95,7.2143,165.0,0.3898148107245687,False
25,FrontMedOrb_R,7.6,6.6429,164.5,0.3988364019014189,False
26,Insula_L,10.75,9.7857,154.5,0.6233824043549028,False
27,Insula_R,11.05,10.9286,132.5,0.8043751240887841,False
28,CingAnt_L,13.15,11.7143,158.5,0.5278330629980241,False
29,CingAnt_R,10.55,12.2857,110.0,0.3009023976595424,False
30,CingMid_L,9.1,12.0,93.5,0.10615395282864554,False
31,CingMid_R,11.5,11.7143,137.0,0.930053661081338,False
32,CingPost_L,6.0,6.7143,129.5,0.7245697039387256,False
33,CingPost_R,2.5,3.1429,156.0,0.5495707626331041,False
34,Hippocampus_L,4.6,5.5714,125.5,0.6208240863042269,False
35,Hippocampus_R,4.4,7.3571,87.5,0.06541331955132416,False
36,ParaHippoc_L,5.75,4.4286,153.0,0.6576694470538427,False
37,ParaHippoc_R,7.9,8.8571,128.0,0.6863776745527013,False
38,Amygdala_L,1.9,2.0,172.5,0.18716438575215777,False
39,Amygdala_R,2.45,2.2143,157.5,0.5276476260239036,False
40,Calcarine_L,3.5,3.2143,187.0,0.09602180581259016,False
41,Calcarine_R,6.05,6.3571,144.0,0.9019174804160058,False
42,Cuneus_L,6.5,6.6429,151.0,0.7100889264146426,False
43,Cuneus_R,7.15,10.5714,77.5,0.029477204199366308,False
44,Lingual_L,6.3,7.2857,111.0,0.31289917750154317,False
45,Lingual_R,9.85,8.2857,152.5,0.6735605921922664,False
46,Occipital_L,15.9,12.9286,176.0,0.21351687665949304,False
47,Occipital_R,13.65,10.6429,177.0,0.20048491949089675,False
48,Fusiform_L,9.35,12.5,96.0,0.12641728664487184,False
49,Fusiform_R,12.05,16.1429,77.0,0.028447064835479784,False
50,Postcentral_L,14.35,14.5,136.5,0.9162783794777468,False
51,Postcentral_R,17.15,13.7857,182.5,0.14027372427629503,False
52,ParietalSup_L,9.85,7.7857,174.0,0.23994188201739364,False
53,ParietalSup_R,4.55,6.4286,119.5,0.47852327369546177,False
54,ParietalInf_L,11.05,13.3571,107.5,0.2615706186417831,False
55,ParietalInf_R,8.0,10.7143,115.5,0.3993810719719689,False
56,SupraMarginal_L,11.9,11.7143,140.0,1.0,False
57,SupraMarginal_R,14.25,13.7143,150.5,0.7247945570553562,False
58,Angular_L,10.25,9.4286,148.5,0.7786640556266408,False
59,Angular_R,8.8,8.5714,141.5,0.9719610912972083,False
60,Precuneus_L,17.65,14.7857,173.5,0.2468850859321169,False
61,Precuneus_R,11.8,12.3571,129.0,0.7125887582730942,False
62,ParacentralLob_L,7.75,9.3571,116.0,0.4094909795860948,False
63,ParacentralLob_R,5.85,5.4286,165.5,0.37651975312408903,False
64,Caudate_L,2.3,4.7143,87.5,0.06102105263900021,False
65,Caudate_R,1.85,4.0714,134.0,0.8354667855942348,False
66,Putamen_L,4.1,6.7143,87.0,0.0634019593252874,False
67,Putamen_R,4.25,6.5,95.5,0.1205902723664031,False
68,Pallidum_L,1.8,2.1429,160.0,0.4392055968927713,False
69,Pallidum_R,1.75,2.2857,136.5,0.9088192247132484,False
70,Thalamus_L,1.55,3.7857,64.0,0.003980894858668531,False
71,Thalamus_R,1.5,3.0,93.0,0.07791988845321556,False
72,Heschl_L,2.2,2.2857,145.5,0.8506842368497467,False
73,Heschl_R,2.25,5.8571,70.5,0.013420736548754109,False
74,TempSup_L,12.7,12.6429,146.0,0.8466979611888736,False
75,TempSup_R,17.8,14.5714,193.5,0.06300387173549558,False
76,TempPole_L,5.5,5.4286,144.5,0.8867942305177726,False
77,TempPole_R,4.8,4.7143,151.5,0.6942817296451655,False
78,TempMid_L,15.9,15.0,156.0,0.5857132999207457,False
79,TempMid_R,14.5,13.5,157.0,0.5627865239248435,False
80,TempInf_L,11.2,15.5,87.0,0.06497151331714383,False
81,TempInf_R,10.45,9.5,146.5,0.833021652558953,False
82,Cereb_I_II_L,1.95,4.4286,77.5,0.02377960041779367,False
83,Cereb_I_II_R,2.05,4.2857,72.0,0.014774077601716736,False
84,Cereb_III_VI_L,12.35,11.0714,160.5,0.48284567727807437,False
85,Cereb_III_VI_R,11.3,10.2857,157.5,0.5504609692260167,False
86,Cereb_VII_X_L,4.15,6.7143,96.5,0.1261596669230068,False
87,Cereb_VII_X_R,4.2,8.0,90.5,0.08246887350802876,False
88,Vermis,3.25,10.1429,31.5,0.00012418807754788308,True
