region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,PreGy_L,18.45,12.7143,200.0,0.03695922944949561,False
1,PreGy_R,17.15,14.3571,168.5,0.3264466216141765,False
2,FrontSup_L,12.15,17.8571,86.0,0.06049948036046158,False
3,FrontSup_R,14.4,17.8571,96.5,0.13178340800665342,False
4,FrontSupOrb_L,1.75,4.5714,91.0,0.04106140893252043,False
5,FrontSupOrb_R,2.05,7.0,72.5,0.008581770010938477,True
6,FrontMid_L,12.2,18.5714,71.5,0.017088709024051157,True
7,FrontMid_R,11.95,20.6429,59.5,0.005001578680967919,True
8,FrontMidOrb_L,3.3,6.9286,70.0,0.013385638856808359,True
9,FrontMidOrb_R,3.1,8.0,63.0,0.006800415914860018,True
10,FrontInfOperc_L,4.3,7.2857,106.5,0.24403943890284663,False
11,FrontInfOperc_R,6.75,10.0714,116.0,0.4082272791594891,False
12,FrontInfTri_L,5.35,12.0,48.0,0.001291546548184915,True
13,FrontInfTri_R,4.8,13.1429,48.5,0.0013659535910559388,True
14,FrontInfOrb_L,5.85,9.9286,87.5,0.0670391795670938,False
15,FrontInfOrb_R,6.55,11.0714,97.0,0.13570307158123535,False
16,RolandOperc_L,9.95,7.0,192.5,0.0678851645449977,False
17,RolandOperc_R,9.35,7.5714,175.0,0.2249122621354812,False
18,SMA_L,10.35,10.7857,122.0,0.5394535998927978,False
19,SMA_R,15.25,11.7857,185.5,0.11355193446243501,False
20,Olfactory_L,1.1,1.9286,110.0,0.12005194201144291,False
21,Olfactory_R,1.2,3.1429,112.0,0.21312397951110718,False
22,FrontSupMed_L,8.05,12.9286,90.0,0.08223595099999263,False
23,FrontSupMed_R,8.95,12.9286,94.5,0.1139974111491798,False
24,FrontMedOrb_L,3.25,6.5,64.0,0.007207988916565557,True
25,FrontMedOrb_R,3.75,7.5,79.0,0.03131457990862742,False
26,Insula_L,7.35,7.1429,157.0,0.5615826732440716,False
27,Insula_R,7.6,5.8571,173.0,0.2529117079652303,False
28,CingAnt_L,4.4,4.1429,163.0,0.42475264810854185,False
29,CingAnt_R,4.15,6.2857,111.0,0.3148220330201651,False
30,CingMid_L,16.05,6.1429,256.0,5.169081700727996e-05,True
31,CingMid_R,14.15,9.1429,205.0,0.023598074388661405,True
32,CingPost_L,3.75,3.8571,157.0,0.5545266931886614,False
33,CingPost_R,3.2,2.5714,179.0,0.16303899189012105,False
34,Hippocampus_L,2.65,4.3571,97.5,0.13171866266135102,False
35,Hippocampus_R,2.25,3.5,128.5,0.6748107030335904,False
36,ParaHippoc_L,1.75,2.2143,125.0,0.5583609846704392,False
37,ParaHippoc_R,2.05,2.6429,136.5,0.9099135590839083,False
38,Amygdala_L,1.2,1.2857,128.0,0.5840439296361154,False
39,Amygdala_R,1.4,2.3571,111.0,0.2561796261420456,False
40,Calcarine_L,12.9,9.5714,189.5,0.08571380804571403,False
41,Calcarine_R,10.85,7.8571,187.5,0.09838013289675204,False
42,Cuneus_L,10.1,9.2143,166.5,0.36152493644090067,False
43,Cuneus_R,10.4,9.3571,176.5,0.20668566883010064,False
44,Lingual_L,15.4,9.7857,202.5,0.029427242986106418,False
45,Lingual_R,15.7,10.4286,205.5,0.022559840669337333,True
46,Occipital_L,13.7,14.2857,147.5,0.8059137522887394,False
47,Occipital_R,11.15,12.8571,126.0,0.635579620180527,False
48,Fusiform_L,17.45,9.0714,222.0,0.004298289674537143,True
