region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,G_Frontal_Sup-1-L,9.2,4.8462,165.5,0.19492155337839745,False
1,G_Frontal_Sup-1-R,1.35,1.7692,150.0,0.28507613985462144,False
2,G_Frontal_Sup-2-L,20.35,14.5385,148.0,0.5186238723569139,False
3,G_Frontal_Sup-2-R,24.6,22.3846,145.5,0.5801499154281761,False
4,G_Frontal_Sup-3-L,2.8,5.8462,105.5,0.31565554456444556,False
5,G_Frontal_Sup-3-R,10.65,8.2308,184.5,0.042464444887439855,False
6,S_Sup_Frontal-1-L,23.35,13.3846,177.5,0.0830507651774371,False
7,S_Sup_Frontal-1-R,22.25,23.2308,129.0,0.9852924457880635,False
8,S_Sup_Frontal-2-L,28.7,25.3077,155.0,0.36641886347109287,False
9,S_Sup_Frontal-2-R,32.95,28.3846,151.0,0.4495014421119695,False
10,S_Sup_Frontal-3-L,33.65,28.2308,151.0,0.4493874861058573,False
11,S_Sup_Frontal-3-R,43.35,32.7692,168.0,0.16686857973899727,False
12,S_Sup_Frontal-4-L,31.35,27.8462,154.0,0.3862660240796477,False
13,S_Sup_Frontal-4-R,23.95,24.6923,123.5,0.8247696036913643,False
14,S_Sup_Frontal-5-L,24.65,29.2308,122.0,0.782153734959064,False
15,S_Sup_Frontal-5-R,47.15,42.3846,139.5,0.7397971824831658,False
16,S_Sup_Frontal-6-L,21.5,26.2308,118.5,0.6850460913379829,False
17,S_Sup_Frontal-6-R,21.1,27.9231,94.5,0.1963882302039337,False
18,G_Frontal_Mid-1-L,26.5,20.5385,169.0,0.155495124902501,False
19,G_Frontal_Mid-1-R,41.6,32.0769,168.0,0.16651357911026432,False
20,G_Frontal_Mid-2-L,26.65,21.8462,153.5,0.39637309621979877,False
21,G_Frontal_Mid-2-R,40.5,25.5385,189.0,0.031006806411223435,False
22,G_Frontal_Mid-3-L,13.6,21.7692,91.0,0.1547673654143342,False
23,G_Frontal_Mid-3-R,34.7,29.2308,154.0,0.3862660240796477,False
24,G_Frontal_Mid-4-L,26.95,35.0,94.0,0.19033202523210035,False
25,G_Frontal_Mid-4-R,35.25,34.4615,132.5,0.9411853280149169,False
26,G_Frontal_Mid-5-L,27.65,30.1538,120.5,0.7400700205747478,False
27,G_Frontal_Mid-5-R,44.3,39.5385,147.0,0.5429689078955209,False
28,S_Inf_Frontal-1-L,38.85,32.0,159.5,0.28482491778423824,False
29,S_Inf_Frontal-1-R,31.25,24.3846,171.5,0.13047292241616062,False
30,S_Inf_Frontal-2-L,39.0,56.4615,53.5,0.005082333022064362,False
31,S_Inf_Frontal-2-R,42.55,53.6923,84.5,0.09698766273937187,False
32,G_Frontal_Inf_Tri-1-L,41.9,32.0769,159.5,0.28498617307559726,False
33,G_Frontal_Inf_Tri-1-R,47.95,46.5385,136.0,0.8393494757732458,False
34,G_Frontal_Sup_Orb-1-L,15.8,14.6923,117.5,0.6579965925347786,False
35,G_Frontal_Sup_Orb-1-R,20.85,27.5385,105.5,0.3759215871111513,False
36,G_Frontal_Mid_Orb-1-L,8.7,1.5385,218.0,0.0008951029545059725,False
37,G_Frontal_Mid_Orb-1-R,14.25,14.6154,146.5,0.554730412565413,False
38,G_Frontal_Mid_Orb-2-L,31.85,15.8462,190.5,0.026920887287214427,False
39,G_Frontal_Mid_Orb-2-R,28.75,25.2308,169.5,0.15050510805395254,False
40,G_Frontal_Inf_Orb-1-L,6.9,8.0769,128.5,0.9696434223221152,False
