region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,G_Frontal_Sup-1-L,7.45,12.4615,65.0,0.016800048084304794,False
1,G_Frontal_Sup-1-R,3.2,1.3077,132.5,0.925075991896835,False
2,G_Frontal_Sup-2-L,22.65,51.3077,36.0,0.0005694564093463343,True
3,G_Frontal_Sup-2-R,30.4,47.3077,74.0,0.040804109369805296,False
4,G_Frontal_Sup-3-L,3.95,11.2308,79.5,0.03250343624184232,False
5,G_Frontal_Sup-3-R,4.6,6.2308,129.0,0.9845380245576211,False
6,S_Sup_Frontal-1-L,5.95,14.9231,79.5,0.0609175454807751,False
7,S_Sup_Frontal-1-R,12.2,29.9231,58.5,0.008813753485640416,False
8,S_Sup_Frontal-2-L,25.4,38.3077,90.0,0.14527489202921381,False
9,S_Sup_Frontal-2-R,20.15,34.4615,84.5,0.09679185779712171,False
10,S_Sup_Frontal-3-L,28.45,53.0,54.0,0.005353315450667832,True
11,S_Sup_Frontal-3-R,26.4,46.6154,63.0,0.01424867026949709,False
12,S_Sup_Frontal-4-L,30.6,56.6154,55.0,0.00601981310708228,True
13,S_Sup_Frontal-4-R,21.95,31.5385,100.5,0.28470391052075206,False
14,S_Sup_Frontal-5-L,17.45,34.0,78.0,0.0574751862781539,False
15,S_Sup_Frontal-5-R,27.3,43.6154,75.5,0.04652887062098069,False
16,S_Sup_Frontal-6-L,28.55,30.0,133.0,0.9265559331236082,False
17,S_Sup_Frontal-6-R,34.8,23.3846,173.5,0.11297861075893718,False
18,G_Frontal_Mid-1-L,13.8,27.1538,92.5,0.1723101612628376,False
19,G_Frontal_Mid-1-R,20.9,41.1538,59.5,0.009845064574645073,False
20,G_Frontal_Mid-2-L,32.4,44.3077,87.0,0.11713584262387883,False
21,G_Frontal_Mid-2-R,28.75,44.0,85.5,0.10484506936115678,False
22,G_Frontal_Mid-3-L,12.2,10.6923,148.5,0.5040212425680065,False
23,G_Frontal_Mid-3-R,22.35,31.2308,89.5,0.14021652014190703,False
24,G_Frontal_Mid-4-L,23.25,34.1538,104.0,0.34690064034309,False
25,G_Frontal_Mid-4-R,21.4,33.0769,106.5,0.39645213734354734,False
26,G_Frontal_Mid-5-L,14.6,26.0769,74.0,0.04033314200491712,False
27,G_Frontal_Mid-5-R,25.4,35.0769,102.5,0.31935621610374076,False
28,S_Inf_Frontal-1-L,15.4,36.8462,65.5,0.018227472577534508,False
29,S_Inf_Frontal-1-R,10.35,32.0,47.5,0.0024718920320561644,True
30,S_Inf_Frontal-2-L,20.0,43.2308,48.0,0.0026533440579703444,True
31,S_Inf_Frontal-2-R,22.05,51.9231,53.5,0.005089720218243514,True
32,G_Frontal_Inf_Tri-1-L,16.1,35.1538,70.0,0.02824569955784094,False
33,G_Frontal_Inf_Tri-1-R,16.35,39.0,62.0,0.012763946895208223,False
34,G_Frontal_Sup_Orb-1-L,1.95,7.5385,91.5,0.12466321251861973,False
35,G_Frontal_Sup_Orb-1-R,2.9,15.2308,56.5,0.006064805723026879,True
36,G_Frontal_Mid_Orb-1-L,5.95,13.3846,76.0,0.04307036808241194,False
37,G_Frontal_Mid_Orb-1-R,7.95,23.2308,91.0,0.15369076200498916,False
38,G_Frontal_Mid_Orb-2-L,13.4,31.1538,82.5,0.08294765703668582,False
39,G_Frontal_Mid_Orb-2-R,14.1,28.8462,68.5,0.02441830998237354,False
40,G_Frontal_Inf_Orb-1-L,11.2,16.6154,100.5,0.2783328853072682,False
41,G_Frontal_Inf_Orb-1-R,11.05,21.7692,97.0,0.2274154507367635,False
42,G_Frontal_Inf_Orb-2-L,5.3,12.6154,90.0,0.13516744892578686,False
43,G_Frontal_Inf_Orb-2-R,4.2,23.3077,65.5,0.01221809007766333,False
44,S_Orbital-1-L,3.2,9.9231,70.0,0.022205284067238235,False
