region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,7Networks_LH_Vis_1,22.55,9.8571,205.0,0.02375888126929069,False
1,7Networks_LH_Vis_2,2.35,2.3571,165.0,0.2691727021626886,False
2,7Networks_LH_Vis_3,38.95,26.7857,166.5,0.3627023921522039,False
3,7Networks_LH_Vis_4,46.85,46.4286,140.0,1.0,False
4,7Networks_LH_Vis_5,7.0,14.9286,117.5,0.4158791369098612,False
5,7Networks_LH_Vis_6,27.95,19.2857,200.0,0.03697371792997059,False
6,7Networks_LH_Vis_7,45.45,27.7857,194.0,0.06109248281199593,False
7,7Networks_LH_Vis_8,41.75,37.2857,159.0,0.5168507377110905,False
8,7Networks_LH_Vis_9,52.7,44.2857,173.5,0.2480443683675463,False
9,7Networks_LH_SomMot_1,59.7,47.5714,171.0,0.28584646680556647,False
10,7Networks_LH_SomMot_2,65.2,52.5,172.5,0.2626308006569755,False
11,7Networks_LH_SomMot_3,76.1,62.0714,179.5,0.17227685190407827,False
12,7Networks_LH_SomMot_4,58.55,51.7857,165.0,0.39090510568933046,False
13,7Networks_LH_SomMot_5,48.75,54.0,111.0,0.3183637440942816,False
14,7Networks_LH_SomMot_6,47.05,50.5,134.5,0.861066242389041,False
15,7Networks_LH_DorsAttn_Post_1,81.85,71.0714,159.5,0.5060740896763054,False
16,7Networks_LH_DorsAttn_Post_2,45.75,48.7143,134.5,0.8610767534255017,False
17,7Networks_LH_DorsAttn_Post_3,45.6,61.1429,96.0,0.12770103156697554,False
18,7Networks_LH_DorsAttn_Post_4,53.4,42.6429,182.5,0.14155341519897918,False
19,7Networks_LH_DorsAttn_Post_5,73.45,57.1429,184.5,0.12352380099322381,False
20,7Networks_LH_DorsAttn_Post_6,49.75,44.8571,155.5,0.59943600293542,False
21,7Networks_LH_DorsAttn_PrCv_1,71.95,49.2143,206.0,0.021863942816147442,False
22,7Networks_LH_DorsAttn_FEF_1,33.7,42.4286,107.5,0.2626308006569755,False
23,7Networks_LH_SalVentAttn_ParOper_1,59.65,56.0714,147.0,0.8199906930826677,False
24,7Networks_LH_SalVentAttn_FrOperIns_1,54.9,60.7143,125.5,0.6240471075758138,False
25,7Networks_LH_SalVentAttn_FrOperIns_2,64.05,60.7143,145.5,0.8610767534255017,False
26,7Networks_LH_SalVentAttn_PFCl_1,58.65,54.2857,148.0,0.7929781290670319,False
27,7Networks_LH_SalVentAttn_Med_1,80.0,66.7857,174.0,0.24095055883946082,False
28,7Networks_LH_SalVentAttn_Med_2,68.35,56.7143,175.5,0.22056555329028105,False
29,7Networks_LH_SalVentAttn_Med_3,61.05,42.1429,200.5,0.03569673938799501,False
30,7Networks_LH_Limbic_OFC_1,70.35,88.5714,74.0,0.021874040067708024,False
31,7Networks_LH_Limbic_TempPole_1,74.65,86.2143,100.0,0.16667964150771009,False
32,7Networks_LH_Limbic_TempPole_2,73.85,56.5,177.0,0.20141633988989316,False
33,7Networks_LH_Cont_Par_1,79.8,76.1429,150.0,0.7394489036824236,False
34,7Networks_LH_Cont_PFCl_1,34.85,34.5,125.5,0.6240205868030113,False
35,7Networks_LH_Cont_pCun_1,41.75,48.2857,126.5,0.6489271213802873,False
36,7Networks_LH_Cont_Cing_1,23.3,4.7143,242.0,0.00034463649640317773,True
37,7Networks_LH_Default_Temp_1,32.95,28.3571,171.5,0.2776911303454169,False
38,7Networks_LH_Default_Temp_2,58.5,31.3571,206.0,0.021793310852162018,False
39,7Networks_LH_Default_Par_1,59.35,44.4286,192.0,0.07143918634097796,False
