region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
0,HIP-rh,2.8,5.0,122.5,0.518766354900122,False
1,AMY-rh,1.9,2.9286,123.0,0.5161292443538898,False
2,pTHA-rh,2.0,3.4286,148.0,0.75723695890429,False
3,aTHA-rh,9.1,7.8571,179.0,0.17521563481773716,False
4,NAc-rh,1.9,1.4286,148.0,0.7506490359160755,False
5,GP-rh,1.05,1.2143,117.0,0.15846229515900967,False
6,PUT-rh,3.9,4.6429,146.0,0.8441498018618305,False
7,CAU-rh,4.15,4.2143,153.5,0.633199088628887,False
8,HIP-lh,3.3,6.1429,120.5,0.48096283747075674,False
9,AMY-lh,1.7,2.7143,105.5,0.1727574490197511,False
10,pTHA-lh,2.35,5.6429,111.0,0.28134859898588593,False
11,aTHA-lh,10.1,7.8571,170.5,0.29148455046946387,False
12,NAc-lh,1.25,1.5714,118.0,0.3290621464574496,False
13,GP-lh,1.0,1.0,140.0,1.0,False
14,PUT-lh,4.0,2.6429,178.0,0.17343214566561538,False
15,CAU-lh,5.75,1.7857,201.0,0.02820955372396384,False
16,7Networks_LH_Vis_1,10.25,8.7857,162.5,0.4377313453219145,False
17,7Networks_LH_Vis_2,27.7,18.9286,193.0,0.06604759584649979,False
18,7Networks_LH_Vis_3,22.45,18.4286,180.0,0.16638764948172835,False
19,7Networks_LH_Vis_4,18.05,9.2143,217.0,0.007361881996168359,True
20,7Networks_LH_Vis_5,7.25,11.6429,111.5,0.32462318926547273,False
21,7Networks_LH_Vis_6,5.45,4.8571,121.5,0.5187087037036864,False
22,7Networks_LH_Vis_7,17.55,15.0714,161.0,0.4727177958390051,False
23,7Networks_LH_Vis_8,15.05,10.8571,176.5,0.20710353206399823,False
24,7Networks_LH_Vis_9,5.5,6.2143,127.0,0.6518714871894091,False
25,7Networks_LH_Vis_10,20.15,10.2143,214.5,0.009486028804394942,True
26,7Networks_LH_Vis_11,10.05,8.3571,150.5,0.7256278235682663,False
27,7Networks_LH_Vis_12,11.85,7.7143,197.0,0.047332817921696524,False
28,7Networks_LH_Vis_13,19.35,14.2143,184.5,0.12315070478654275,False
29,7Networks_LH_Vis_14,17.75,12.8571,187.0,0.10320129122225802,False
30,7Networks_LH_SomMot_1,16.15,11.8571,171.5,0.2768811986335269,False
31,7Networks_LH_SomMot_2,20.45,8.7857,231.0,0.0015079498563829194,True
32,7Networks_LH_SomMot_3,9.9,9.7857,159.5,0.5027586040596592,False
33,7Networks_LH_SomMot_4,18.6,11.9286,192.0,0.07135257461594918,False
34,7Networks_LH_SomMot_5,16.55,8.0,214.0,0.009946570335623343,True
35,7Networks_LH_SomMot_6,8.25,12.6429,121.0,0.515852350844892,False
36,7Networks_LH_SomMot_7,20.3,10.5714,197.5,0.045855480137542044,False
37,7Networks_LH_SomMot_8,18.6,4.3571,251.0,9.408018701739031e-05,True
38,7Networks_LH_SomMot_9,14.1,9.7143,181.5,0.15065303088176424,False
39,7Networks_LH_SomMot_10,20.05,11.2143,195.5,0.0538931832043873,False
40,7Networks_LH_SomMot_11,12.8,11.2857,158.5,0.5257608271641608,False
41,7Networks_LH_SomMot_12,26.1,13.0,222.0,0.004292372392567272,True
42,7Networks_LH_SomMot_13,27.15,15.0714,208.5,0.017224930642375347,False
43,7Networks_LH_SomMot_14,13.65,12.6429,142.0,0.9580621161003895,False
44,7Networks_LH_SomMot_15,26.45,18.2857,197.0,0.047741655088800204,False
45,7Networks_LH_SomMot_16,17.85,8.9286,208.5,0.01706321736356409,False
46,7Networks_LH_DorsAttn_Post_1,20.7,12.4286,197.5,0.04582225233489443,False
