Cost,Metric,Group_A,Group_B,N_A,N_B,T_stat,P_value
0.05,d,Controls,Coma,20,14,5.83405498755336,1.75575984330198E-06
0.05,d,Controls,Anoxic,20,5,3.19500804805698,0.00402640537742023
0.05,d,Controls,Traumatic,20,9,5.63765640953927,5.52467055444299E-06
0.05,d,Controls,Favorable,20,8,5.52807329655765,8.38791148303581E-06
0.05,d,Controls,Unfavorable,20,6,3.64388699137148,0.00128876427655951
0.05,d,Favorable,Unfavorable,8,6,-0.744350148972729,0.470990403611336
0.05,d,Anoxic,Traumatic,5,9,1.45476755964657,0.171387755071899
0.1,d,Controls,Coma,20,14,5.91672020347395,1.38150606763411E-06
0.1,d,Controls,Anoxic,20,5,3.60284418922709,0.00149956257209815
0.1,d,Controls,Traumatic,20,9,5.26754294853321,1.48516526599813E-05
0.1,d,Controls,Favorable,20,8,5.07840717050801,2.73275583643145E-05
0.1,d,Controls,Unfavorable,20,6,3.99211306845351,0.000537512914713911
0.1,d,Favorable,Unfavorable,8,6,-0.342986457563263,0.73754225286618
0.1,d,Anoxic,Traumatic,5,9,0.685011022813994,0.506353504556241
0.15,d,Controls,Coma,20,14,6.14150816769205,7.21063247813335E-07
0.15,d,Controls,Anoxic,20,5,4.22979548104533,0.000317560428160568
0.15,d,Controls,Traumatic,20,9,5.03173017091135,2.79666919635707E-05
0.15,d,Controls,Favorable,20,8,5.13576669919181,2.34939566056224E-05
0.15,d,Controls,Unfavorable,20,6,4.21882147618796,0.000302694990616529
0.15,d,Favorable,Unfavorable,8,6,-0.244383076492891,0.811062710946026
0.15,d,Anoxic,Traumatic,5,9,0.0310148700125132,0.975767557538013
0.2,d,Controls,Coma,20,14,6.40312111894717,3.39623234008347E-07
0.2,d,Controls,Anoxic,20,5,4.85166563679938,6.74088814317826E-05
0.2,d,Controls,Traumatic,20,9,5.10489206627703,2.29771551303929E-05
0.2,d,Controls,Favorable,20,8,5.28240405656084,1.59727923460528E-05
0.2,d,Controls,Unfavorable,20,6,4.67722922533072,9.4354031679334E-05
0.2,d,Favorable,Unfavorable,8,6,0.203187069433302,0.842393426600968
0.2,d,Anoxic,Traumatic,5,9,-0.462286216195435,0.652145631472736
0.25,d,Controls,Coma,20,14,6.27176911599203,4.95357005408341E-07
0.25,d,Controls,Anoxic,20,5,4.90024744316725,5.97434594164384E-05
0.25,d,Controls,Traumatic,20,9,5.09613709314037,2.35237505990226E-05
0.25,d,Controls,Favorable,20,8,5.16061499362113,2.20056319610281E-05
0.25,d,Controls,Unfavorable,20,6,4.83414074869257,6.33192049291864E-05
0.25,d,Favorable,Unfavorable,8,6,0.291367496696064,0.775745431091839
0.25,d,Anoxic,Traumatic,5,9,-0.438649199484976,0.668709073409947
0.3,d,Controls,Coma,20,14,6.36081112633123,3.83477771504897E-07
0.3,d,Controls,Anoxic,20,5,5.17231943637788,3.04532730969058E-05
0.3,d,Controls,Traumatic,20,9,5.22211242926272,1.67754691907267E-05
0.3,d,Controls,Favorable,20,8,5.14846527232074,2.27211285981296E-05
0.3,d,Controls,Unfavorable,20,6,5.14531693051308,2.87768551325249E-05
0.3,d,Favorable,Unfavorable,8,6,0.295837574218453,0.772411079951401
0.3,d,Anoxic,Traumatic,5,9,-0.740415317699265,0.473286911292934
0.35,d,Controls,Coma,20,14,6.4518340444883,2.95354815734038E-07
0.35,d,Controls,Anoxic,20,5,5.44247260099427,1.56705752919995E-05
0.35,d,Controls,Traumatic,20,9,5.33865401342351,1.22755055300672E-05
0.35,d,Controls,Favorable,20,8,5.08916651193835,2.65634138906867E-05
0.35,d,Controls,Unfavorable,20,6,5.58326216388188,9.57274739954662E-06
0.35,d,Favorable,Unfavorable,8,6,0.553042331023111,0.590388842718745
0.35,d,Anoxic,Traumatic,5,9,-0.919888546650609,0.375752620629751
0.4,d,Controls,Coma,20,14,6.17496606031187,6.54708606418248E-07
0.4,d,Controls,Anoxic,20,5,5.42205713397544,1.64742984322965E-05
0.4,d,Controls,Traumatic,20,9,5.24223807399983,1.58941116533491E-05
0.4,d,Controls,Favorable,20,8,4.78725960250411,5.89271469947289E-05
0.4,d,Controls,Unfavorable,20,6,5.69290083366891,7.28363704415074E-06
0.4,d,Favorable,Unfavorable,8,6,0.58655449845005,0.568373229032171
0.4,d,Anoxic,Traumatic,5,9,-1.17239987206164,0.263786029026314
0.45,d,Controls,Coma,20,14,6.38343443464011,3.59361362229118E-07
0.45,d,Controls,Anoxic,20,5,5.80657601536117,6.46146863499026E-06
0.45,d,Controls,Traumatic,20,9,5.38471271500451,1.08517633763815E-05
0.45,d,Controls,Favorable,20,8,4.81372432388009,5.4949145661637E-05
0.45,d,Controls,Unfavorable,20,6,6.21230266197439,2.02628834254977E-06
0.45,d,Favorable,Unfavorable,8,6,0.844620933910104,0.414844687087551
0.45,d,Anoxic,Traumatic,5,9,-1.36078974923319,0.19859001634825
0.5,d,Controls,Coma,20,14,6.03130778685109,9.91431386357183E-07
0.5,d,Controls,Anoxic,20,5,5.80321558827193,6.51414875260651E-06
0.5,d,Controls,Traumatic,20,9,5.00505604782116,3.0044671106099E-05
0.5,d,Controls,Favorable,20,8,4.32926073849757,0.000197262856776359
0.5,d,Controls,Unfavorable,20,6,6.39103696476897,1.31316087209726E-06
0.5,d,Favorable,Unfavorable,8,6,1.09547826048737,0.294806794330157
0.5,d,Anoxic,Traumatic,5,9,-1.59055767787396,0.137694187970779
