Cost,Metric,Group_A,Group_B,N_A,N_B,T_stat,P_value
0.05,d,Controls,Coma,20,14,3.88514126553212,0.00048308252926114
0.05,d,Controls,Anoxic,20,5,6.43319482256091,1.45174051452237E-06
0.05,d,Controls,Traumatic,20,9,2.15209933747886,0.0404906524199863
0.05,d,Controls,Favorable,20,8,2.83640355281529,0.00872172253148759
0.05,d,Controls,Unfavorable,20,6,4.07473216298656,0.000436161454386681
0.05,d,Favorable,Unfavorable,8,6,1.35745752803689,0.199616751677698
0.05,d,Anoxic,Traumatic,5,9,-4.74123701607859,0.000479242260317342
0.1,d,Controls,Coma,20,14,3.93347514743148,0.000422059717754618
0.1,d,Controls,Anoxic,20,5,5.95169657288776,4.55526378644221E-06
0.1,d,Controls,Traumatic,20,9,2.27096424648655,0.0313380638585891
0.1,d,Controls,Favorable,20,8,2.88889582293088,0.00769422609904832
0.1,d,Controls,Unfavorable,20,6,3.96415411082275,0.00057683563017386
0.1,d,Favorable,Unfavorable,8,6,1.02915538222775,0.323704611285875
0.1,d,Anoxic,Traumatic,5,9,-3.5333008025826,0.00412130656775583
0.15,d,Controls,Coma,20,14,4.23091268360233,0.000182292506374259
0.15,d,Controls,Anoxic,20,5,5.48853157129307,1.40001496320596E-05
0.15,d,Controls,Traumatic,20,9,2.72693160033795,0.0110935578627048
0.15,d,Controls,Favorable,20,8,3.15935589523706,0.00398384321218581
0.15,d,Controls,Unfavorable,20,6,4.0999765542501,0.000409152869312201
0.15,d,Favorable,Unfavorable,8,6,1.0178672630877,0.328824481999561
0.15,d,Anoxic,Traumatic,5,9,-2.71375511496894,0.0188241255485106
0.2,d,Controls,Coma,20,14,4.19286787725602,0.000203107150705581
0.2,d,Controls,Anoxic,20,5,5.06432708451999,3.97725332083898E-05
0.2,d,Controls,Traumatic,20,9,2.82945864397799,0.00868980551243816
0.2,d,Controls,Favorable,20,8,3.16457285666611,0.00393284387503198
0.2,d,Controls,Unfavorable,20,6,4.04439776845938,0.000470961570206001
0.2,d,Favorable,Unfavorable,8,6,1.07521710728465,0.303421292912376
0.2,d,Anoxic,Traumatic,5,9,-2.1788699620912,0.0499948853750043
0.25,d,Controls,Coma,20,14,4.40187258810973,0.000111888827454799
0.25,d,Controls,Anoxic,20,5,5.02941134481172,4.33645861738382E-05
0.25,d,Controls,Traumatic,20,9,3.09268312101291,0.00457233353956392
0.25,d,Controls,Favorable,20,8,3.42596729764328,0.00204617318590684
0.25,d,Controls,Unfavorable,20,6,4.1153493520037,0.000393525173342306
0.25,d,Favorable,Unfavorable,8,6,1.08266202361657,0.300234190657238
0.25,d,Anoxic,Traumatic,5,9,-2.00207741667034,0.0684052145730203
0.3,d,Controls,Coma,20,14,4.40218498417408,0.000111788729760482
0.3,d,Controls,Anoxic,20,5,4.71522317230564,9.46595974450495E-05
0.3,d,Controls,Traumatic,20,9,3.21359212168497,0.00338230664914095
0.3,d,Controls,Favorable,20,8,3.37763913899906,0.00231141188566589
0.3,d,Controls,Unfavorable,20,6,4.1731652906319,0.000339873954418326
0.3,d,Favorable,Unfavorable,8,6,1.25629119709911,0.232917496236338
0.3,d,Anoxic,Traumatic,5,9,-1.80176204907774,0.0967418681775865
0.35,d,Controls,Coma,20,14,4.18450104784226,0.000207989000408824
0.35,d,Controls,Anoxic,20,5,4.1527024598937,0.000384796660914323
0.35,d,Controls,Traumatic,20,9,3.17578789849039,0.00371812502813302
0.35,d,Controls,Favorable,20,8,3.11486637685236,0.00444531276737237
0.35,d,Controls,Unfavorable,20,6,4.04185206064795,0.000474004175547872
0.35,d,Favorable,Unfavorable,8,6,1.35695318597799,0.199772531837036
0.35,d,Anoxic,Traumatic,5,9,-1.46230804695847,0.169347942510613
0.4,d,Controls,Coma,20,14,4.12714913219335,0.00024469852707814
0.4,d,Controls,Anoxic,20,5,3.98127550867306,0.000589311020632724
0.4,d,Controls,Traumatic,20,9,3.14539731996094,0.0040110579351763
0.4,d,Controls,Favorable,20,8,3.00518390250175,0.0058118262984849
0.4,d,Controls,Unfavorable,20,6,3.98960212778614,0.000540933254116839
0.4,d,Favorable,Unfavorable,8,6,1.4026970009974,0.18604606405869
0.4,d,Anoxic,Traumatic,5,9,-1.41696705488373,0.18192818025478
0.45,d,Controls,Coma,20,14,3.98299974398369,0.000367361248864135
0.45,d,Controls,Anoxic,20,5,3.78528852774942,0.000957354022826628
0.45,d,Controls,Traumatic,20,9,3.03607256898804,0.00525844238514231
0.45,d,Controls,Favorable,20,8,2.86298215580753,0.00818623833493028
0.45,d,Controls,Unfavorable,20,6,3.84922376310172,0.000770589909168962
0.45,d,Favorable,Unfavorable,8,6,1.4099532759703,0.183942512572533
0.45,d,Anoxic,Traumatic,5,9,-1.36529957648723,0.19720737469888
0.5,d,Controls,Coma,20,14,3.87311476611594,0.000499556821058466
0.5,d,Controls,Anoxic,20,5,3.70256202887171,0.00117387412543799
0.5,d,Controls,Traumatic,20,9,2.92834031537699,0.00684399497329636
0.5,d,Controls,Favorable,20,8,2.70601910138873,0.0118626516593734
0.5,d,Controls,Unfavorable,20,6,3.821735678955,0.000825717335116197
0.5,d,Favorable,Unfavorable,8,6,1.51913779058924,0.154627080312398
0.5,d,Anoxic,Traumatic,5,9,-1.41768258174969,0.18172372481025
