Cost,Metric,Group_A,Group_B,N_A,N_B,T_stat,P_value
0.03,d,Controls,Coma,20,14,3.9776935129295,0.000372872937557269
0.03,d,Controls,Anoxic,20,5,3.33367899166902,0.00288617564220233
0.03,d,Controls,Traumatic,20,9,3.35017062958118,0.00239578853478762
0.03,d,Controls,Favorable,20,8,3.7136195354124,0.00098212545921563
0.03,d,Controls,Unfavorable,20,6,2.89386928167613,0.00797421817149677
0.03,d,Favorable,Unfavorable,8,6,-0.374321017751874,0.714696188636548
0.03,d,Anoxic,Traumatic,5,9,-0.131544686625847,0.897524191109161
0.05,d,Controls,Coma,20,14,3.98044573055003,0.000370004131995079
0.05,d,Controls,Anoxic,20,5,3.56110777785566,0.00166085112772792
0.05,d,Controls,Traumatic,20,9,3.25417684220809,0.0030542765653487
0.05,d,Controls,Favorable,20,8,3.67099687662185,0.00109587703458733
0.05,d,Controls,Unfavorable,20,6,2.98192161031372,0.00647784238937612
0.05,d,Favorable,Unfavorable,8,6,-0.301261218234594,0.768371807051496
0.05,d,Anoxic,Traumatic,5,9,-0.320848119996036,0.753844263963462
0.1,d,Controls,Coma,20,14,4.19681409556362,0.000200843882582036
0.1,d,Controls,Anoxic,20,5,4.17876307744387,0.00036061636468049
0.1,d,Controls,Traumatic,20,9,3.31338528400426,0.00263008088309283
0.1,d,Controls,Favorable,20,8,3.74790243557041,0.000899092460499081
0.1,d,Controls,Unfavorable,20,6,3.42453236214945,0.00221952553720322
0.1,d,Favorable,Unfavorable,8,6,-0.112294500248976,0.912446495247033
0.1,d,Anoxic,Traumatic,5,9,-0.562223201140543,0.584313547120366
0.15,d,Controls,Coma,20,14,4.57643484019772,6.77528595419592E-05
0.15,d,Controls,Anoxic,20,5,4.69267166116661,0.000100128958198197
0.15,d,Controls,Traumatic,20,9,3.5589484407924,0.00140329332941935
0.15,d,Controls,Favorable,20,8,3.82814026031327,0.000730727229091721
0.15,d,Controls,Unfavorable,20,6,4.07202685766403,0.000439158637078331
0.15,d,Favorable,Unfavorable,8,6,0.145876454352499,0.886440717545709
