Cost,Metric,Group_A,Group_B,N_A,N_B,T_stat,P_value
0.03,d,Controls,Coma,20,14,4.04937706091731,0.000304800635881304
0.03,d,Controls,Anoxic,20,5,5.88270863553764,5.37735847606288E-06
0.03,d,Controls,Traumatic,20,9,2.38223581105945,0.0245132597800482
0.03,d,Controls,Favorable,20,8,2.81993670589981,0.00906991856556245
0.03,d,Controls,Unfavorable,20,6,4.25167370841481,0.00027847148615135
0.03,d,Favorable,Unfavorable,8,6,1.47457772993834,0.166072733741577
0.03,d,Anoxic,Traumatic,5,9,-3.63688234044614,0.00340746763260866
0.05,d,Controls,Coma,20,14,4.0149040055965,0.000335863655066727
0.05,d,Controls,Anoxic,20,5,5.67672798721275,8.84992686511351E-06
0.05,d,Controls,Traumatic,20,9,2.36499022196425,0.0254733636396729
0.05,d,Controls,Favorable,20,8,2.82908247504523,0.00887493982668831
0.05,d,Controls,Unfavorable,20,6,4.10707311714405,0.000401863598047029
0.05,d,Favorable,Unfavorable,8,6,1.43395426184298,0.17712594308563
0.05,d,Anoxic,Traumatic,5,9,-3.52553600553005,0.00418061517950065
0.1,d,Controls,Coma,20,14,4.19416388552706,0.000202361102427068
0.1,d,Controls,Anoxic,20,5,5.46743556009518,1.47415937904529E-05
0.1,d,Controls,Traumatic,20,9,2.63012063916,0.0139239195934654
0.1,d,Controls,Favorable,20,8,2.91753987846937,0.00718303071890154
0.1,d,Controls,Unfavorable,20,6,4.32472367911927,0.000231301213366383
0.1,d,Favorable,Unfavorable,8,6,1.63710764497535,0.127545647083774
0.1,d,Anoxic,Traumatic,5,9,-3.13537851370743,0.0086054611202811
0.15,d,Controls,Coma,20,14,4.32415625774228,0.000139745966754029
0.15,d,Controls,Anoxic,20,5,5.32543385402473,2.08836719988683E-05
0.15,d,Controls,Traumatic,20,9,2.8180117351264,0.0089315562403508
0.15,d,Controls,Favorable,20,8,2.97318309539171,0.00628074929624281
0.15,d,Controls,Unfavorable,20,6,4.4957968128295,0.000149701163542885
0.15,d,Favorable,Unfavorable,8,6,1.79909988771781,0.0971815370025184
0.15,d,Anoxic,Traumatic,5,9,-2.84937130900109,0.0146398490220676
0.2,d,Controls,Coma,20,14,4.42622779384239,0.000104344367981265
0.2,d,Controls,Anoxic,20,5,5.2471813468158,2.5318957667744E-05
0.2,d,Controls,Traumatic,20,9,2.95009173633767,0.00649114776960726
0.2,d,Controls,Favorable,20,8,3.01299947190136,0.00570247893114947
0.2,d,Controls,Unfavorable,20,6,4.63376021128983,0.000105385659128649
0.2,d,Favorable,Unfavorable,8,6,1.89392169957289,0.082587922841051
0.2,d,Anoxic,Traumatic,5,9,-2.61055655590783,0.0227782297214073
0.25,d,Controls,Coma,20,14,4.51324581175992,8.12707373759258E-05
0.25,d,Controls,Anoxic,20,5,5.20223483612047,2.82859410452069E-05
0.25,d,Controls,Traumatic,20,9,3.05568268264985,0.00501034215379329
0.25,d,Controls,Favorable,20,8,3.03530173471808,0.00540113638229946
0.25,d,Controls,Unfavorable,20,6,4.77066729701542,7.44012228635918E-05
0.25,d,Favorable,Unfavorable,8,6,1.97021282483449,0.0723308557365462
0.25,d,Anoxic,Traumatic,5,9,-2.4323436140087,0.0315969253248723
0.3,d,Controls,Coma,20,14,4.58109114767301,6.68497520131518E-05
0.3,d,Controls,Anoxic,20,5,5.20696287573847,2.79579590377226E-05
0.3,d,Controls,Traumatic,20,9,3.1272311175461,0.00419658908767531
0.3,d,Controls,Favorable,20,8,3.04483479484604,0.00527702084681546
0.3,d,Controls,Unfavorable,20,6,4.9057936825565,5.27867430810793E-05
0.3,d,Favorable,Unfavorable,8,6,2.05812777103841,0.061975588011445
0.3,d,Anoxic,Traumatic,5,9,-2.32688360732157,0.0382862699898045
0.35,d,Controls,Coma,20,14,4.67582504005804,5.0859019731194E-05
0.35,d,Controls,Anoxic,20,5,5.20169815629962,2.83234152761136E-05
0.35,d,Controls,Traumatic,20,9,3.22947161185481,0.00325011449478525
0.35,d,Controls,Favorable,20,8,3.08717350764862,0.00475797995533092
0.35,d,Controls,Unfavorable,20,6,5.03267324851782,3.82661869015866E-05
0.35,d,Favorable,Unfavorable,8,6,2.10141996759808,0.0574000146767335
0.35,d,Anoxic,Traumatic,5,9,-2.21244598812693,0.0470731577938104
0.4,d,Controls,Coma,20,14,4.71201832077748,4.58068174601496E-05
0.4,d,Controls,Anoxic,20,5,5.15156556608536,3.20547786157537E-05
0.4,d,Controls,Traumatic,20,9,3.27135443982843,0.00292485726440827
0.4,d,Controls,Favorable,20,8,3.06062675650881,0.00507739186011509
0.4,d,Controls,Unfavorable,20,6,5.13434165775586,2.95862939306994E-05
0.4,d,Favorable,Unfavorable,8,6,2.18920097204147,0.0490781126784504
0.4,d,Anoxic,Traumatic,5,9,-2.10919999862404,0.0566120255397906
0.45,d,Controls,Coma,20,14,4.74612398411379,4.15028714115965E-05
0.45,d,Controls,Anoxic,20,5,5.05413128495373,4.07892575984939E-05
0.45,d,Controls,Traumatic,20,9,3.31609041718873,0.00261212387707158
0.45,d,Controls,Favorable,20,8,3.05337555842505,0.00516814250191167
0.45,d,Controls,Unfavorable,20,6,5.16173630382907,2.76074016041819E-05
0.45,d,Favorable,Unfavorable,8,6,2.22518110331576,0.0460078720258338
0.45,d,Anoxic,Traumatic,5,9,-2.00838476456926,0.0676519368570632
0.5,d,Controls,Coma,20,14,4.77240994397574,3.84617845249977E-05
0.5,d,Controls,Anoxic,20,5,4.98066572043222,4.89338137843412E-05
0.5,d,Controls,Traumatic,20,9,3.33600956725469,0.00248349326799833
0.5,d,Controls,Favorable,20,8,3.04601567805771,0.00526183735485924
0.5,d,Controls,Unfavorable,20,6,5.15380434401479,2.81662398035498E-05
0.5,d,Favorable,Unfavorable,8,6,2.23475881365173,0.0452218138247459
