Cost,Metric,Group_A,Group_B,N_A,N_B,T_stat,P_value
0.05,d,Controls,Coma,20,14,4.71266312978723,4.57214776779245E-05
0.05,d,Controls,Anoxic,20,5,5.95834950478697,4.48307625214422E-06
0.05,d,Controls,Traumatic,20,9,3.04164855576643,0.00518672967743159
0.05,d,Controls,Favorable,20,8,3.33130649982171,0.00259678598301078
0.05,d,Controls,Unfavorable,20,6,4.57304467817845,0.000122989235381867
0.05,d,Favorable,Unfavorable,8,6,1.1757557453925,0.262492587266714
0.05,d,Anoxic,Traumatic,5,9,-3.87432836111466,0.00221047535796202
0.1,d,Controls,Coma,20,14,4.88995263443104,2.73551894284865E-05
0.1,d,Controls,Anoxic,20,5,6.11966740427243,3.04781166785673E-06
0.1,d,Controls,Traumatic,20,9,3.12022351701356,0.0042703310094168
0.1,d,Controls,Favorable,20,8,3.40621875639235,0.00215078673027332
0.1,d,Controls,Unfavorable,20,6,4.69728576390959,8.96617444434156E-05
0.1,d,Favorable,Unfavorable,8,6,1.42555696619879,0.179486371461017
0.1,d,Anoxic,Traumatic,5,9,-4.6854211650196,0.000527334949854011
0.15,d,Controls,Coma,20,14,4.87860973259775,2.82705400232185E-05
0.15,d,Controls,Anoxic,20,5,5.78580574356051,6.79415259648428E-06
0.15,d,Controls,Traumatic,20,9,3.10893322079615,0.00439175539777793
0.15,d,Controls,Favorable,20,8,3.31587589373208,0.002699177416277
0.15,d,Controls,Unfavorable,20,6,4.68214325743451,9.31820961757725E-05
0.15,d,Favorable,Unfavorable,8,6,1.71801737269114,0.111462823487434
0.15,d,Anoxic,Traumatic,5,9,-4.47921456924796,0.000753451567202392
0.2,d,Controls,Coma,20,14,4.80970951647514,3.45225628546678E-05
0.2,d,Controls,Anoxic,20,5,5.17469873022169,3.02749140854496E-05
0.2,d,Controls,Traumatic,20,9,3.16181608445273,0.00385015611419879
0.2,d,Controls,Favorable,20,8,3.25077365945541,0.00317575080791352
0.2,d,Controls,Unfavorable,20,6,4.54231265036307,0.000132992120724043
0.2,d,Favorable,Unfavorable,8,6,1.92606929377505,0.07811315369173
0.2,d,Anoxic,Traumatic,5,9,-3.37375256433354,0.00553168894893305
0.25,d,Controls,Coma,20,14,4.95040706876089,2.2951608537348E-05
0.25,d,Controls,Anoxic,20,5,4.90411354404029,5.91725359318691E-05
0.25,d,Controls,Traumatic,20,9,3.3854561040787,0.00219007408445589
0.25,d,Controls,Favorable,20,8,3.25740165527137,0.00312374572520968
0.25,d,Controls,Unfavorable,20,6,4.76738120713527,7.50252631470983E-05
0.25,d,Favorable,Unfavorable,8,6,2.36042629432465,0.0360233863416973
0.25,d,Anoxic,Traumatic,5,9,-2.70699058815313,0.0190612413156979
0.3,d,Controls,Coma,20,14,5.12177279232798,1.39455285505259E-05
0.3,d,Controls,Anoxic,20,5,4.7503029996712,8.6742046049068E-05
0.3,d,Controls,Traumatic,20,9,3.62996932310487,0.00116764307420174
0.3,d,Controls,Favorable,20,8,3.40476801313873,0.00215867293396534
0.3,d,Controls,Unfavorable,20,6,4.85918161564807,5.94176315333643E-05
0.3,d,Favorable,Unfavorable,8,6,2.37691185870478,0.0349588331126884
0.3,d,Anoxic,Traumatic,5,9,-2.20021418083706,0.0481183182547196
0.35,d,Controls,Coma,20,14,5.10288324213545,1.47334186138252E-05
0.35,d,Controls,Anoxic,20,5,4.54453423874966,0.000144853205092215
0.35,d,Controls,Traumatic,20,9,3.73936601093454,0.000878255013009743
0.35,d,Controls,Favorable,20,8,3.37706928933126,0.00231472988913383
0.35,d,Controls,Unfavorable,20,6,4.9352550996926,4.89846383978576E-05
0.35,d,Favorable,Unfavorable,8,6,2.42113392695419,0.0322506000444728
0.35,d,Anoxic,Traumatic,5,9,-1.75192997105533,0.105275848357961
0.4,d,Controls,Coma,20,14,5.23598510979527,1.00013584730828E-05
0.4,d,Controls,Anoxic,20,5,4.3512403987358,0.000234597003883854
0.4,d,Controls,Traumatic,20,9,4.00648050913058,0.000435045943244759
0.4,d,Controls,Favorable,20,8,3.4829268135481,0.00177135380626983
0.4,d,Controls,Unfavorable,20,6,5.06001079982815,3.57069040871842E-05
0.4,d,Favorable,Unfavorable,8,6,2.53078261832342,0.026381441958876
0.4,d,Anoxic,Traumatic,5,9,-1.34862971911624,0.202357962311022
0.45,d,Controls,Coma,20,14,5.16395528016202,1.23345263664667E-05
0.45,d,Controls,Anoxic,20,5,4.21222007964791,0.000331777599235984
0.45,d,Controls,Traumatic,20,9,4.06440690916394,0.000373159392659996
0.45,d,Controls,Favorable,20,8,3.43191780021267,0.00201563127128473
0.45,d,Controls,Unfavorable,20,6,5.12387550125854,3.03795646781842E-05
0.45,d,Favorable,Unfavorable,8,6,2.5500458777115,0.0254635587152936
0.45,d,Anoxic,Traumatic,5,9,-1.11476346767311,0.286780275125239
0.5,d,Controls,Coma,20,14,5.13119263111923,1.35684729967095E-05
0.5,d,Controls,Anoxic,20,5,4.04035672873897,0.000508877007474911
0.5,d,Controls,Traumatic,20,9,4.15922115218739,0.000290077710618533
0.5,d,Controls,Favorable,20,8,3.41371577106335,0.00211047620772804
0.5,d,Controls,Unfavorable,20,6,5.12118015487543,3.05873053657115E-05
0.5,d,Favorable,Unfavorable,8,6,2.55339745924189,0.0253070661570972
0.5,d,Anoxic,Traumatic,5,9,-0.942718882952481,0.364417685233395
