Cost,Metric,Group_A,Group_B,N_A,N_B,T_stat,P_value
0.03,d,Controls,Coma,20,14,5.76334925284376,2.15580512703021E-06
0.03,d,Controls,Anoxic,20,5,2.88109575519951,0.00843383000338896
0.03,d,Controls,Traumatic,20,9,7.84591656270475,1.95283124524815E-08
0.03,d,Controls,Favorable,20,8,7.29420174423861,9.55487361684511E-08
0.03,d,Controls,Unfavorable,20,6,3.38061004356511,0.0024725967739676
0.03,d,Favorable,Unfavorable,8,6,-1.27421863348122,0.226709953633476
0.03,d,Anoxic,Traumatic,5,9,1.16795212969321,0.265507943996194
0.05,d,Controls,Coma,20,14,6.23325254958386,5.53455446161344E-07
0.05,d,Controls,Anoxic,20,5,3.61584592901276,0.00145253174630642
0.05,d,Controls,Traumatic,20,9,7.72507129052324,2.62099984050743E-08
0.05,d,Controls,Favorable,20,8,7.06035645211075,1.69429968453232E-07
0.05,d,Controls,Unfavorable,20,6,4.28538616951957,0.000255617836320799
0.05,d,Favorable,Unfavorable,8,6,-0.415874759571899,0.684842318136813
0.05,d,Anoxic,Traumatic,5,9,0.690037393882487,0.503297919642507
0.1,d,Controls,Coma,20,14,6.39572533515139,3.46906738163716E-07
0.1,d,Controls,Anoxic,20,5,3.68124819784745,0.00123705664748935
0.1,d,Controls,Traumatic,20,9,8.15404155288609,9.30100342115556E-09
0.1,d,Controls,Favorable,20,8,7.15641641793108,1.33796933407651E-07
0.1,d,Controls,Unfavorable,20,6,4.5909346894593,0.000117516588479884
0.1,d,Favorable,Unfavorable,8,6,-0.15897801485383,0.876330463942269
0.1,d,Anoxic,Traumatic,5,9,0.710470818121548,0.490990063892593
0.15,d,Controls,Coma,20,14,6.88489017518685,8.60711898873432E-08
0.15,d,Controls,Anoxic,20,5,4.27874926996196,0.000281080670419889
0.15,d,Controls,Traumatic,20,9,8.33503768191033,6.0509655095971E-09
0.15,d,Controls,Favorable,20,8,7.55979620957705,5.02690393589166E-08
0.15,d,Controls,Unfavorable,20,6,5.07762322885293,3.41501001665233E-05
0.15,d,Favorable,Unfavorable,8,6,0.0673576413559827,0.94740627821491
0.15,d,Anoxic,Traumatic,5,9,0.3615457147069,0.723977375641582
0.2,d,Controls,Coma,20,14,7.11383598943013,4.51629965071185E-08
0.2,d,Controls,Anoxic,20,5,4.5797177198597,0.000132685800615133
0.2,d,Controls,Traumatic,20,9,8.19117150831602,8.51286965824619E-09
0.2,d,Controls,Favorable,20,8,7.54793371886482,5.17219673412388E-08
0.2,d,Controls,Unfavorable,20,6,5.4095526653891,1.47891478885084E-05
0.2,d,Favorable,Unfavorable,8,6,0.297140053434287,0.771440414380216
0.2,d,Anoxic,Traumatic,5,9,0.242385972850348,0.812574191650413
0.25,d,Controls,Coma,20,14,7.74776550318425,7.7959643932811E-09
0.25,d,Controls,Anoxic,20,5,4.99962125090612,4.66871459922963E-05
0.25,d,Controls,Traumatic,20,9,8.80043962369308,2.04349588827935E-09
