Cost,Mean_FO_Correlation,95%_CI_FO,Mean_UO_Correlation,95%_CI_UO,Difference_FO-UO,95%_CI_Diff
0.05,-0.2884630994711373,[-0.40874637 -0.13043377],0.019210871856884026,[-0.08435352  0.22273508],-0.3076739713280213,[-0.54791417 -0.10611322]
0.1,-0.20484236950590926,[-0.35728171 -0.04675069],-0.003665590437978114,[-0.12759395  0.19064075],-0.20117677906793116,[-0.44895891  0.01095542]
0.15,-0.20223628916562356,[-0.35568637 -0.05563127],-0.00044990042555185605,[-0.123766    0.23709919],-0.20178638874007174,[-0.47200841  0.01024217]
0.2,-0.1770295366890455,[-0.34913733 -0.02545091],-0.004805902257996531,[-0.11723239  0.25767968],-0.172223634431049,[-0.464856    0.03628174]
0.25,-0.20978298658139416,[-0.36718805 -0.06435291],-0.01164039584960839,[-0.1639863   0.27771473],-0.19814259073178575,[-0.51133921  0.02837822]
0.3,-0.20422891674633903,[-0.36300296 -0.05102072],-0.00797219449417576,[-0.18770362  0.29440329],-0.19625672225216326,[-0.52418824  0.04476969]
0.35,-0.21198706038715073,[-0.35882877 -0.06905983],-0.0426977936609949,[-0.19565882  0.24094097],-0.16928926672615585,[-0.4668971   0.05161775]
0.4,-0.21484559364101233,[-0.38179841 -0.05705626],-0.07465705768956099,[-0.21797186  0.17008519],-0.14018853595145134,[-0.42651425  0.08729581]
0.45,-0.19126778726584384,[-0.35756141 -0.03142919],-0.0883777944416749,[-0.21099006  0.09643498],-0.10288999282416891,[-0.34192627  0.10337632]
0.5,-0.14940308146771913,[-0.31570563  0.01560418],-0.08735657632889922,[-0.20329589  0.06901079],-0.06204650513881993,[-0.28933311  0.1493631 ]
