Cost,Coefficient,R^2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
0.05,-0.24683905831967287,0.1447180409440595,-0.3804182447570825,0.00023562257753638002,-0.42263604873193183,3.693789681068892e-05
0.1,-0.1830357655170198,0.07730538066875237,-0.2780384517809586,0.008335610393495688,-0.26532106420821855,0.0119756922227649
0.15,-0.17373258724572777,0.07426098972892592,-0.27250869661154997,0.009777708900211131,-0.22599124942542434,0.03321373817570421
0.2,-0.16432644294576296,0.05873897612220225,-0.24236125128040278,0.022117737174898445,-0.1964554009611366,0.06501111760238225
0.25,-0.19749757526955028,0.07621040929221856,-0.2760623286365209,0.008827918240838192,-0.23330325677999283,0.027783921010703188
0.3,-0.2068023097762404,0.07415152025941918,-0.2723077675341253,0.00983398842309522,-0.24781020966703882,0.019209752254231143
0.35,-0.22360142379839712,0.07874995431628995,-0.28062422261146674,0.007727961526293728,-0.25682594946369874,0.015117968350380848
0.4,-0.22942058208010715,0.08152884408951633,-0.2855325622227984,0.006680968280996581,-0.29436400317724204,0.005108809655695585
0.45,-0.203180289776841,0.06190517872709822,-0.24880751340564086,0.018714701735550687,-0.2535804729139236,0.01649443649745595
0.5,-0.16073293367788394,0.038066755020933374,-0.19510703478074098,0.0669116213295293,-0.20661916800735458,0.05205192473418006
