Cost,Mean_FO_Correlation,95%_CI_FO,Mean_UO_Correlation,95%_CI_UO,Difference_FO-UO,95%_CI_Diff
0.03,-0.18306514838581706,[-0.29749693 -0.06814738],0.056691212296373236,[-0.08996453  0.29317525],-0.23975636068219028,[-0.49315054 -0.04113389]
0.05,-0.18892495948134025,[-0.30448375 -0.05987748],0.039171642829165396,[-0.12392456  0.31268421],-0.22809660231050566,[-0.52572597 -0.01029196]
0.1,-0.17482562274317437,[-0.29171109 -0.03648512],0.009849865550839458,[-0.17031173  0.33099055],-0.18467548829401384,[-0.52449117  0.05246216]
0.15,-0.16617160456183852,[-0.29251746 -0.01889136],-0.005314402801858876,[-0.17793411  0.31315499],-0.16085720175997964,[-0.49809018  0.07496164]
0.2,-0.1567918785742857,[-0.28583654 -0.00551775],-0.010641559404507603,[-0.18070955  0.3096716 ],-0.1461503191697781,[-0.49055018  0.09255264]
0.25,-0.14543208603414423,[-0.27813679  0.00631262],-0.012118090867006279,[-0.19913065  0.31630039],-0.13331399516713796,[-0.48085424  0.11299993]
0.3,-0.13541304858452027,[-0.26740502  0.0149756 ],-0.011959660847870302,[-0.1937785  0.2936014],-0.12345338773664993,[-0.44845122  0.11465902]
0.35,-0.12856174672819978,[-0.26110997  0.01422056],-0.008186788451594679,[-0.18500445  0.28108755],-0.12037495827660512,[-0.43773578  0.11425307]
0.4,-0.11633160250830182,[-0.24438149  0.01969783],-0.007255064852453614,[-0.18151387  0.27441525],-0.10907653765584824,[-0.40913985  0.11692592]
0.45,-0.10341542314541155,[-0.22759783  0.02393448],0.0005381373730138933,[-0.17354989  0.27561247],-0.10395356051842546,[-0.39712174  0.1206557 ]
0.5,-0.09248098282172855,[-0.21318037  0.03019312],0.013121207685395746,[-0.15708039  0.2721313 ],-0.1056021905071243,[-0.38641373  0.11270963]
