Cost,Coefficient,R^2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
0.03,-0.18686481171608682,0.06225560613484893,-0.24951073350629405,5.816460343812711e-07,-0.25997177946225997,1.847406070867919e-07
0.05,-0.19578523495628442,0.06710658194359898,-0.2590493812839535,2.0481657580238247e-07,-0.26845193777849685,7.023720712291574e-08
0.1,-0.19080974734649497,0.05777422786593456,-0.2403627006545206,1.5220396357184556e-06,-0.2430761177617924,1.1487554530901103e-06
0.15,-0.18775168069127093,0.051409073206525324,-0.22673569019130074,5.9499228468260465e-06,-0.2309868973279216,3.923193575030008e-06
0.2,-0.1844652364616394,0.045535101527699795,-0.2133895534643149,2.0895085833912002e-05,-0.22129067768058686,1.0026317468889356e-05
0.25,-0.17727550316021212,0.039514418995197476,-0.1987823407528887,7.569182975489529e-05,-0.19990206441626046,6.879962025146955e-05
0.3,-0.1680374122794599,0.033508892852667116,-0.1830543439874268,0.0002738369102367568,-0.1868625827665014,0.0002024657398943488
0.35,-0.16350109197011148,0.029444234389240265,-0.17159322361107485,0.0006556571294089529,-0.17513092503899982,0.0005036161900309901
0.4,-0.15028861227855797,0.023065149654794226,-0.1518721490425225,0.0026043469351618273,-0.15056105949120552,0.002839013005412338
0.45,-0.13594669925945216,0.017369965394333664,-0.1317951645332018,0.009077343427270457,-0.13100619854164589,0.009503991883004171
0.5,-0.12578401866808356,0.013900572840604752,-0.11790069058578402,0.019700162720106874,-0.11547611274551979,0.02238761648212712
