Cost,Mean_FO_Correlation,95%_CI_FO,Mean_UO_Correlation,95%_CI_UO,Difference_FO-UO,95%_CI_Diff
0.03,-0.21933050148256625,[-0.30227416 -0.09999423],0.02530584049378442,[-0.17431913  0.26725945],-0.24463634197635065,[-0.50722038 -0.02244974]
0.05,-0.2417454069087167,[-0.33239133 -0.099742  ],0.057817462371342984,[-0.14440684  0.33040204],-0.29956286928005976,[-0.59608096 -0.05386344]
0.1,-0.21431439886055245,[-0.30711783 -0.0798297 ],0.057720237713211574,[-0.11807579  0.31833554],-0.272034636573764,[-0.55264739 -0.05179104]
0.15,-0.19262777912804796,[-0.29426622 -0.05075848],0.048581331915306114,[-0.11488826  0.29983387],-0.2412091110433541,[-0.50513105 -0.02148506]
0.2,-0.182602047946739,[-0.29345597 -0.02495422],0.04465481502712097,[-0.12015912  0.28393698],-0.22725686297386,[-4.84425580e-01 -1.73187276e-04]
0.25,-0.1770702624213948,[-0.2955989  -0.01706866],0.050110868381782754,[-0.10529247  0.27248763],-0.22718113080317753,[-0.47153543 -0.00697788]
0.3,-0.16913844679451123,[-0.29469688 -0.00829048],0.043661599206441186,[-0.11255126  0.26870961],-0.21280004600095245,[-0.46716375  0.01271266]
0.35,-0.16741960309251652,[-0.29234945 -0.00734363],0.04591702748616286,[-0.10811582  0.27568023],-0.21333663057867938,[-0.47493072  0.01246031]
0.4,-0.1626900906183796,[-0.28544627 -0.0057246 ],0.05334176093959497,[-0.09504311  0.28043346],-0.21603185155797455,[-0.46699633  0.00562606]
0.45,-0.15904157887031575,[-0.2806154  -0.00509147],0.04539665705821743,[-0.09508264  0.25879838],-0.20443823592853322,[-0.45025451  0.01369709]
0.5,-0.1491374685928727,[-0.27339339  0.00565762],0.03617322721192081,[-0.09851931  0.24797099],-0.1853106958047935,[-0.42560916  0.0257614 ]
