Cost,Coefficient,R^2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
0.03,-0.19668151867358144,0.08955221590960838,-0.2992527625764018,5.406922915337763e-06,-0.30083195000083246,4.795973685931446e-06
0.05,-0.21352745801631484,0.10410148475944148,-0.32264761700567646,8.505987049368847e-07,-0.31715975564649046,1.3314767001656335e-06
0.1,-0.21191667355788468,0.08267857638183695,-0.2875388258685027,1.2875187635193366e-05,-0.2703514080534888,4.2959387914631684e-05
0.15,-0.2119553861744129,0.06804718390593112,-0.26085855152923587,8.079644230432597e-05,-0.23879149472198422,0.0003205887665196488
0.2,-0.20793557471380503,0.06296944094341705,-0.2509371254785091,0.00015247481727671448,-0.2305636061183052,0.0005193418221350886
0.25,-0.21206553809298523,0.05815496592102942,-0.2411534074422943,0.00027826089577260405,-0.2181450406424716,0.0010422309463242933
0.3,-0.2103578562022038,0.0524092170564916,-0.22893059440907337,0.0005703852451515115,-0.20959269956277357,0.001647697675100908
0.35,-0.21288011205187846,0.05069943219043327,-0.22516534411501463,0.0007062541398066561,-0.20071636687337177,0.002602227952936343
0.4,-0.212119295708176,0.04589216459458256,-0.2142245658055642,0.001288522922186343,-0.2008495757938111,0.0025847965798776744
0.45,-0.21583073781269008,0.04337709678850388,-0.20827168983926772,0.0017657377194321856,-0.2010024788735821,0.0025649188412624796
0.5,-0.20632041392899558,0.03767654817423327,-0.19410447747085377,0.003613870435467356,-0.19695890852728387,0.0031400769978927037
