metric,cost,group,observed_slope,percentile,cohens_d,ci_low,ci_high,p_raw,p_fdr,significant_fdr
d,0.05,Controls,0.0020909339326377133,0.8084,0.8704583302157618,-0.004859090384045473,0.00462940772562139,0.39146085391460855,0.39146085391460855,False
d,0.05,Coma,-0.006614178728523821,0.0391,-1.7535735417069058,-0.007407242172208271,0.007766273787847648,0.08089191080891911,0.16178382161783822,False
d,0.1,Controls,0.0016264770220892697,0.9227,1.4181389394406116,-0.0023053961826563617,0.002207321495838301,0.1611838816118388,0.1611838816118388,False
d,0.1,Coma,-0.004870998910081459,0.0047,-2.5819963497069165,-0.00366330751425803,0.003815279428001921,0.010998900109989001,0.021997800219978002,True
d,0.15,Controls,0.001300009679899844,0.9487,1.624270777724028,-0.0016052624510080704,0.001533379919038636,0.10638936106389361,0.10638936106389361,False
d,0.15,Coma,-0.003705378393877687,0.0028,-2.7395665951525103,-0.0026353302402874973,0.0026978309016555567,0.006999300069993001,0.013998600139986002,True
d,0.2,Controls,0.0010654855866001763,0.9539,1.6620445257670906,-0.0012856007363260817,0.0012355010189638593,0.0964903509649035,0.0964903509649035,False
d,0.2,Coma,-0.0032642533292085232,0.0009,-2.9569051191182,-0.0021642406586649576,0.0021889692547659816,0.0025997400259974,0.0051994800519948,True
d,0.25,Controls,0.0008959721063933427,0.95,1.6262783743813958,-0.001105298037028065,0.0010635650466092723,0.10328967103289671,0.10328967103289671,False
d,0.25,Coma,-0.002872848299819598,0.0008,-2.9801753083306317,-0.0019022625786161696,0.001929951382627342,0.0027997200279972004,0.005599440055994401,True
d,0.3,Controls,0.0007943495235979352,0.9474,1.606277575233878,-0.0009865385720817122,0.0009505340487578684,0.10788921107889211,0.10788921107889211,False
d,0.3,Coma,-0.0026114026511197858,0.0009,-2.997572923960889,-0.00169932594006678,0.001732883605388757,0.0023997600239976003,0.0047995200479952005,True
d,0.35,Controls,0.0007131685235339694,0.9419,1.553454412049771,-0.0009133060367528319,0.000883034025355967,0.11858814118588142,0.11858814118588142,False
d,0.35,Coma,-0.0023298654836337567,0.0012,-2.8986320530201124,-0.0015735271979575166,0.001605143594399844,0.0030996900309969004,0.006199380061993801,True
d,0.4,Controls,0.0006620675380824538,0.9376,1.5245529288919408,-0.0008611082476361311,0.0008331162882767997,0.1262873712628737,0.1262873712628737,False
d,0.4,Coma,-0.002199771564963981,0.0015,-2.8935606838464336,-0.0014876776139577926,0.0015184915619187306,0.0036996300369963003,0.007399260073992601,True
d,0.45,Controls,0.0006528859805843875,0.9401,1.5523674063085693,-0.0008296600031904126,0.0008145746038979155,0.11968803119688032,0.11968803119688032,False
d,0.45,Coma,-0.0020493694997957557,0.0023,-2.78207857168646,-0.001458056164341048,0.0014588314606243905,0.0053994600539946005,0.010798920107989201,True
d,0.5,Controls,0.0006123714312214419,0.9319,1.4849897679072228,-0.0008056875987826485,0.0008002752643651768,0.13708629137086292,0.13708629137086292,False
d,0.5,Coma,-0.001982634692309241,0.0028,-2.729711277223806,-0.0014292606962441913,0.0014485410994916968,0.0059994000599940004,0.011998800119988001,True
