metric,cost,group,observed_slope,percentile,cohens_d,ci_low,ci_high,p_raw,p_fdr,significant_fdr
d,0.01,Controls,0.0003065458145221532,0.5133,0.03705347318418132,-0.012188108400163196,0.012115765827195974,0.9734,0.9734,False
d,0.01,Coma,-0.007597325544121099,0.0547,-1.5891364874126217,-0.009347180638035777,0.009408761487718242,0.1094,0.2188,False
d,0.03,Controls,0.0006923724549384912,0.6187,0.3176826982030473,-0.004103649372710089,0.004056775055541308,0.7626,0.7626,False
d,0.03,Coma,-0.0023365144614395715,0.0761,-1.4376503716136182,-0.00317102246244867,0.0032452447481739538,0.1522,0.3044,False
d,0.05,Controls,0.0006663726105871,0.68,0.4717585803718802,-0.0026458358458531983,0.0026971702961857556,0.6399999999999999,0.6399999999999999,False
d,0.05,Coma,-0.0016139359911309242,0.0722,-1.4730552067699345,-0.0021311434714834203,0.002178088501111459,0.1444,0.2888,False
d,0.1,Controls,0.0005162073512827736,0.738,0.6388585741387445,-0.0015368729393511547,0.0015606563587886515,0.524,0.524,False
d,0.1,Coma,-0.0009205097652667271,0.0828,-1.376113086596845,-0.0012977471861474006,0.0013274307053928263,0.1656,0.3312,False
d,0.15,Controls,0.00043578802773482664,0.7579,0.7111673848855229,-0.0011861929630571685,0.0011670524532083064,0.48419999999999996,0.48419999999999996,False
d,0.15,Coma,-0.0006723618560283145,0.0986,-1.2903108311048572,-0.0010013423531474133,0.0010229332247131005,0.1972,0.3944,False
d,0.2,Controls,0.0003942887548486971,0.773,0.7514584342028224,-0.0009806832395921645,0.0009994701279264192,0.45399999999999996,0.45399999999999996,False
d,0.2,Coma,-0.0005358176285099516,0.1098,-1.2265939221400541,-0.0008501428788230496,0.0008670759600610919,0.2196,0.4392,False
d,0.25,Controls,0.0003635729798561625,0.8019,0.8429583594435829,-0.0008524948503698981,0.000877464526718976,0.3962000000000001,0.3962000000000001,False
d,0.25,Coma,-0.00045129669416624105,0.127,-1.1433226235825797,-0.0007624509647383742,0.0007705547684530481,0.254,0.3962000000000001,False
d,0.3,Controls,0.000350701623526057,0.8133,0.8848304763475172,-0.0007800092695819333,0.0007674128328483518,0.37339999999999995,0.37339999999999995,False
d,0.3,Coma,-0.0003863557653140235,0.135,-1.105782800125653,-0.000698102994829006,0.0007072748544817364,0.27,0.37339999999999995,False
d,0.35,Controls,0.00033757779508942625,0.8056,0.8657663182166888,-0.0007248802900677361,0.0007422070989060166,0.38880000000000003,0.38880000000000003,False
d,0.35,Coma,-0.0003410236466983899,0.1563,-1.0088956107491078,-0.0006657279595519603,0.000676039952015436,0.3126,0.38880000000000003,False
d,0.4,Controls,0.0003337156637180092,0.8275,0.9431919488425182,-0.0007128903292074677,0.00067929009477961,0.345,0.3568,False
d,0.4,Coma,-0.0003101919635899739,0.1784,-0.9102121390682162,-0.0006757462553519791,0.0006685125627349996,0.3568,0.3568,False
d,0.45,Controls,0.0003306952318258081,0.8278,0.9469714579724906,-0.0006794049580764079,0.0006805122003416874,0.34440000000000004,0.3948,False
d,0.45,Coma,-0.000289546199333901,0.1974,-0.8547813026323058,-0.0006517875487425321,0.0006571744501237419,0.3948,0.3948,False
d,0.5,Controls,0.0003279883414910647,0.829,0.9524565913184863,-0.0006693278382447542,0.000671578287762819,0.3420000000000001,0.4242,False
d,0.5,Coma,-0.00027108641832626114,0.2121,-0.7987385632221876,-0.0006680489374970915,0.0006521975876835184,0.4242,0.4242,False
