metric,cost,group,observed_slope,percentile,cohens_d,ci_low,ci_high,p_raw,p_fdr,significant_fdr
d,0.05,Controls,-0.0028435327704317936,0.2676,-0.6192494097962661,-0.008937378404732828,0.00879427577440647,0.5352,0.5352,False
d,0.05,Coma,-0.005581679902942059,0.1334,-1.1022647061482187,-0.00991574948402801,0.010298136816214965,0.2668,0.5336,False
d,0.1,Controls,-0.0007633057090623131,0.3751,-0.30514460006965144,-0.005050096496914707,0.004865242287057698,0.7502,0.7502,False
d,0.1,Coma,-0.0035515076201024726,0.1165,-1.203834802975347,-0.005841798589153635,0.005869670867825086,0.233,0.466,False
d,0.15,Controls,-0.00025400731737126246,0.4454,-0.1270741210121924,-0.0036655206505923237,0.0036736469236102994,0.8908,0.8908,False
d,0.15,Coma,-0.002873619739809308,0.1029,-1.2620001367186022,-0.004528112098084507,0.004428880498797978,0.2058,0.4116,False
d,0.2,Controls,-5.4895635768364124e-05,0.4799,-0.044778399245240706,-0.0030461584936358134,0.0030106657311068908,0.9598,0.9598,False
d,0.2,Coma,-0.0024650380280255547,0.0932,-1.3276300579855123,-0.0036355574942334283,0.00362817397643921,0.1864,0.3728,False
d,0.25,Controls,4.5730267532246435e-05,0.5137,0.03626166745272236,-0.002648990590565416,0.002624304154566536,0.9725999999999999,0.9725999999999999,False
d,0.25,Coma,-0.0023806420438618136,0.0707,-1.4596596144252134,-0.003166810211206212,0.003233173879002941,0.1414,0.2828,False
d,0.3,Controls,0.00014386045419913454,0.5516,0.1283895901884937,-0.0024740530440520597,0.0023402288029222055,0.8968,0.8968,False
d,0.3,Coma,-0.0022906594645058453,0.0658,-1.5114788210839325,-0.002992439036757327,0.002917187971080732,0.1316,0.2632,False
d,0.35,Controls,0.000147029829220346,0.5577,0.15006145463368942,-0.0023052706215325046,0.002209038875468704,0.8846,0.8846,False
d,0.35,Coma,-0.0021716787498373986,0.0635,-1.5210491905200356,-0.002836652893500904,0.002745813007367562,0.127,0.254,False
d,0.4,Controls,0.0002047600150334093,0.5754,0.18567487090469,-0.002105239133586939,0.0021184131234028235,0.8492,0.8492,False
d,0.4,Coma,-0.0020589053167689307,0.0624,-1.5342216822660628,-0.0026291874048546505,0.0026248040428372903,0.1248,0.2496,False
d,0.45,Controls,0.00027563666674681466,0.5946,0.24604094618110522,-0.002102292012403442,0.002071419011351295,0.8108,0.8108,False
d,0.45,Coma,-0.001972383401219314,0.0603,-1.531935438063301,-0.002534342163130484,0.002548910871088414,0.1206,0.2412,False
d,0.5,Controls,0.00029113047769672735,0.6146,0.28012876751873267,-0.0019969145416756364,0.002009146492488838,0.7707999999999999,0.7707999999999999,False
d,0.5,Coma,-0.0019540701117007546,0.0662,-1.492357484209206,-0.002526605357643301,0.0025541978203688534,0.1324,0.2648,False
